Model : distilbert-base-uncased - Learning Type: pruning
Configuration:
model_type: llm
model_name: distilbert-base-uncased
model_task: sst2
num_classes: 2
embedding_dim: 768
epochs: 5
pruning_epochs: 5
recovery_epochs: 10
batch_size: 64
learning_rate: 2e-05
learning_type: pruning
prune: True
pruning_type: magnitude_pruning
target_sparsity: 0.97
sparsity_scheduler: cubic
delta_t: 500
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/distilbert-base-uncased/sst2/distilbert-base-uncased_magnitude_pruning_0.97.pt
finetuned_weights: /dbfs/research/distilbert-base-uncased/sst2/distilbert-base-uncased_baseline.pt
current_sparsity: 0.0

Epoch [1/5]: Avg Loss: 0.0958 | Avg Accuracy: 78.12 | Model Sparsity: 0.8627
Recovery epoch [1/10]: Avg Loss: 0.2768 | Avg Accuracy: 82.69 | Model Sparsity: 0.8627
Recovery epoch [2/10]: Avg Loss: 0.1965 | Avg Accuracy: 83.41 | Model Sparsity: 0.8627
Recovery epoch [3/10]: Avg Loss: 0.1598 | Avg Accuracy: 83.65 | Model Sparsity: 0.8627
Recovery epoch [4/10]: Avg Loss: 0.1315 | Avg Accuracy: 82.33 | Model Sparsity: 0.8627
Recovery epoch [5/10]: Avg Loss: 0.1121 | Avg Accuracy: 83.41 | Model Sparsity: 0.8627
Recovery epoch [6/10]: Avg Loss: 0.0965 | Avg Accuracy: 83.05 | Model Sparsity: 0.8627
Recovery epoch [7/10]: Avg Loss: 0.0843 | Avg Accuracy: 83.65 | Model Sparsity: 0.8627
Recovery epoch [8/10]: Avg Loss: 0.0741 | Avg Accuracy: 83.53 | Model Sparsity: 0.8627
Recovery epoch [9/10]: Avg Loss: 0.0647 | Avg Accuracy: 83.65 | Model Sparsity: 0.8627
Recovery epoch [10/10]: Avg Loss: 0.0573 | Avg Accuracy: 83.77 | Model Sparsity: 0.8627
Epoch [2/5]: Avg Loss: 0.0974 | Avg Accuracy: 79.09 | Model Sparsity: 0.9581
Recovery epoch [1/10]: Avg Loss: 0.1972 | Avg Accuracy: 82.33 | Model Sparsity: 0.9581
Recovery epoch [2/10]: Avg Loss: 0.1463 | Avg Accuracy: 82.21 | Model Sparsity: 0.9581
Recovery epoch [3/10]: Avg Loss: 0.1245 | Avg Accuracy: 81.25 | Model Sparsity: 0.9581
