Model : distilbert-base-uncased - Learning Type: pruning
Configuration:
model_type: llm
model_name: distilbert-base-uncased
model_task: sst2
num_classes: 2
embedding_dim: 768
epochs: 5
pruning_epochs: 5
recovery_epochs: 10
batch_size: 64
learning_rate: 2e-05
learning_type: pruning
prune: True
pruning_type: movement_pruning
target_sparsity: 0.99
sparsity_scheduler: cubic
delta_t: 500
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/distilbert-base-uncased/sst2/distilbert-base-uncased_movement_pruning_0.99.pt
finetuned_weights: /dbfs/research/distilbert-base-uncased/sst2/distilbert-base-uncased_baseline.pt
current_sparsity: 0.0

Epoch [1/5]: Avg Loss: 0.1097 | Avg Accuracy: 78.00 | Model Sparsity: 0.8805
Recovery epoch [1/10]: Avg Loss: 0.2604 | Avg Accuracy: 83.29 | Model Sparsity: 0.8805
Recovery epoch [2/10]: Avg Loss: 0.1801 | Avg Accuracy: 83.77 | Model Sparsity: 0.8805
Recovery epoch [3/10]: Avg Loss: 0.1426 | Avg Accuracy: 83.17 | Model Sparsity: 0.8805
Recovery epoch [4/10]: Avg Loss: 0.1184 | Avg Accuracy: 83.89 | Model Sparsity: 0.8805
Recovery epoch [5/10]: Avg Loss: 0.0998 | Avg Accuracy: 84.50 | Model Sparsity: 0.8805
Recovery epoch [6/10]: Avg Loss: 0.0871 | Avg Accuracy: 84.86 | Model Sparsity: 0.8805
Recovery epoch [7/10]: Avg Loss: 0.0765 | Avg Accuracy: 84.86 | Model Sparsity: 0.8805
Recovery epoch [8/10]: Avg Loss: 0.0643 | Avg Accuracy: 84.25 | Model Sparsity: 0.8805
Recovery epoch [9/10]: Avg Loss: 0.0564 | Avg Accuracy: 83.53 | Model Sparsity: 0.8805
Recovery epoch [10/10]: Avg Loss: 0.0492 | Avg Accuracy: 83.53 | Model Sparsity: 0.8805
Epoch [2/5]: Avg Loss: 0.0864 | Avg Accuracy: 79.45 | Model Sparsity: 0.9779
Recovery epoch [1/10]: Avg Loss: 0.1749 | Avg Accuracy: 81.49 | Model Sparsity: 0.9779
