Model : distilbert-base-uncased - Learning Type: pruning
Configuration:
model_type: llm
model_name: distilbert-base-uncased
model_task: sst2
num_classes: 2
embedding_dim: 768
epochs: 5
pruning_epochs: 5
recovery_epochs: 10
batch_size: 64
learning_rate: 2e-05
learning_type: pruning
prune: True
pruning_type: wanda_pruning
target_sparsity: 0.95
sparsity_scheduler: cubic
delta_t: 500
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/distilbert-base-uncased/sst2/distilbert-base-uncased_wanda_pruning_0.95.pt
finetuned_weights: /dbfs/research/distilbert-base-uncased/sst2/distilbert-base-uncased_baseline.pt
current_sparsity: 0.0

Epoch [1/5]: Avg Loss: 0.0995 | Avg Accuracy: 73.20 | Model Sparsity: 0.8449
Recovery epoch [1/10]: Avg Loss: 0.2808 | Avg Accuracy: 81.97 | Model Sparsity: 0.8449
Recovery epoch [2/10]: Avg Loss: 0.1948 | Avg Accuracy: 82.21 | Model Sparsity: 0.8449
Recovery epoch [3/10]: Avg Loss: 0.1518 | Avg Accuracy: 83.05 | Model Sparsity: 0.8449
Recovery epoch [4/10]: Avg Loss: 0.1253 | Avg Accuracy: 83.17 | Model Sparsity: 0.8449
Recovery epoch [5/10]: Avg Loss: 0.1071 | Avg Accuracy: 83.53 | Model Sparsity: 0.8449
Recovery epoch [6/10]: Avg Loss: 0.0907 | Avg Accuracy: 83.05 | Model Sparsity: 0.8449
Recovery epoch [7/10]: Avg Loss: 0.0786 | Avg Accuracy: 83.29 | Model Sparsity: 0.8449
Recovery epoch [8/10]: Avg Loss: 0.0688 | Avg Accuracy: 82.57 | Model Sparsity: 0.8449
Recovery epoch [9/10]: Avg Loss: 0.0593 | Avg Accuracy: 82.45 | Model Sparsity: 0.8449
Recovery epoch [10/10]: Avg Loss: 0.0525 | Avg Accuracy: 84.01 | Model Sparsity: 0.8449
Epoch [2/5]: Avg Loss: 0.0809 | Avg Accuracy: 80.53 | Model Sparsity: 0.9384
Recovery epoch [1/10]: Avg Loss: 0.1590 | Avg Accuracy: 79.93 | Model Sparsity: 0.9384
Recovery epoch [2/10]: Avg Loss: 0.1135 | Avg Accuracy: 79.57 | Model Sparsity: 0.9384
Recovery epoch [3/10]: Avg Loss: 0.0966 | Avg Accuracy: 80.29 | Model Sparsity: 0.9384
Recovery epoch [4/10]: Avg Loss: 0.0849 | Avg Accuracy: 79.93 | Model Sparsity: 0.9384
Recovery epoch [5/10]: Avg Loss: 0.0755 | Avg Accuracy: 79.33 | Model Sparsity: 0.9384
Recovery epoch [6/10]: Avg Loss: 0.0690 | Avg Accuracy: 79.93 | Model Sparsity: 0.9384
Recovery epoch [7/10]: Avg Loss: 0.0622 | Avg Accuracy: 79.69 | Model Sparsity: 0.9384
Recovery epoch [8/10]: Avg Loss: 0.0572 | Avg Accuracy: 79.33 | Model Sparsity: 0.9384
Recovery epoch [9/10]: Avg Loss: 0.0536 | Avg Accuracy: 79.93 | Model Sparsity: 0.9384
Recovery epoch [10/10]: Avg Loss: 0.0491 | Avg Accuracy: 80.53 | Model Sparsity: 0.9384
Epoch [3/5]: Avg Loss: 0.0524 | Avg Accuracy: 80.53 | Model Sparsity: 0.9487
Recovery epoch [1/10]: Avg Loss: 0.0491 | Avg Accuracy: 80.53 | Model Sparsity: 0.9487
