Model : distilbert-base-uncased - Learning Type: wikitext2/bacp_finetune/magnitude_pruning/0.95
Configuration:
model_type: llm
model_name: distilbert-base-uncased
model_task: wikitext2
num_classes: 30522
embedding_dim: 768
epochs: 50
pruning_epochs: 50
recovery_epochs: 10
batch_size: 64
learning_rate: 0.001
learning_type: bacp_finetune
optimizer_type: adamw
prune: False
pruning_type: magnitude_pruning
target_sparsity: 0.95
sparsity_scheduler: linear
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/distilbert-base-uncased/wikitext2/distilbert-base-uncased_wikitext2_magnitude_pruning_0.95_bacp_finetune.pt
finetuned_weights: /dbfs/research/distilbert-base-uncased/wikitext2/distilbert-base-uncased_wikitext2_magnitude_pruning_0.95_bacp_pruning.pt

Epoch [1/50]: Avg Loss: 5.5561 | Avg Accuracy: 32.57 | Model Sparsity: 0.9499
Epoch [2/50]: Avg Loss: 4.4255 | Avg Accuracy: 34.62 | Model Sparsity: 0.9499
Epoch [3/50]: Avg Loss: 4.0658 | Avg Accuracy: 35.81 | Model Sparsity: 0.9499
Epoch [4/50]: Avg Loss: 3.8324 | Avg Accuracy: 37.02 | Model Sparsity: 0.9499
Epoch [5/50]: Avg Loss: 3.6539 | Avg Accuracy: 37.75 | Model Sparsity: 0.9499
Epoch [6/50]: Avg Loss: 3.5103 | Avg Accuracy: 38.46 | Model Sparsity: 0.9499
Epoch [7/50]: Avg Loss: 3.3880 | Avg Accuracy: 39.13 | Model Sparsity: 0.9499
Epoch [8/50]: Avg Loss: 3.2711 | Avg Accuracy: 39.51 | Model Sparsity: 0.9499
Epoch [9/50]: Avg Loss: 3.1882 | Avg Accuracy: 40.55 | Model Sparsity: 0.9499
Epoch [10/50]: Avg Loss: 3.1126 | Avg Accuracy: 40.60 | Model Sparsity: 0.9499
Epoch [11/50]: Avg Loss: 3.0471 | Avg Accuracy: 41.01 | Model Sparsity: 0.9499
Epoch [12/50]: Avg Loss: 2.9834 | Avg Accuracy: 40.79 | Model Sparsity: 0.9499
Epoch [13/50]: Avg Loss: 2.9248 | Avg Accuracy: 41.20 | Model Sparsity: 0.9499
Epoch [14/50]: Avg Loss: 2.8719 | Avg Accuracy: 41.71 | Model Sparsity: 0.9499
Epoch [15/50]: Avg Loss: 2.8300 | Avg Accuracy: 41.85 | Model Sparsity: 0.9499
Epoch [16/50]: Avg Loss: 2.7714 | Avg Accuracy: 41.60 | Model Sparsity: 0.9499
Epoch [17/50]: Avg Loss: 2.7432 | Avg Accuracy: 41.83 | Model Sparsity: 0.9499
Epoch [18/50]: Avg Loss: 2.6945 | Avg Accuracy: 42.29 | Model Sparsity: 0.9499
