Model : distilbert-base-uncased - Learning Type: wikitext2/bacp_finetune
Configuration:
model_type: llm
model_name: distilbert-base-uncased
model_task: wikitext2
num_classes: 30522
embedding_dim: 768
epochs: 50
pruning_epochs: 50
recovery_epochs: 10
batch_size: 64
learning_rate: 0.01
learning_type: bacp_finetune
optimizer_type: adamw
prune: False
pruning_type: magnitude_pruning
target_sparsity: 0.95
sparsity_scheduler: linear
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/distilbert-base-uncased/wikitext2/distilbert-base-uncased_wikitext2_bacp_finetune.pt
finetuned_weights: /dbfs/research/distilbert-base-uncased/wikitext2/distilbert-base-uncased_wikitext2_magnitude_pruning_0.95_bacp_pruning.pt

Epoch [1/50]: Avg Loss: 10.0957 | Avg Accuracy: 16.70 | Model Sparsity: 0.9499
Epoch [2/50]: Avg Loss: 6.0089 | Avg Accuracy: 26.61 | Model Sparsity: 0.9499
