Model : distilbert-base-uncased - Learning Type: wikitext2/bacp_pruning/movement_pruning/0.99
Configuration:
model_name: distilbert-base-uncased
model_task: wikitext2
model_type: llm
num_classes: 30522
batch_size: 64
learning_rate: 0.001
optimizer_type: adamw
epochs: 5
recovery_epochs: 10
patience: 20
pruning_type: movement_pruning
target_sparsity: 0.99
sparsity_scheduler: cubic
pruning_epochs: 5
n_views: 2
temperature: 0.07
base_temperature: 0.07
device: cuda
enable_mixed_precision: True
num_workers: 24
train_batches: 71
val_batches: 7
current_model_path: /dbfs/research/distilbert-base-uncased/wikitext2/distilbert-base-uncased_wikitext2_movement_pruning_0.99_bacp_pruning.pt

Epoch [1/5]: Avg Total Loss: 12.4929 | Avg PrC Loss: 5.0094 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 5.0194 | Avg CE Loss: 2.4641 | Model Sparsity: 0.4831
Retraining Epoch [1/10]: Avg Total Loss: 17.1280 | Avg PrC Loss: 5.0024 | Avg SnC Loss: 4.7520 | Avg FiC Loss: 4.9915 | Avg CE Loss: 2.3822 | Model Sparsity: 0.4831
Retraining Epoch [2/10]: Avg Total Loss: 16.9969 | Avg PrC Loss: 4.9752 | Avg SnC Loss: 4.6965 | Avg FiC Loss: 4.9643 | Avg CE Loss: 2.3609 | Model Sparsity: 0.4831
Retraining Epoch [3/10]: Avg Total Loss: 16.9362 | Avg PrC Loss: 4.9415 | Avg SnC Loss: 4.7076 | Avg FiC Loss: 4.9365 | Avg CE Loss: 2.3506 | Model Sparsity: 0.4831
Retraining Epoch [4/10]: Avg Total Loss: 16.8904 | Avg PrC Loss: 4.9297 | Avg SnC Loss: 4.6899 | Avg FiC Loss: 4.9267 | Avg CE Loss: 2.3441 | Model Sparsity: 0.4831
Retraining Epoch [5/10]: Avg Total Loss: 16.8405 | Avg PrC Loss: 4.9214 | Avg SnC Loss: 4.6663 | Avg FiC Loss: 4.9174 | Avg CE Loss: 2.3354 | Model Sparsity: 0.4831
Retraining Epoch [6/10]: Avg Total Loss: 16.8217 | Avg PrC Loss: 4.9152 | Avg SnC Loss: 4.6705 | Avg FiC Loss: 4.9071 | Avg CE Loss: 2.3289 | Model Sparsity: 0.4831
Retraining Epoch [7/10]: Avg Total Loss: 16.8128 | Avg PrC Loss: 4.9058 | Avg SnC Loss: 4.6889 | Avg FiC Loss: 4.8943 | Avg CE Loss: 2.3238 | Model Sparsity: 0.4831
Retraining Epoch [8/10]: Avg Total Loss: 16.8059 | Avg PrC Loss: 4.8961 | Avg SnC Loss: 4.7057 | Avg FiC Loss: 4.8860 | Avg CE Loss: 2.3181 | Model Sparsity: 0.4831
Retraining Epoch [9/10]: Avg Total Loss: 16.8104 | Avg PrC Loss: 4.8917 | Avg SnC Loss: 4.7175 | Avg FiC Loss: 4.8830 | Avg CE Loss: 2.3183 | Model Sparsity: 0.4831
Retraining Epoch [10/10]: Avg Total Loss: 16.7745 | Avg PrC Loss: 4.8873 | Avg SnC Loss: 4.6989 | Avg FiC Loss: 4.8803 | Avg CE Loss: 2.3081 | Model Sparsity: 0.4831
Epoch [2/5]: Avg Total Loss: 16.7604 | Avg PrC Loss: 4.8803 | Avg SnC Loss: 4.7071 | Avg FiC Loss: 4.8716 | Avg CE Loss: 2.3014 | Model Sparsity: 0.7762
Retraining Epoch [1/10]: Avg Total Loss: 21.5436 | Avg PrC Loss: 4.9037 | Avg SnC Loss: 9.4434 | Avg FiC Loss: 4.8976 | Avg CE Loss: 2.2988 | Model Sparsity: 0.7762
Retraining Epoch [2/10]: Avg Total Loss: 21.5094 | Avg PrC Loss: 4.8947 | Avg SnC Loss: 9.4293 | Avg FiC Loss: 4.8919 | Avg CE Loss: 2.2935 | Model Sparsity: 0.7762
Retraining Epoch [3/10]: Avg Total Loss: 21.5107 | Avg PrC Loss: 4.8991 | Avg SnC Loss: 9.4282 | Avg FiC Loss: 4.8949 | Avg CE Loss: 2.2884 | Model Sparsity: 0.7762
Retraining Epoch [4/10]: Avg Total Loss: 21.5046 | Avg PrC Loss: 4.8964 | Avg SnC Loss: 9.4336 | Avg FiC Loss: 4.8916 | Avg CE Loss: 2.2831 | Model Sparsity: 0.7762
Retraining Epoch [5/10]: Avg Total Loss: 21.4898 | Avg PrC Loss: 4.8928 | Avg SnC Loss: 9.4305 | Avg FiC Loss: 4.8880 | Avg CE Loss: 2.2784 | Model Sparsity: 0.7762
Retraining Epoch [6/10]: Avg Total Loss: 21.4825 | Avg PrC Loss: 4.8912 | Avg SnC Loss: 9.4304 | Avg FiC Loss: 4.8865 | Avg CE Loss: 2.2744 | Model Sparsity: 0.7762
Retraining Epoch [7/10]: Avg Total Loss: 21.4866 | Avg PrC Loss: 4.8967 | Avg SnC Loss: 9.4289 | Avg FiC Loss: 4.8919 | Avg CE Loss: 2.2690 | Model Sparsity: 0.7762
