Model : distilbert-base-uncased - Learning Type: wikitext2/bacp_pruning/wanda_pruning/0.95
Configuration:
model_name: distilbert-base-uncased
model_task: wikitext2
model_type: llm
num_classes: 30522
batch_size: 64
learning_rate: 0.001
optimizer_type: adamw
epochs: 5
recovery_epochs: 10
patience: 20
pruning_type: wanda_pruning
target_sparsity: 0.95
sparsity_scheduler: cubic
pruning_epochs: 5
n_views: 2
temperature: 0.07
base_temperature: 0.07
device: cuda
enable_mixed_precision: True
num_workers: 24
train_batches: 71
val_batches: 7
current_model_path: /dbfs/research/distilbert-base-uncased/wikitext2/distilbert-base-uncased_wikitext2_wanda_pruning_0.95_bacp_pruning.pt

Epoch [1/5]: Avg Total Loss: 9.9942 | Avg PrC Loss: 3.7905 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 3.8705 | Avg CE Loss: 2.3332 | Model Sparsity: 0.4625
Retraining Epoch [1/10]: Avg Total Loss: 11.4740 | Avg PrC Loss: 3.3740 | Avg SnC Loss: 2.6790 | Avg FiC Loss: 3.3682 | Avg CE Loss: 2.0527 | Model Sparsity: 0.4625
Retraining Epoch [2/10]: Avg Total Loss: 11.0838 | Avg PrC Loss: 3.2961 | Avg SnC Loss: 2.5969 | Avg FiC Loss: 3.2522 | Avg CE Loss: 1.9386 | Model Sparsity: 0.4625
Retraining Epoch [3/10]: Avg Total Loss: 10.8861 | Avg PrC Loss: 3.2569 | Avg SnC Loss: 2.5728 | Avg FiC Loss: 3.1930 | Avg CE Loss: 1.8633 | Model Sparsity: 0.4625
Retraining Epoch [4/10]: Avg Total Loss: 10.7614 | Avg PrC Loss: 3.2361 | Avg SnC Loss: 2.5644 | Avg FiC Loss: 3.1574 | Avg CE Loss: 1.8036 | Model Sparsity: 0.4625
Retraining Epoch [5/10]: Avg Total Loss: 10.6800 | Avg PrC Loss: 3.2262 | Avg SnC Loss: 2.5626 | Avg FiC Loss: 3.1369 | Avg CE Loss: 1.7542 | Model Sparsity: 0.4625
Retraining Epoch [6/10]: Avg Total Loss: 10.5953 | Avg PrC Loss: 3.2117 | Avg SnC Loss: 2.5541 | Avg FiC Loss: 3.1160 | Avg CE Loss: 1.7136 | Model Sparsity: 0.4625
Retraining Epoch [7/10]: Avg Total Loss: 10.5572 | Avg PrC Loss: 3.2097 | Avg SnC Loss: 2.5594 | Avg FiC Loss: 3.1074 | Avg CE Loss: 1.6807 | Model Sparsity: 0.4625
Retraining Epoch [8/10]: Avg Total Loss: 10.5033 | Avg PrC Loss: 3.2035 | Avg SnC Loss: 2.5562 | Avg FiC Loss: 3.0954 | Avg CE Loss: 1.6482 | Model Sparsity: 0.4625
Retraining Epoch [9/10]: Avg Total Loss: 10.4581 | Avg PrC Loss: 3.1977 | Avg SnC Loss: 2.5547 | Avg FiC Loss: 3.0851 | Avg CE Loss: 1.6205 | Model Sparsity: 0.4625
Retraining Epoch [10/10]: Avg Total Loss: 10.4106 | Avg PrC Loss: 3.1911 | Avg SnC Loss: 2.5493 | Avg FiC Loss: 3.0733 | Avg CE Loss: 1.5969 | Model Sparsity: 0.4625
Epoch [2/5]: Avg Total Loss: 11.3355 | Avg PrC Loss: 3.4149 | Avg SnC Loss: 2.8524 | Avg FiC Loss: 3.3876 | Avg CE Loss: 1.6806 | Model Sparsity: 0.7431
Retraining Epoch [1/10]: Avg Total Loss: 13.7818 | Avg PrC Loss: 3.3602 | Avg SnC Loss: 5.5162 | Avg FiC Loss: 3.2930 | Avg CE Loss: 1.6124 | Model Sparsity: 0.7431
Retraining Epoch [2/10]: Avg Total Loss: 13.6404 | Avg PrC Loss: 3.3457 | Avg SnC Loss: 5.4345 | Avg FiC Loss: 3.2707 | Avg CE Loss: 1.5896 | Model Sparsity: 0.7431
Retraining Epoch [3/10]: Avg Total Loss: 13.5710 | Avg PrC Loss: 3.3346 | Avg SnC Loss: 5.4117 | Avg FiC Loss: 3.2551 | Avg CE Loss: 1.5696 | Model Sparsity: 0.7431
Retraining Epoch [4/10]: Avg Total Loss: 13.5209 | Avg PrC Loss: 3.3261 | Avg SnC Loss: 5.3985 | Avg FiC Loss: 3.2415 | Avg CE Loss: 1.5547 | Model Sparsity: 0.7431
Retraining Epoch [5/10]: Avg Total Loss: 13.5010 | Avg PrC Loss: 3.3238 | Avg SnC Loss: 5.4003 | Avg FiC Loss: 3.2362 | Avg CE Loss: 1.5407 | Model Sparsity: 0.7431
Retraining Epoch [6/10]: Avg Total Loss: 13.4317 | Avg PrC Loss: 3.3104 | Avg SnC Loss: 5.3731 | Avg FiC Loss: 3.2202 | Avg CE Loss: 1.5280 | Model Sparsity: 0.7431
Retraining Epoch [7/10]: Avg Total Loss: 13.4256 | Avg PrC Loss: 3.3120 | Avg SnC Loss: 5.3777 | Avg FiC Loss: 3.2191 | Avg CE Loss: 1.5168 | Model Sparsity: 0.7431
Retraining Epoch [8/10]: Avg Total Loss: 13.4059 | Avg PrC Loss: 3.3097 | Avg SnC Loss: 5.3766 | Avg FiC Loss: 3.2138 | Avg CE Loss: 1.5058 | Model Sparsity: 0.7431
Retraining Epoch [9/10]: Avg Total Loss: 13.3756 | Avg PrC Loss: 3.3053 | Avg SnC Loss: 5.3703 | Avg FiC Loss: 3.2086 | Avg CE Loss: 1.4915 | Model Sparsity: 0.7431
Retraining Epoch [10/10]: Avg Total Loss: 13.3457 | Avg PrC Loss: 3.2989 | Avg SnC Loss: 5.3623 | Avg FiC Loss: 3.2007 | Avg CE Loss: 1.4838 | Model Sparsity: 0.7431
Epoch [3/5]: Avg Total Loss: 15.2978 | Avg PrC Loss: 3.6105 | Avg SnC Loss: 6.3406 | Avg FiC Loss: 3.6342 | Avg CE Loss: 1.7126 | Model Sparsity: 0.8871
Retraining Epoch [1/10]: Avg Total Loss: 17.2877 | Avg PrC Loss: 3.5375 | Avg SnC Loss: 8.6313 | Avg FiC Loss: 3.5225 | Avg CE Loss: 1.5964 | Model Sparsity: 0.8871
Retraining Epoch [2/10]: Avg Total Loss: 17.0800 | Avg PrC Loss: 3.5211 | Avg SnC Loss: 8.4893 | Avg FiC Loss: 3.4966 | Avg CE Loss: 1.5730 | Model Sparsity: 0.8871
Retraining Epoch [3/10]: Avg Total Loss: 16.9839 | Avg PrC Loss: 3.5079 | Avg SnC Loss: 8.4442 | Avg FiC Loss: 3.4777 | Avg CE Loss: 1.5541 | Model Sparsity: 0.8871
Retraining Epoch [4/10]: Avg Total Loss: 16.9172 | Avg PrC Loss: 3.4987 | Avg SnC Loss: 8.4143 | Avg FiC Loss: 3.4647 | Avg CE Loss: 1.5395 | Model Sparsity: 0.8871
Retraining Epoch [5/10]: Avg Total Loss: 16.8305 | Avg PrC Loss: 3.4846 | Avg SnC Loss: 8.3718 | Avg FiC Loss: 3.4472 | Avg CE Loss: 1.5269 | Model Sparsity: 0.8871
Retraining Epoch [6/10]: Avg Total Loss: 16.8040 | Avg PrC Loss: 3.4808 | Avg SnC Loss: 8.3626 | Avg FiC Loss: 3.4412 | Avg CE Loss: 1.5193 | Model Sparsity: 0.8871
Retraining Epoch [7/10]: Avg Total Loss: 16.7591 | Avg PrC Loss: 3.4756 | Avg SnC Loss: 8.3413 | Avg FiC Loss: 3.4330 | Avg CE Loss: 1.5093 | Model Sparsity: 0.8871
Retraining Epoch [8/10]: Avg Total Loss: 16.7434 | Avg PrC Loss: 3.4721 | Avg SnC Loss: 8.3372 | Avg FiC Loss: 3.4282 | Avg CE Loss: 1.5059 | Model Sparsity: 0.8871
