Model : distilbert-base-uncased - Learning Type: wikitext2/baseline
Configuration:
model_type: llm
model_name: distilbert-base-uncased
model_task: wikitext2
embedding_dim: 768
epochs: 50
pruning_epochs: 50
recovery_epochs: 10
batch_size: 64
learning_rate: 5e-05
learning_type: baseline
scheduler_type: linear_with_warmup
optimizer_type: adamw
total_steps: 3550
warmup_steps: 355
prune: False
target_sparsity: 0.0
sparsity_scheduler: linear
enable_mixed_precision: True
device: cuda
save_path: /dbds/research/distilbert-base-uncased/wikitext2/distilbert-base-uncased_wikitext2_baseline.pt

Epoch [1/50]: Avg Loss: 2.5806 | Avg Accuracy: 58.63 | Model Sparsity: 0.0
Epoch [2/50]: Avg Loss: 2.1502 | Avg Accuracy: 60.63 | Model Sparsity: 0.0
Epoch [3/50]: Avg Loss: 2.0456 | Avg Accuracy: 61.79 | Model Sparsity: 0.0
Epoch [4/50]: Avg Loss: 1.9899 | Avg Accuracy: 62.64 | Model Sparsity: 0.0
Epoch [5/50]: Avg Loss: 1.9465 | Avg Accuracy: 63.36 | Model Sparsity: 0.0
Epoch [6/50]: Avg Loss: 1.9117 | Avg Accuracy: 63.35 | Model Sparsity: 0.0
Epoch [7/50]: Avg Loss: 1.8921 | Avg Accuracy: 63.08 | Model Sparsity: 0.0
Epoch [8/50]: Avg Loss: 1.8514 | Avg Accuracy: 63.45 | Model Sparsity: 0.0
Epoch [9/50]: Avg Loss: 1.8406 | Avg Accuracy: 63.23 | Model Sparsity: 0.0
Epoch [10/50]: Avg Loss: 1.8226 | Avg Accuracy: 63.34 | Model Sparsity: 0.0
Epoch [11/50]: Avg Loss: 1.7988 | Avg Accuracy: 63.66 | Model Sparsity: 0.0
Epoch [12/50]: Avg Loss: 1.7864 | Avg Accuracy: 63.67 | Model Sparsity: 0.0
Epoch [13/50]: Avg Loss: 1.7668 | Avg Accuracy: 63.54 | Model Sparsity: 0.0
Epoch [14/50]: Avg Loss: 1.7504 | Avg Accuracy: 64.13 | Model Sparsity: 0.0
Epoch [15/50]: Avg Loss: 1.7386 | Avg Accuracy: 63.70 | Model Sparsity: 0.0
Epoch [16/50]: Avg Loss: 1.7344 | Avg Accuracy: 63.97 | Model Sparsity: 0.0
Epoch [17/50]: Avg Loss: 1.7190 | Avg Accuracy: 64.17 | Model Sparsity: 0.0
Epoch [18/50]: Avg Loss: 1.7015 | Avg Accuracy: 63.76 | Model Sparsity: 0.0
Epoch [19/50]: Avg Loss: 1.6881 | Avg Accuracy: 63.70 | Model Sparsity: 0.0
Epoch [20/50]: Avg Loss: 1.6744 | Avg Accuracy: 64.27 | Model Sparsity: 0.0
Epoch [21/50]: Avg Loss: 1.6712 | Avg Accuracy: 63.99 | Model Sparsity: 0.0
Epoch [22/50]: Avg Loss: 1.6569 | Avg Accuracy: 64.11 | Model Sparsity: 0.0
Epoch [23/50]: Avg Loss: 1.6575 | Avg Accuracy: 64.19 | Model Sparsity: 0.0
Epoch [24/50]: Avg Loss: 1.6537 | Avg Accuracy: 63.78 | Model Sparsity: 0.0
Epoch [25/50]: Avg Loss: 1.6253 | Avg Accuracy: 63.99 | Model Sparsity: 0.0
Epoch [26/50]: Avg Loss: 1.6231 | Avg Accuracy: 63.87 | Model Sparsity: 0.0
Epoch [27/50]: Avg Loss: 1.6127 | Avg Accuracy: 64.24 | Model Sparsity: 0.0
Epoch [28/50]: Avg Loss: 1.6108 | Avg Accuracy: 64.08 | Model Sparsity: 0.0
Epoch [29/50]: Avg Loss: 1.6095 | Avg Accuracy: 64.16 | Model Sparsity: 0.0
Epoch [30/50]: Avg Loss: 1.5988 | Avg Accuracy: 64.12 | Model Sparsity: 0.0
Epoch [31/50]: Avg Loss: 1.5884 | Avg Accuracy: 64.31 | Model Sparsity: 0.0
Epoch [32/50]: Avg Loss: 1.5904 | Avg Accuracy: 63.99 | Model Sparsity: 0.0
Epoch [33/50]: Avg Loss: 1.5803 | Avg Accuracy: 64.03 | Model Sparsity: 0.0
Epoch [34/50]: Avg Loss: 1.5867 | Avg Accuracy: 63.69 | Model Sparsity: 0.0
Epoch [35/50]: Avg Loss: 1.5691 | Avg Accuracy: 63.83 | Model Sparsity: 0.0
Epoch [36/50]: Avg Loss: 1.5627 | Avg Accuracy: 64.29 | Model Sparsity: 0.0
Epoch [37/50]: Avg Loss: 1.5630 | Avg Accuracy: 64.25 | Model Sparsity: 0.0
Epoch [38/50]: Avg Loss: 1.5607 | Avg Accuracy: 63.86 | Model Sparsity: 0.0
Epoch [39/50]: Avg Loss: 1.5466 | Avg Accuracy: 64.15 | Model Sparsity: 0.0
Epoch [40/50]: Avg Loss: 1.5498 | Avg Accuracy: 64.15 | Model Sparsity: 0.0
Epoch [41/50]: Avg Loss: 1.5373 | Avg Accuracy: 64.08 | Model Sparsity: 0.0
Epoch [42/50]: Avg Loss: 1.5496 | Avg Accuracy: 64.52 | Model Sparsity: 0.0
Epoch [43/50]: Avg Loss: 1.5361 | Avg Accuracy: 64.33 | Model Sparsity: 0.0
Epoch [44/50]: Avg Loss: 1.5336 | Avg Accuracy: 64.30 | Model Sparsity: 0.0
Epoch [45/50]: Avg Loss: 1.5323 | Avg Accuracy: 64.81 | Model Sparsity: 0.0
Epoch [46/50]: Avg Loss: 1.5246 | Avg Accuracy: 64.21 | Model Sparsity: 0.0
Epoch [47/50]: Avg Loss: 1.5265 | Avg Accuracy: 64.25 | Model Sparsity: 0.0
Epoch [48/50]: Avg Loss: 1.5259 | Avg Accuracy: 64.55 | Model Sparsity: 0.0
Epoch [49/50]: Avg Loss: 1.5390 | Avg Accuracy: 64.02 | Model Sparsity: 0.0
Epoch [50/50]: Avg Loss: 1.5247 | Avg Accuracy: 64.27 | Model Sparsity: 0.0
