Model : distilbert-base-uncased - Learning Type: wikitext2/baseline
Configuration:
model_type: llm
model_name: distilbert-base-uncased
model_task: wikitext2
num_classes: 30522
criterion: CrossEntropyLoss()
embedding_dim: 768
epochs: 50
pruning_epochs: 50
recovery_epochs: 10
batch_size: 64
learning_rate: 5e-05
learning_type: baseline
scheduler_type: linear_with_warmup
optimizer_type: adamw
total_steps: 3550
warmup_steps: 355
prune: False
target_sparsity: 0.0
sparsity_scheduler: linear
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/distilbert-base-uncased/wikitext2/distilbert-base-uncased_wikitext2_baseline.pt

Epoch [1/50]: Avg Loss: 9.9439 | Avg Accuracy: 8.42 | Model Sparsity: 0.0
Epoch [2/50]: Avg Loss: 7.5815 | Avg Accuracy: 23.18 | Model Sparsity: 0.0
Epoch [3/50]: Avg Loss: 6.2662 | Avg Accuracy: 30.35 | Model Sparsity: 0.0
Epoch [4/50]: Avg Loss: 5.6421 | Avg Accuracy: 34.32 | Model Sparsity: 0.0
Epoch [5/50]: Avg Loss: 5.1574 | Avg Accuracy: 38.36 | Model Sparsity: 0.0
Epoch [6/50]: Avg Loss: 4.7140 | Avg Accuracy: 40.42 | Model Sparsity: 0.0
Epoch [7/50]: Avg Loss: 4.3608 | Avg Accuracy: 42.23 | Model Sparsity: 0.0
Epoch [8/50]: Avg Loss: 4.0686 | Avg Accuracy: 44.37 | Model Sparsity: 0.0
Epoch [9/50]: Avg Loss: 3.8547 | Avg Accuracy: 45.28 | Model Sparsity: 0.0
Epoch [10/50]: Avg Loss: 3.6743 | Avg Accuracy: 46.46 | Model Sparsity: 0.0
Epoch [11/50]: Avg Loss: 3.5297 | Avg Accuracy: 47.09 | Model Sparsity: 0.0
Epoch [12/50]: Avg Loss: 3.3955 | Avg Accuracy: 48.18 | Model Sparsity: 0.0
Epoch [13/50]: Avg Loss: 3.2925 | Avg Accuracy: 49.34 | Model Sparsity: 0.0
Epoch [14/50]: Avg Loss: 3.2066 | Avg Accuracy: 49.08 | Model Sparsity: 0.0
Epoch [15/50]: Avg Loss: 3.1291 | Avg Accuracy: 50.38 | Model Sparsity: 0.0
Epoch [16/50]: Avg Loss: 3.0499 | Avg Accuracy: 50.41 | Model Sparsity: 0.0
Epoch [17/50]: Avg Loss: 2.9837 | Avg Accuracy: 51.62 | Model Sparsity: 0.0
Epoch [18/50]: Avg Loss: 2.9174 | Avg Accuracy: 51.57 | Model Sparsity: 0.0
Epoch [19/50]: Avg Loss: 2.8688 | Avg Accuracy: 52.21 | Model Sparsity: 0.0
Epoch [20/50]: Avg Loss: 2.8217 | Avg Accuracy: 52.32 | Model Sparsity: 0.0
