Model : distilbert-base-uncased - Learning Type: wikitext2/pruning/movement_pruning/0.97
Configuration:
model_type: llm
model_name: distilbert-base-uncased
model_task: wikitext2
num_classes: 30522
criterion: CrossEntropyLoss()
embedding_dim: 768
epochs: 5
pruning_epochs: 5
recovery_epochs: 10
batch_size: 64
learning_rate: 5e-05
learning_type: pruning
optimizer_type: adamw
prune: True
pruning_type: movement_pruning
target_sparsity: 0.97
sparsity_scheduler: cubic
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/distilbert-base-uncased/wikitext2/distilbert-base-uncased_wikitext2_movement_pruning_0.97_pruning.pt
finetuned_weights: /dbfs/research/distilbert-base-uncased/wikitext2/distilbert-base-uncased_wikitext2_baseline.pt

Epoch [1/5]: Avg Loss: 3.6530 | Avg Accuracy: 47.706 | Avg Perplexity: 26.399 |Model Sparsity: 0.4734
Recovery epoch [1/10]: Avg Loss: 3.0854 | Avg Accuracy: 49.226 | Avg Perplexity: 23.468 | Model Sparsity: 0.4734
Recovery epoch [2/10]: Avg Loss: 2.9643 | Avg Accuracy: 50.443 | Avg Perplexity: 21.031 | Model Sparsity: 0.4734
Recovery epoch [3/10]: Avg Loss: 2.8648 | Avg Accuracy: 50.913 | Avg Perplexity: 20.158 | Model Sparsity: 0.4734
Recovery epoch [4/10]: Avg Loss: 2.8056 | Avg Accuracy: 51.275 | Avg Perplexity: 19.309 | Model Sparsity: 0.4734
Recovery epoch [5/10]: Avg Loss: 2.7492 | Avg Accuracy: 51.530 | Avg Perplexity: 18.975 | Model Sparsity: 0.4734
Recovery epoch [6/10]: Avg Loss: 2.7017 | Avg Accuracy: 51.610 | Avg Perplexity: 18.376 | Model Sparsity: 0.4734
Recovery epoch [7/10]: Avg Loss: 2.6567 | Avg Accuracy: 52.045 | Avg Perplexity: 17.972 | Model Sparsity: 0.4734
Recovery epoch [8/10]: Avg Loss: 2.6067 | Avg Accuracy: 52.749 | Avg Perplexity: 16.954 | Model Sparsity: 0.4734
Recovery epoch [9/10]: Avg Loss: 2.5730 | Avg Accuracy: 53.127 | Avg Perplexity: 16.492 | Model Sparsity: 0.4734
Recovery epoch [10/10]: Avg Loss: 2.5509 | Avg Accuracy: 53.213 | Avg Perplexity: 16.133 | Model Sparsity: 0.4734
Epoch [2/5]: Avg Loss: 4.8943 | Avg Accuracy: 35.049 | Avg Perplexity: 70.373 |Model Sparsity: 0.7605
Recovery epoch [1/10]: Avg Loss: 4.0429 | Avg Accuracy: 38.230 | Avg Perplexity: 54.092 | Model Sparsity: 0.7605
Recovery epoch [2/10]: Avg Loss: 3.7685 | Avg Accuracy: 40.598 | Avg Perplexity: 44.191 | Model Sparsity: 0.7605
Recovery epoch [3/10]: Avg Loss: 3.6201 | Avg Accuracy: 41.450 | Avg Perplexity: 40.426 | Model Sparsity: 0.7605
Recovery epoch [4/10]: Avg Loss: 3.4996 | Avg Accuracy: 42.559 | Avg Perplexity: 37.912 | Model Sparsity: 0.7605
Recovery epoch [5/10]: Avg Loss: 3.4075 | Avg Accuracy: 43.338 | Avg Perplexity: 35.011 | Model Sparsity: 0.7605
Recovery epoch [6/10]: Avg Loss: 3.3233 | Avg Accuracy: 43.977 | Avg Perplexity: 32.566 | Model Sparsity: 0.7605
Recovery epoch [7/10]: Avg Loss: 3.2627 | Avg Accuracy: 44.302 | Avg Perplexity: 32.330 | Model Sparsity: 0.7605
Recovery epoch [8/10]: Avg Loss: 3.1952 | Avg Accuracy: 44.949 | Avg Perplexity: 30.636 | Model Sparsity: 0.7605
Recovery epoch [9/10]: Avg Loss: 3.1565 | Avg Accuracy: 45.328 | Avg Perplexity: 29.233 | Model Sparsity: 0.7605
