Model : distilbert-base-uncased - Learning Type: wikitext2/pruning/movement_pruning/0.99
Configuration:
model_type: llm
model_name: distilbert-base-uncased
model_task: wikitext2
embedding_dim: 768
epochs: 5
pruning_epochs: 5
recovery_epochs: 10
batch_size: 64
learning_rate: 5e-05
learning_type: pruning
optimizer_type: adamw
prune: True
pruning_type: movement_pruning
target_sparsity: 0.99
sparsity_scheduler: cubic
enable_mixed_precision: True
device: cuda
save_path: /dbds/research/distilbert-base-uncased/wikitext2/distilbert-base-uncased_wikitext2_movement_pruning_0.99_pruning.pt
finetuned_weights: /dbfs/research/distilbert-base-uncased/wikitext2/distilbert-base-uncased_wikitext2_baseline.pt

Epoch [1/5]: Avg Loss: 2.3882 | Avg Accuracy: 53.22 | Model Sparsity: 0.4831
Recovery epoch [1/10]: Avg Loss: 1.8428 | Avg Accuracy: 54.36 | Model Sparsity: 0.4831
Recovery epoch [2/10]: Avg Loss: 1.7390 | Avg Accuracy: 54.79 | Model Sparsity: 0.4831
Recovery epoch [3/10]: Avg Loss: 1.6798 | Avg Accuracy: 55.16 | Model Sparsity: 0.4831
Recovery epoch [4/10]: Avg Loss: 1.6281 | Avg Accuracy: 56.01 | Model Sparsity: 0.4831
Recovery epoch [5/10]: Avg Loss: 1.5975 | Avg Accuracy: 56.34 | Model Sparsity: 0.4831
Recovery epoch [6/10]: Avg Loss: 1.5659 | Avg Accuracy: 55.85 | Model Sparsity: 0.4831
Recovery epoch [7/10]: Avg Loss: 1.5408 | Avg Accuracy: 56.65 | Model Sparsity: 0.4831
Recovery epoch [8/10]: Avg Loss: 1.5223 | Avg Accuracy: 56.73 | Model Sparsity: 0.4831
Recovery epoch [9/10]: Avg Loss: 1.5035 | Avg Accuracy: 56.82 | Model Sparsity: 0.4831
Recovery epoch [10/10]: Avg Loss: 1.4815 | Avg Accuracy: 56.96 | Model Sparsity: 0.4831
Epoch [2/5]: Avg Loss: 4.6343 | Avg Accuracy: 35.42 | Model Sparsity: 0.7762
Recovery epoch [1/10]: Avg Loss: 3.5520 | Avg Accuracy: 39.34 | Model Sparsity: 0.7762
Recovery epoch [2/10]: Avg Loss: 3.2338 | Avg Accuracy: 40.86 | Model Sparsity: 0.7762
Recovery epoch [3/10]: Avg Loss: 3.0622 | Avg Accuracy: 42.06 | Model Sparsity: 0.7762
Recovery epoch [4/10]: Avg Loss: 2.9256 | Avg Accuracy: 42.94 | Model Sparsity: 0.7762
Recovery epoch [5/10]: Avg Loss: 2.8278 | Avg Accuracy: 44.17 | Model Sparsity: 0.7762
Recovery epoch [6/10]: Avg Loss: 2.7545 | Avg Accuracy: 44.73 | Model Sparsity: 0.7762
Recovery epoch [7/10]: Avg Loss: 2.6845 | Avg Accuracy: 44.90 | Model Sparsity: 0.7762
Recovery epoch [8/10]: Avg Loss: 2.6253 | Avg Accuracy: 45.42 | Model Sparsity: 0.7762
Recovery epoch [9/10]: Avg Loss: 2.5816 | Avg Accuracy: 46.08 | Model Sparsity: 0.7762
Recovery epoch [10/10]: Avg Loss: 2.5378 | Avg Accuracy: 46.63 | Model Sparsity: 0.7762
Epoch [3/5]: Avg Loss: 6.4147 | Avg Accuracy: 15.88 | Model Sparsity: 0.9266
Recovery epoch [1/10]: Avg Loss: 6.1482 | Avg Accuracy: 17.38 | Model Sparsity: 0.9266
