Model : distilbert-base-uncased - Learning Type: wikitext2/pruning/wanda_pruning/0.97
Configuration:
model_type: llm
model_name: distilbert-base-uncased
model_task: wikitext2
embedding_dim: 768
epochs: 5
pruning_epochs: 5
recovery_epochs: 10
batch_size: 64
learning_rate: 5e-05
learning_type: pruning
optimizer_type: adamw
prune: True
pruning_type: wanda_pruning
target_sparsity: 0.97
sparsity_scheduler: cubic
enable_mixed_precision: True
device: cuda
save_path: /dbds/research/distilbert-base-uncased/wikitext2/distilbert-base-uncased_wikitext2_wanda_pruning_0.97_pruning.pt
finetuned_weights: /dbfs/research/distilbert-base-uncased/wikitext2/distilbert-base-uncased_wikitext2_baseline.pt

Epoch [1/5]: Avg Loss: 1.2825 | Avg Accuracy: 58.93 | Model Sparsity: 0.4734
Recovery epoch [1/10]: Avg Loss: 1.2284 | Avg Accuracy: 59.60 | Model Sparsity: 0.4734
Recovery epoch [2/10]: Avg Loss: 1.2121 | Avg Accuracy: 59.45 | Model Sparsity: 0.4734
Recovery epoch [3/10]: Avg Loss: 1.1983 | Avg Accuracy: 59.67 | Model Sparsity: 0.4734
Recovery epoch [4/10]: Avg Loss: 1.1818 | Avg Accuracy: 59.23 | Model Sparsity: 0.4734
Recovery epoch [5/10]: Avg Loss: 1.1831 | Avg Accuracy: 59.19 | Model Sparsity: 0.4734
Recovery epoch [6/10]: Avg Loss: 1.1598 | Avg Accuracy: 59.63 | Model Sparsity: 0.4734
Recovery epoch [7/10]: Avg Loss: 1.1590 | Avg Accuracy: 59.85 | Model Sparsity: 0.4734
Recovery epoch [8/10]: Avg Loss: 1.1470 | Avg Accuracy: 59.51 | Model Sparsity: 0.4734
Recovery epoch [9/10]: Avg Loss: 1.1384 | Avg Accuracy: 59.85 | Model Sparsity: 0.4734
Recovery epoch [10/10]: Avg Loss: 1.1323 | Avg Accuracy: 59.67 | Model Sparsity: 0.4734
Epoch [2/5]: Avg Loss: 3.1904 | Avg Accuracy: 45.85 | Model Sparsity: 0.7605
Recovery epoch [1/10]: Avg Loss: 2.5876 | Avg Accuracy: 47.95 | Model Sparsity: 0.7605
