Model : roberta-base - Learning Type: wikitext2/bacp_finetune/movement_pruning/0.97
Configuration:
model_type: llm
model_name: roberta-base
model_task: wikitext2
num_classes: 50265
embedding_dim: 768
epochs: 50
pruning_epochs: 50
recovery_epochs: 10
batch_size: 64
learning_rate: 0.001
learning_type: bacp_finetune
optimizer_type: adamw
prune: False
pruning_type: movement_pruning
target_sparsity: 0.97
sparsity_scheduler: linear
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/roberta-base/wikitext2/roberta-base_wikitext2_movement_pruning_0.97_bacp_finetune.pt
finetuned_weights: /dbfs/research/roberta-base/wikitext2/roberta-base_wikitext2_movement_pruning_0.97_bacp_pruning.pt

Epoch [1/50]: Avg Loss: 5.1688 | Avg Accuracy: 35.64 | Model Sparsity: 0.97
Epoch [2/50]: Avg Loss: 4.1096 | Avg Accuracy: 37.13 | Model Sparsity: 0.97
Epoch [3/50]: Avg Loss: 3.8828 | Avg Accuracy: 38.59 | Model Sparsity: 0.97
Epoch [4/50]: Avg Loss: 3.7090 | Avg Accuracy: 39.00 | Model Sparsity: 0.97
Epoch [5/50]: Avg Loss: 3.5783 | Avg Accuracy: 40.37 | Model Sparsity: 0.97
Epoch [6/50]: Avg Loss: 3.4648 | Avg Accuracy: 40.70 | Model Sparsity: 0.97
Epoch [7/50]: Avg Loss: 3.3777 | Avg Accuracy: 41.36 | Model Sparsity: 0.97
Epoch [8/50]: Avg Loss: 3.2978 | Avg Accuracy: 41.82 | Model Sparsity: 0.97
Epoch [9/50]: Avg Loss: 3.2251 | Avg Accuracy: 42.33 | Model Sparsity: 0.97
Epoch [10/50]: Avg Loss: 3.1630 | Avg Accuracy: 42.39 | Model Sparsity: 0.97
Epoch [11/50]: Avg Loss: 3.0982 | Avg Accuracy: 42.95 | Model Sparsity: 0.97
Epoch [12/50]: Avg Loss: 3.0447 | Avg Accuracy: 44.19 | Model Sparsity: 0.97
Epoch [13/50]: Avg Loss: 3.0100 | Avg Accuracy: 43.46 | Model Sparsity: 0.97
Epoch [14/50]: Avg Loss: 2.9532 | Avg Accuracy: 44.06 | Model Sparsity: 0.97
Epoch [15/50]: Avg Loss: 2.9165 | Avg Accuracy: 44.05 | Model Sparsity: 0.97
Epoch [16/50]: Avg Loss: 2.8816 | Avg Accuracy: 44.09 | Model Sparsity: 0.97
Epoch [17/50]: Avg Loss: 2.8342 | Avg Accuracy: 44.23 | Model Sparsity: 0.97
Epoch [18/50]: Avg Loss: 2.8045 | Avg Accuracy: 44.10 | Model Sparsity: 0.97
Epoch [19/50]: Avg Loss: 2.7721 | Avg Accuracy: 43.68 | Model Sparsity: 0.97
Epoch [20/50]: Avg Loss: 2.7447 | Avg Accuracy: 45.03 | Model Sparsity: 0.97
Epoch [21/50]: Avg Loss: 2.6969 | Avg Accuracy: 44.69 | Model Sparsity: 0.97
Epoch [22/50]: Avg Loss: 2.6684 | Avg Accuracy: 45.39 | Model Sparsity: 0.97
Epoch [23/50]: Avg Loss: 2.6416 | Avg Accuracy: 44.36 | Model Sparsity: 0.97
Epoch [24/50]: Avg Loss: 2.6160 | Avg Accuracy: 45.46 | Model Sparsity: 0.97
Epoch [25/50]: Avg Loss: 2.5941 | Avg Accuracy: 45.98 | Model Sparsity: 0.97
Epoch [26/50]: Avg Loss: 2.5552 | Avg Accuracy: 45.98 | Model Sparsity: 0.97
Epoch [27/50]: Avg Loss: 2.5382 | Avg Accuracy: 45.20 | Model Sparsity: 0.97
Epoch [28/50]: Avg Loss: 2.5127 | Avg Accuracy: 45.73 | Model Sparsity: 0.97
Epoch [29/50]: Avg Loss: 2.4942 | Avg Accuracy: 45.16 | Model Sparsity: 0.97
Epoch [30/50]: Avg Loss: 2.4774 | Avg Accuracy: 45.55 | Model Sparsity: 0.97
Epoch [31/50]: Avg Loss: 2.4461 | Avg Accuracy: 45.60 | Model Sparsity: 0.97
Epoch [32/50]: Avg Loss: 2.4318 | Avg Accuracy: 46.33 | Model Sparsity: 0.97
Epoch [33/50]: Avg Loss: 2.4196 | Avg Accuracy: 46.12 | Model Sparsity: 0.97
Epoch [34/50]: Avg Loss: 2.3859 | Avg Accuracy: 45.87 | Model Sparsity: 0.97
Epoch [35/50]: Avg Loss: 2.3724 | Avg Accuracy: 45.94 | Model Sparsity: 0.97
Epoch [36/50]: Avg Loss: 2.3538 | Avg Accuracy: 46.05 | Model Sparsity: 0.97
Epoch [37/50]: Avg Loss: 2.3380 | Avg Accuracy: 46.50 | Model Sparsity: 0.97
Epoch [38/50]: Avg Loss: 2.3169 | Avg Accuracy: 46.14 | Model Sparsity: 0.97
Epoch [39/50]: Avg Loss: 2.2979 | Avg Accuracy: 46.01 | Model Sparsity: 0.97
Epoch [40/50]: Avg Loss: 2.2872 | Avg Accuracy: 46.46 | Model Sparsity: 0.97
Epoch [41/50]: Avg Loss: 2.2782 | Avg Accuracy: 46.45 | Model Sparsity: 0.97
Epoch [42/50]: Avg Loss: 2.2587 | Avg Accuracy: 46.32 | Model Sparsity: 0.97
Epoch [43/50]: Avg Loss: 2.2420 | Avg Accuracy: 46.86 | Model Sparsity: 0.97
Epoch [44/50]: Avg Loss: 2.2191 | Avg Accuracy: 46.45 | Model Sparsity: 0.97
Epoch [45/50]: Avg Loss: 2.2032 | Avg Accuracy: 46.63 | Model Sparsity: 0.97
Epoch [46/50]: Avg Loss: 2.1904 | Avg Accuracy: 46.20 | Model Sparsity: 0.97
Epoch [47/50]: Avg Loss: 2.1774 | Avg Accuracy: 46.55 | Model Sparsity: 0.97
Epoch [48/50]: Avg Loss: 2.1659 | Avg Accuracy: 46.51 | Model Sparsity: 0.97
Epoch [49/50]: Avg Loss: 2.1506 | Avg Accuracy: 46.59 | Model Sparsity: 0.97
Epoch [50/50]: Avg Loss: 2.1336 | Avg Accuracy: 46.43 | Model Sparsity: 0.97
