Model : roberta-base - Learning Type: wikitext2/bacp_pruning/magnitude_pruning/0.95
Configuration:
model_name: roberta-base
model_task: wikitext2
model_type: llm
num_classes: 50265
batch_size: 64
learning_rate: 0.001
optimizer_type: adamw
epochs: 5
recovery_epochs: 10
patience: 20
pruning_type: magnitude_pruning
target_sparsity: 0.95
sparsity_scheduler: cubic
pruning_epochs: 5
n_views: 2
temperature: 0.07
base_temperature: 0.07
device: cuda
enable_mixed_precision: True
num_workers: 24
train_batches: 74
val_batches: 7
current_model_path: /dbfs/research/roberta-base/wikitext2/roberta-base_wikitext2_magnitude_pruning_0.95_bacp_pruning.pt

Epoch [1/5]: Avg Total Loss: 10.0366 | Avg PrC Loss: 3.8501 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 3.7891 | Avg CE Loss: 2.3974 | Model Sparsity: 0.4638
Retraining Epoch [1/10]: Avg Total Loss: 10.5558 | Avg PrC Loss: 3.4141 | Avg SnC Loss: 1.8612 | Avg FiC Loss: 3.3121 | Avg CE Loss: 1.9684 | Model Sparsity: 0.4638
Retraining Epoch [2/10]: Avg Total Loss: 10.3542 | Avg PrC Loss: 3.3780 | Avg SnC Loss: 1.8570 | Avg FiC Loss: 3.2737 | Avg CE Loss: 1.8454 | Model Sparsity: 0.4638
Retraining Epoch [3/10]: Avg Total Loss: 10.2407 | Avg PrC Loss: 3.3594 | Avg SnC Loss: 1.8556 | Avg FiC Loss: 3.2540 | Avg CE Loss: 1.7718 | Model Sparsity: 0.4638
Retraining Epoch [4/10]: Avg Total Loss: 10.2503 | Avg PrC Loss: 3.3759 | Avg SnC Loss: 1.8785 | Avg FiC Loss: 3.2725 | Avg CE Loss: 1.7235 | Model Sparsity: 0.4638
Retraining Epoch [5/10]: Avg Total Loss: 10.1117 | Avg PrC Loss: 3.3460 | Avg SnC Loss: 1.8562 | Avg FiC Loss: 3.2383 | Avg CE Loss: 1.6713 | Model Sparsity: 0.4638
Retraining Epoch [6/10]: Avg Total Loss: 10.0102 | Avg PrC Loss: 3.3248 | Avg SnC Loss: 1.8420 | Avg FiC Loss: 3.2151 | Avg CE Loss: 1.6283 | Model Sparsity: 0.4638
Retraining Epoch [7/10]: Avg Total Loss: 9.9277 | Avg PrC Loss: 3.3084 | Avg SnC Loss: 1.8335 | Avg FiC Loss: 3.1982 | Avg CE Loss: 1.5876 | Model Sparsity: 0.4638
Retraining Epoch [8/10]: Avg Total Loss: 9.9128 | Avg PrC Loss: 3.3126 | Avg SnC Loss: 1.8422 | Avg FiC Loss: 3.2027 | Avg CE Loss: 1.5553 | Model Sparsity: 0.4638
Retraining Epoch [9/10]: Avg Total Loss: 9.8748 | Avg PrC Loss: 3.3079 | Avg SnC Loss: 1.8437 | Avg FiC Loss: 3.1978 | Avg CE Loss: 1.5254 | Model Sparsity: 0.4638
Retraining Epoch [10/10]: Avg Total Loss: 9.8151 | Avg PrC Loss: 3.2992 | Avg SnC Loss: 1.8358 | Avg FiC Loss: 3.1871 | Avg CE Loss: 1.4930 | Model Sparsity: 0.4638
