Model : roberta-base - Learning Type: wikitext2/bacp_pruning/movement_pruning/0.95
Configuration:
model_name: roberta-base
model_task: wikitext2
model_type: llm
num_classes: 50265
batch_size: 64
learning_rate: 0.001
optimizer_type: adamw
epochs: 5
recovery_epochs: 10
patience: 20
pruning_type: movement_pruning
target_sparsity: 0.95
sparsity_scheduler: cubic
pruning_epochs: 5
n_views: 2
temperature: 0.07
base_temperature: 0.07
device: cuda
enable_mixed_precision: True
num_workers: 24
train_batches: 74
val_batches: 7
current_model_path: /dbfs/research/roberta-base/wikitext2/roberta-base_wikitext2_movement_pruning_0.95_bacp_pruning.pt

Epoch [1/5]: Avg Total Loss: 12.1486 | Avg PrC Loss: 4.7687 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 4.7948 | Avg CE Loss: 2.5851 | Model Sparsity: 0.4636
Retraining Epoch [1/10]: Avg Total Loss: 16.5955 | Avg PrC Loss: 4.7376 | Avg SnC Loss: 4.6104 | Avg FiC Loss: 4.7654 | Avg CE Loss: 2.4822 | Model Sparsity: 0.4636
Retraining Epoch [2/10]: Avg Total Loss: 16.5131 | Avg PrC Loss: 4.7011 | Avg SnC Loss: 4.6212 | Avg FiC Loss: 4.7234 | Avg CE Loss: 2.4674 | Model Sparsity: 0.4636
Retraining Epoch [3/10]: Avg Total Loss: 16.3920 | Avg PrC Loss: 4.6297 | Avg SnC Loss: 4.6625 | Avg FiC Loss: 4.6404 | Avg CE Loss: 2.4594 | Model Sparsity: 0.4636
Retraining Epoch [4/10]: Avg Total Loss: 16.3613 | Avg PrC Loss: 4.6173 | Avg SnC Loss: 4.6678 | Avg FiC Loss: 4.6269 | Avg CE Loss: 2.4493 | Model Sparsity: 0.4636
Retraining Epoch [5/10]: Avg Total Loss: 16.3402 | Avg PrC Loss: 4.6128 | Avg SnC Loss: 4.6665 | Avg FiC Loss: 4.6219 | Avg CE Loss: 2.4389 | Model Sparsity: 0.4636
Retraining Epoch [6/10]: Avg Total Loss: 16.3376 | Avg PrC Loss: 4.6136 | Avg SnC Loss: 4.6695 | Avg FiC Loss: 4.6224 | Avg CE Loss: 2.4321 | Model Sparsity: 0.4636
Retraining Epoch [7/10]: Avg Total Loss: 16.3275 | Avg PrC Loss: 4.6127 | Avg SnC Loss: 4.6686 | Avg FiC Loss: 4.6214 | Avg CE Loss: 2.4249 | Model Sparsity: 0.4636
Retraining Epoch [8/10]: Avg Total Loss: 16.3206 | Avg PrC Loss: 4.6124 | Avg SnC Loss: 4.6691 | Avg FiC Loss: 4.6210 | Avg CE Loss: 2.4180 | Model Sparsity: 0.4636
Retraining Epoch [9/10]: Avg Total Loss: 16.3153 | Avg PrC Loss: 4.6132 | Avg SnC Loss: 4.6700 | Avg FiC Loss: 4.6218 | Avg CE Loss: 2.4103 | Model Sparsity: 0.4636
Retraining Epoch [10/10]: Avg Total Loss: 16.3074 | Avg PrC Loss: 4.6122 | Avg SnC Loss: 4.6695 | Avg FiC Loss: 4.6206 | Avg CE Loss: 2.4051 | Model Sparsity: 0.4636
Epoch [2/5]: Avg Total Loss: 16.2939 | Avg PrC Loss: 4.6105 | Avg SnC Loss: 4.6689 | Avg FiC Loss: 4.6189 | Avg CE Loss: 2.3956 | Model Sparsity: 0.7448
Retraining Epoch [1/10]: Avg Total Loss: 21.1913 | Avg PrC Loss: 4.7458 | Avg SnC Loss: 9.2594 | Avg FiC Loss: 4.7741 | Avg CE Loss: 2.4120 | Model Sparsity: 0.7448
Retraining Epoch [2/10]: Avg Total Loss: 21.2293 | Avg PrC Loss: 4.7750 | Avg SnC Loss: 9.2529 | Avg FiC Loss: 4.8061 | Avg CE Loss: 2.3953 | Model Sparsity: 0.7448
Retraining Epoch [3/10]: Avg Total Loss: 21.2255 | Avg PrC Loss: 4.7756 | Avg SnC Loss: 9.2612 | Avg FiC Loss: 4.8069 | Avg CE Loss: 2.3818 | Model Sparsity: 0.7448
Retraining Epoch [4/10]: Avg Total Loss: 21.2117 | Avg PrC Loss: 4.7744 | Avg SnC Loss: 9.2546 | Avg FiC Loss: 4.8059 | Avg CE Loss: 2.3767 | Model Sparsity: 0.7448
Retraining Epoch [5/10]: Avg Total Loss: 21.1875 | Avg PrC Loss: 4.7724 | Avg SnC Loss: 9.2397 | Avg FiC Loss: 4.8039 | Avg CE Loss: 2.3714 | Model Sparsity: 0.7448
Retraining Epoch [6/10]: Avg Total Loss: 21.1914 | Avg PrC Loss: 4.7697 | Avg SnC Loss: 9.2575 | Avg FiC Loss: 4.8004 | Avg CE Loss: 2.3639 | Model Sparsity: 0.7448
Retraining Epoch [7/10]: Avg Total Loss: 21.1855 | Avg PrC Loss: 4.7695 | Avg SnC Loss: 9.2566 | Avg FiC Loss: 4.8003 | Avg CE Loss: 2.3590 | Model Sparsity: 0.7448
Retraining Epoch [8/10]: Avg Total Loss: 21.1790 | Avg PrC Loss: 4.7671 | Avg SnC Loss: 9.2548 | Avg FiC Loss: 4.8014 | Avg CE Loss: 2.3557 | Model Sparsity: 0.7448
Retraining Epoch [9/10]: Avg Total Loss: 21.1910 | Avg PrC Loss: 4.7703 | Avg SnC Loss: 9.2649 | Avg FiC Loss: 4.8049 | Avg CE Loss: 2.3510 | Model Sparsity: 0.7448
Retraining Epoch [10/10]: Avg Total Loss: 21.1764 | Avg PrC Loss: 4.7687 | Avg SnC Loss: 9.2583 | Avg FiC Loss: 4.8034 | Avg CE Loss: 2.3459 | Model Sparsity: 0.7448
Epoch [3/5]: Avg Total Loss: 21.0863 | Avg PrC Loss: 4.7170 | Avg SnC Loss: 9.2729 | Avg FiC Loss: 4.7450 | Avg CE Loss: 2.3513 | Model Sparsity: 0.8892
Retraining Epoch [1/10]: Avg Total Loss: 25.4799 | Avg PrC Loss: 4.6476 | Avg SnC Loss: 13.8232 | Avg FiC Loss: 4.6668 | Avg CE Loss: 2.3423 | Model Sparsity: 0.8892
Retraining Epoch [2/10]: Avg Total Loss: 25.4737 | Avg PrC Loss: 4.6467 | Avg SnC Loss: 13.8264 | Avg FiC Loss: 4.6658 | Avg CE Loss: 2.3348 | Model Sparsity: 0.8892
Retraining Epoch [3/10]: Avg Total Loss: 25.4702 | Avg PrC Loss: 4.6462 | Avg SnC Loss: 13.8270 | Avg FiC Loss: 4.6653 | Avg CE Loss: 2.3317 | Model Sparsity: 0.8892
Retraining Epoch [4/10]: Avg Total Loss: 25.4667 | Avg PrC Loss: 4.6467 | Avg SnC Loss: 13.8281 | Avg FiC Loss: 4.6657 | Avg CE Loss: 2.3262 | Model Sparsity: 0.8892
Retraining Epoch [5/10]: Avg Total Loss: 25.4582 | Avg PrC Loss: 4.6457 | Avg SnC Loss: 13.8249 | Avg FiC Loss: 4.6647 | Avg CE Loss: 2.3229 | Model Sparsity: 0.8892
