Model : roberta-base - Learning Type: wikitext2/bacp_pruning/wanda_pruning/0.95
Configuration:
model_name: roberta-base
model_task: wikitext2
model_type: llm
num_classes: 50265
batch_size: 64
learning_rate: 0.001
optimizer_type: adamw
epochs: 5
recovery_epochs: 10
patience: 20
pruning_type: wanda_pruning
target_sparsity: 0.95
sparsity_scheduler: cubic
pruning_epochs: 5
n_views: 2
temperature: 0.07
base_temperature: 0.07
device: cuda
enable_mixed_precision: True
num_workers: 24
train_batches: 74
val_batches: 7
current_model_path: /dbfs/research/roberta-base/wikitext2/roberta-base_wikitext2_wanda_pruning_0.95_bacp_pruning.pt

Epoch [1/5]: Avg Total Loss: 12.2249 | Avg PrC Loss: 4.8201 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 4.8377 | Avg CE Loss: 2.5672 | Model Sparsity: 0.4636
Retraining Epoch [1/10]: Avg Total Loss: 16.8479 | Avg PrC Loss: 4.8354 | Avg SnC Loss: 4.6700 | Avg FiC Loss: 4.8614 | Avg CE Loss: 2.4810 | Model Sparsity: 0.4636
Retraining Epoch [2/10]: Avg Total Loss: 16.7496 | Avg PrC Loss: 4.7986 | Avg SnC Loss: 4.6667 | Avg FiC Loss: 4.8241 | Avg CE Loss: 2.4603 | Model Sparsity: 0.4636
Retraining Epoch [3/10]: Avg Total Loss: 16.7024 | Avg PrC Loss: 4.7935 | Avg SnC Loss: 4.6449 | Avg FiC Loss: 4.8162 | Avg CE Loss: 2.4478 | Model Sparsity: 0.4636
Retraining Epoch [4/10]: Avg Total Loss: 16.6594 | Avg PrC Loss: 4.7755 | Avg SnC Loss: 4.6463 | Avg FiC Loss: 4.7984 | Avg CE Loss: 2.4392 | Model Sparsity: 0.4636
Retraining Epoch [5/10]: Avg Total Loss: 16.6122 | Avg PrC Loss: 4.7598 | Avg SnC Loss: 4.6439 | Avg FiC Loss: 4.7798 | Avg CE Loss: 2.4288 | Model Sparsity: 0.4636
Retraining Epoch [6/10]: Avg Total Loss: 16.5481 | Avg PrC Loss: 4.7357 | Avg SnC Loss: 4.6347 | Avg FiC Loss: 4.7565 | Avg CE Loss: 2.4212 | Model Sparsity: 0.4636
Retraining Epoch [7/10]: Avg Total Loss: 16.4792 | Avg PrC Loss: 4.6951 | Avg SnC Loss: 4.6558 | Avg FiC Loss: 4.7106 | Avg CE Loss: 2.4177 | Model Sparsity: 0.4636
Retraining Epoch [8/10]: Avg Total Loss: 16.3815 | Avg PrC Loss: 4.6372 | Avg SnC Loss: 4.6892 | Avg FiC Loss: 4.6437 | Avg CE Loss: 2.4114 | Model Sparsity: 0.4636
Retraining Epoch [9/10]: Avg Total Loss: 16.3592 | Avg PrC Loss: 4.6278 | Avg SnC Loss: 4.6964 | Avg FiC Loss: 4.6323 | Avg CE Loss: 2.4026 | Model Sparsity: 0.4636
Retraining Epoch [10/10]: Avg Total Loss: 16.3441 | Avg PrC Loss: 4.6239 | Avg SnC Loss: 4.6962 | Avg FiC Loss: 4.6278 | Avg CE Loss: 2.3962 | Model Sparsity: 0.4636
