Model : roberta-base - Learning Type: wikitext2/pruning/magnitude_pruning/0.99
Configuration:
model_type: llm
model_name: roberta-base
model_task: wikitext2
num_classes: 30522
embedding_dim: 768
epochs: 5
pruning_epochs: 5
recovery_epochs: 10
batch_size: 64
learning_rate: 5e-05
learning_type: pruning
optimizer_type: adamw
prune: True
pruning_type: magnitude_pruning
target_sparsity: 0.99
sparsity_scheduler: cubic
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/roberta-base/wikitext2/roberta-base_wikitext2_magnitude_pruning_0.99_pruning.pt
finetuned_weights: /dbfs/research/roberta-base/wikitext2/roberta-base_wikitext2_baseline.pt

Epoch [1/5]: Avg Loss: 3.1330 | Avg Accuracy: 65.22 | Model Sparsity: 0.4831
Recovery epoch [1/10]: Avg Loss: 1.8912 | Avg Accuracy: 67.26 | Model Sparsity: 0.4831
Recovery epoch [2/10]: Avg Loss: 1.7913 | Avg Accuracy: 67.51 | Model Sparsity: 0.4831
Recovery epoch [3/10]: Avg Loss: 1.7208 | Avg Accuracy: 68.60 | Model Sparsity: 0.4831
Recovery epoch [4/10]: Avg Loss: 1.6769 | Avg Accuracy: 68.33 | Model Sparsity: 0.4831
Recovery epoch [5/10]: Avg Loss: 1.6426 | Avg Accuracy: 68.75 | Model Sparsity: 0.4831
Recovery epoch [6/10]: Avg Loss: 1.6130 | Avg Accuracy: 68.82 | Model Sparsity: 0.4831
Recovery epoch [7/10]: Avg Loss: 1.5970 | Avg Accuracy: 69.35 | Model Sparsity: 0.4831
Recovery epoch [8/10]: Avg Loss: 1.5617 | Avg Accuracy: 69.10 | Model Sparsity: 0.4831
Recovery epoch [9/10]: Avg Loss: 1.5492 | Avg Accuracy: 69.98 | Model Sparsity: 0.4831
Recovery epoch [10/10]: Avg Loss: 1.5314 | Avg Accuracy: 69.66 | Model Sparsity: 0.4831
Epoch [2/5]: Avg Loss: 7.1836 | Avg Accuracy: 15.46 | Model Sparsity: 0.7762
Recovery epoch [1/10]: Avg Loss: 6.2573 | Avg Accuracy: 24.28 | Model Sparsity: 0.7762
Recovery epoch [2/10]: Avg Loss: 5.4228 | Avg Accuracy: 29.52 | Model Sparsity: 0.7762
Recovery epoch [3/10]: Avg Loss: 4.8390 | Avg Accuracy: 34.94 | Model Sparsity: 0.7762
Recovery epoch [4/10]: Avg Loss: 4.3810 | Avg Accuracy: 38.19 | Model Sparsity: 0.7762
Recovery epoch [5/10]: Avg Loss: 4.0682 | Avg Accuracy: 41.49 | Model Sparsity: 0.7762
