Model : roberta-base - Learning Type: wikitext2/pruning/wanda_pruning/0.95
Configuration:
model_type: llm
model_name: roberta-base
model_task: wikitext2
num_classes: 30522
embedding_dim: 768
epochs: 5
pruning_epochs: 5
recovery_epochs: 10
batch_size: 64
learning_rate: 5e-05
learning_type: pruning
optimizer_type: adamw
prune: True
pruning_type: wanda_pruning
target_sparsity: 0.95
sparsity_scheduler: cubic
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/roberta-base/wikitext2/roberta-base_wikitext2_wanda_pruning_0.95_pruning.pt
finetuned_weights: /dbfs/research/roberta-base/wikitext2/roberta-base_wikitext2_baseline.pt

Epoch [1/5]: Avg Loss: 1.6683 | Avg Accuracy: 69.40 | Model Sparsity: 0.4636
Recovery epoch [1/10]: Avg Loss: 1.5181 | Avg Accuracy: 70.24 | Model Sparsity: 0.4636
Recovery epoch [2/10]: Avg Loss: 1.5032 | Avg Accuracy: 70.25 | Model Sparsity: 0.4636
Recovery epoch [3/10]: Avg Loss: 1.4674 | Avg Accuracy: 70.09 | Model Sparsity: 0.4636
Recovery epoch [4/10]: Avg Loss: 1.4565 | Avg Accuracy: 70.27 | Model Sparsity: 0.4636
Recovery epoch [5/10]: Avg Loss: 1.4420 | Avg Accuracy: 70.42 | Model Sparsity: 0.4636
Recovery epoch [6/10]: Avg Loss: 1.4242 | Avg Accuracy: 70.42 | Model Sparsity: 0.4636
Recovery epoch [7/10]: Avg Loss: 1.4123 | Avg Accuracy: 70.69 | Model Sparsity: 0.4636
Recovery epoch [8/10]: Avg Loss: 1.4042 | Avg Accuracy: 70.53 | Model Sparsity: 0.4636
Recovery epoch [9/10]: Avg Loss: 1.3986 | Avg Accuracy: 70.89 | Model Sparsity: 0.4636
Recovery epoch [10/10]: Avg Loss: 1.3811 | Avg Accuracy: 71.16 | Model Sparsity: 0.4636
Epoch [2/5]: Avg Loss: 3.4470 | Avg Accuracy: 53.52 | Model Sparsity: 0.7448
Recovery epoch [1/10]: Avg Loss: 2.7615 | Avg Accuracy: 55.28 | Model Sparsity: 0.7448
Recovery epoch [2/10]: Avg Loss: 2.6105 | Avg Accuracy: 56.52 | Model Sparsity: 0.7448
Recovery epoch [3/10]: Avg Loss: 2.5205 | Avg Accuracy: 56.94 | Model Sparsity: 0.7448
Recovery epoch [4/10]: Avg Loss: 2.4462 | Avg Accuracy: 57.97 | Model Sparsity: 0.7448
Recovery epoch [5/10]: Avg Loss: 2.3837 | Avg Accuracy: 58.05 | Model Sparsity: 0.7448
Recovery epoch [6/10]: Avg Loss: 2.3384 | Avg Accuracy: 58.23 | Model Sparsity: 0.7448
Recovery epoch [7/10]: Avg Loss: 2.2937 | Avg Accuracy: 59.71 | Model Sparsity: 0.7448
Recovery epoch [8/10]: Avg Loss: 2.2658 | Avg Accuracy: 59.11 | Model Sparsity: 0.7448
