Model : resnet50 - Learning Type: cifar10/bacp_LS_all_losses/magnitude_pruning/0.99
Configuration:
model_name: resnet50
model_task: cifar10
model_type: cv
num_classes: 10
batch_size: 512
learning_rate: 0.1
optimizer_type: sgd
epochs: 5
recovery_epochs: 10
patience: 5
pruning_type: magnitude_pruning
target_sparsity: 0.99
sparsity_scheduler: cubic
pruning_epochs: 5
n_views: 2
temperature: 0.07
base_temperature: 0.07
device: cuda
enable_mixed_precision: True
num_workers: 24
train_batches: 83
val_batches: 14
current_model_path: /dbfs/research/resnet50/cifar10/resnet50_cifar10_magnitude_pruning_0.99_bacp_LS_all_losses.pt

Epoch [1/5]: Avg Total Loss: 8.4811 | Avg PrC Loss: 3.8987 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 4.1845 | Avg CE Loss: 0.3978 | Model Sparsity: 0.4831
Retraining Epoch [1/10]: Avg Total Loss: 8.1441 | Avg PrC Loss: 3.8557 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 4.0761 | Avg CE Loss: 0.2123 | Model Sparsity: 0.4831
Retraining Epoch [2/10]: Avg Total Loss: 7.7210 | Avg PrC Loss: 3.7743 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 3.7840 | Avg CE Loss: 0.1627 | Model Sparsity: 0.4831
Retraining Epoch [3/10]: Avg Total Loss: 7.2496 | Avg PrC Loss: 3.7062 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 3.3962 | Avg CE Loss: 0.1471 | Model Sparsity: 0.4831
Retraining Epoch [4/10]: Avg Total Loss: 6.9135 | Avg PrC Loss: 3.6457 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 3.1385 | Avg CE Loss: 0.1293 | Model Sparsity: 0.4831
Retraining Epoch [5/10]: Avg Total Loss: 6.7417 | Avg PrC Loss: 3.6133 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 3.0205 | Avg CE Loss: 0.1079 | Model Sparsity: 0.4831
Retraining Epoch [6/10]: Avg Total Loss: 6.6566 | Avg PrC Loss: 3.5955 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.9678 | Avg CE Loss: 0.0933 | Model Sparsity: 0.4831
Retraining Epoch [7/10]: Avg Total Loss: 6.5742 | Avg PrC Loss: 3.5704 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.9193 | Avg CE Loss: 0.0845 | Model Sparsity: 0.4831
Retraining Epoch [8/10]: Avg Total Loss: 6.5045 | Avg PrC Loss: 3.5456 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.8801 | Avg CE Loss: 0.0788 | Model Sparsity: 0.4831
Retraining Epoch [9/10]: Avg Total Loss: 6.4366 | Avg PrC Loss: 3.5232 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.8386 | Avg CE Loss: 0.0749 | Model Sparsity: 0.4831
Retraining Epoch [10/10]: Avg Total Loss: 6.3830 | Avg PrC Loss: 3.5073 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.8048 | Avg CE Loss: 0.0709 | Model Sparsity: 0.4831
Epoch [2/5]: Avg Total Loss: 8.7329 | Avg PrC Loss: 3.5270 | Avg SnC Loss: 2.3552 | Avg FiC Loss: 2.7760 | Avg CE Loss: 0.0748 | Model Sparsity: 0.7762
Retraining Epoch [1/10]: Avg Total Loss: 8.6831 | Avg PrC Loss: 3.5137 | Avg SnC Loss: 2.3478 | Avg FiC Loss: 2.7502 | Avg CE Loss: 0.0714 | Model Sparsity: 0.7762
Retraining Epoch [2/10]: Avg Total Loss: 8.6659 | Avg PrC Loss: 3.5103 | Avg SnC Loss: 2.3477 | Avg FiC Loss: 2.7392 | Avg CE Loss: 0.0688 | Model Sparsity: 0.7762
Retraining Epoch [3/10]: Avg Total Loss: 8.6448 | Avg PrC Loss: 3.5044 | Avg SnC Loss: 2.3448 | Avg FiC Loss: 2.7279 | Avg CE Loss: 0.0676 | Model Sparsity: 0.7762
Retraining Epoch [4/10]: Avg Total Loss: 8.6398 | Avg PrC Loss: 3.5003 | Avg SnC Loss: 2.3475 | Avg FiC Loss: 2.7256 | Avg CE Loss: 0.0664 | Model Sparsity: 0.7762
Retraining Epoch [5/10]: Avg Total Loss: 8.6231 | Avg PrC Loss: 3.5000 | Avg SnC Loss: 2.3445 | Avg FiC Loss: 2.7130 | Avg CE Loss: 0.0656 | Model Sparsity: 0.7762
Retraining Epoch [6/10]: Avg Total Loss: 8.5991 | Avg PrC Loss: 3.4921 | Avg SnC Loss: 2.3404 | Avg FiC Loss: 2.7037 | Avg CE Loss: 0.0629 | Model Sparsity: 0.7762
Retraining Epoch [7/10]: Avg Total Loss: 8.6025 | Avg PrC Loss: 3.4934 | Avg SnC Loss: 2.3439 | Avg FiC Loss: 2.7002 | Avg CE Loss: 0.0650 | Model Sparsity: 0.7762
