Model : resnet50 - Learning Type: cifar10/bacp_LS_disable_all_loss/magnitude_pruning/0.95
Configuration:
model_name: resnet50
model_task: cifar10
model_type: cv
num_classes: 10
batch_size: 512
learning_rate: 0.1
optimizer_type: sgd
epochs: 5
recovery_epochs: 10
patience: 5
pruning_type: magnitude_pruning
target_sparsity: 0.95
sparsity_scheduler: cubic
pruning_epochs: 5
n_views: 2
temperature: 0.07
base_temperature: 0.07
device: cuda
enable_mixed_precision: True
num_workers: 24
train_batches: 83
val_batches: 14
current_model_path: /dbfs/research/resnet50/cifar10/resnet50_cifar10_magnitude_pruning_0.95_bacp_LS_disable_all_loss.pt

Epoch [1/5]: Avg Total Loss: 0.4021 | Avg PrC Loss: 0.0000 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 0.0000 | Avg CE Loss: 0.4021 | Model Sparsity: 0.4636
Retraining Epoch [1/10]: Avg Total Loss: 0.2131 | Avg PrC Loss: 0.0000 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 0.0000 | Avg CE Loss: 0.2131 | Model Sparsity: 0.4636
Retraining Epoch [2/10]: Avg Total Loss: 0.1455 | Avg PrC Loss: 0.0000 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 0.0000 | Avg CE Loss: 0.1455 | Model Sparsity: 0.4636
Retraining Epoch [3/10]: Avg Total Loss: 0.1158 | Avg PrC Loss: 0.0000 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 0.0000 | Avg CE Loss: 0.1158 | Model Sparsity: 0.4636
Retraining Epoch [4/10]: Avg Total Loss: 0.1001 | Avg PrC Loss: 0.0000 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 0.0000 | Avg CE Loss: 0.1001 | Model Sparsity: 0.4636
Retraining Epoch [5/10]: Avg Total Loss: 0.0878 | Avg PrC Loss: 0.0000 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 0.0000 | Avg CE Loss: 0.0878 | Model Sparsity: 0.4636
Retraining Epoch [6/10]: Avg Total Loss: 0.0775 | Avg PrC Loss: 0.0000 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 0.0000 | Avg CE Loss: 0.0775 | Model Sparsity: 0.4636
Retraining Epoch [7/10]: Avg Total Loss: 0.0745 | Avg PrC Loss: 0.0000 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 0.0000 | Avg CE Loss: 0.0745 | Model Sparsity: 0.4636
Retraining Epoch [8/10]: Avg Total Loss: 0.0712 | Avg PrC Loss: 0.0000 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 0.0000 | Avg CE Loss: 0.0712 | Model Sparsity: 0.4636
Retraining Epoch [9/10]: Avg Total Loss: 0.0684 | Avg PrC Loss: 0.0000 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 0.0000 | Avg CE Loss: 0.0684 | Model Sparsity: 0.4636
Retraining Epoch [10/10]: Avg Total Loss: 0.0681 | Avg PrC Loss: 0.0000 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 0.0000 | Avg CE Loss: 0.0681 | Model Sparsity: 0.4636
Epoch [2/5]: Avg Total Loss: 0.0626 | Avg PrC Loss: 0.0000 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 0.0000 | Avg CE Loss: 0.0626 | Model Sparsity: 0.7448
Retraining Epoch [1/10]: Avg Total Loss: 0.0555 | Avg PrC Loss: 0.0000 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 0.0000 | Avg CE Loss: 0.0555 | Model Sparsity: 0.7448
Retraining Epoch [2/10]: Avg Total Loss: 0.0541 | Avg PrC Loss: 0.0000 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 0.0000 | Avg CE Loss: 0.0541 | Model Sparsity: 0.7448
Retraining Epoch [3/10]: Avg Total Loss: 0.0564 | Avg PrC Loss: 0.0000 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 0.0000 | Avg CE Loss: 0.0564 | Model Sparsity: 0.7448
Retraining Epoch [4/10]: Avg Total Loss: 0.0540 | Avg PrC Loss: 0.0000 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 0.0000 | Avg CE Loss: 0.0540 | Model Sparsity: 0.7448
Retraining Epoch [5/10]: Avg Total Loss: 0.0542 | Avg PrC Loss: 0.0000 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 0.0000 | Avg CE Loss: 0.0542 | Model Sparsity: 0.7448
Retraining Epoch [6/10]: Avg Total Loss: 0.0568 | Avg PrC Loss: 0.0000 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 0.0000 | Avg CE Loss: 0.0568 | Model Sparsity: 0.7448
Retraining Epoch [7/10]: Avg Total Loss: 0.0574 | Avg PrC Loss: 0.0000 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 0.0000 | Avg CE Loss: 0.0574 | Model Sparsity: 0.7448
Retraining Epoch [8/10]: Avg Total Loss: 0.0587 | Avg PrC Loss: 0.0000 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 0.0000 | Avg CE Loss: 0.0587 | Model Sparsity: 0.7448
Retraining Epoch [9/10]: Avg Total Loss: 0.0604 | Avg PrC Loss: 0.0000 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 0.0000 | Avg CE Loss: 0.0604 | Model Sparsity: 0.7448
Retraining Epoch [10/10]: Avg Total Loss: 0.0609 | Avg PrC Loss: 0.0000 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 0.0000 | Avg CE Loss: 0.0609 | Model Sparsity: 0.7448
Epoch [3/5]: Avg Total Loss: 0.0740 | Avg PrC Loss: 0.0000 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 0.0000 | Avg CE Loss: 0.0740 | Model Sparsity: 0.8892
Retraining Epoch [1/10]: Avg Total Loss: 0.0645 | Avg PrC Loss: 0.0000 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 0.0000 | Avg CE Loss: 0.0645 | Model Sparsity: 0.8892
Retraining Epoch [2/10]: Avg Total Loss: 0.0608 | Avg PrC Loss: 0.0000 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 0.0000 | Avg CE Loss: 0.0608 | Model Sparsity: 0.8892
Retraining Epoch [3/10]: Avg Total Loss: 0.0631 | Avg PrC Loss: 0.0000 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 0.0000 | Avg CE Loss: 0.0631 | Model Sparsity: 0.8892
Retraining Epoch [4/10]: Avg Total Loss: 0.0628 | Avg PrC Loss: 0.0000 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 0.0000 | Avg CE Loss: 0.0628 | Model Sparsity: 0.8892
Retraining Epoch [5/10]: Avg Total Loss: 0.0632 | Avg PrC Loss: 0.0000 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 0.0000 | Avg CE Loss: 0.0632 | Model Sparsity: 0.8892
Retraining Epoch [6/10]: Avg Total Loss: 0.0644 | Avg PrC Loss: 0.0000 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 0.0000 | Avg CE Loss: 0.0644 | Model Sparsity: 0.8892
Retraining Epoch [7/10]: Avg Total Loss: 0.0635 | Avg PrC Loss: 0.0000 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 0.0000 | Avg CE Loss: 0.0635 | Model Sparsity: 0.8892
Retraining Epoch [8/10]: Avg Total Loss: 0.0652 | Avg PrC Loss: 0.0000 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 0.0000 | Avg CE Loss: 0.0652 | Model Sparsity: 0.8892
Retraining Epoch [9/10]: Avg Total Loss: 0.0663 | Avg PrC Loss: 0.0000 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 0.0000 | Avg CE Loss: 0.0663 | Model Sparsity: 0.8892
