Model : resnet50 - Learning Type: cifar10/bacp_LS_disable_unsupervised_loss/magnitude_pruning/0.95
Configuration:
model_name: resnet50
model_task: cifar10
model_type: cv
num_classes: 10
batch_size: 512
learning_rate: 0.1
optimizer_type: sgd
epochs: 5
recovery_epochs: 10
patience: 5
pruning_type: magnitude_pruning
target_sparsity: 0.95
sparsity_scheduler: cubic
pruning_epochs: 5
n_views: 2
temperature: 0.07
base_temperature: 0.07
device: cuda
enable_mixed_precision: True
num_workers: 24
train_batches: 83
val_batches: 14
current_model_path: /dbfs/research/resnet50/cifar10/resnet50_cifar10_magnitude_pruning_0.95_bacp_LS_disable_unsupervised_loss.pt

Epoch [1/5]: Avg Total Loss: 4.0369 | Avg PrC Loss: 1.8284 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 1.8185 | Avg CE Loss: 0.3900 | Model Sparsity: 0.4636
Retraining Epoch [1/10]: Avg Total Loss: 3.5256 | Avg PrC Loss: 1.7365 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 1.5868 | Avg CE Loss: 0.2023 | Model Sparsity: 0.4636
Retraining Epoch [2/10]: Avg Total Loss: 3.3597 | Avg PrC Loss: 1.7039 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 1.5106 | Avg CE Loss: 0.1452 | Model Sparsity: 0.4636
Retraining Epoch [3/10]: Avg Total Loss: 3.3024 | Avg PrC Loss: 1.6950 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 1.4891 | Avg CE Loss: 0.1183 | Model Sparsity: 0.4636
Retraining Epoch [4/10]: Avg Total Loss: 3.2673 | Avg PrC Loss: 1.6893 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 1.4764 | Avg CE Loss: 0.1016 | Model Sparsity: 0.4636
Retraining Epoch [5/10]: Avg Total Loss: 3.2491 | Avg PrC Loss: 1.6866 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 1.4711 | Avg CE Loss: 0.0914 | Model Sparsity: 0.4636
Retraining Epoch [6/10]: Avg Total Loss: 3.2315 | Avg PrC Loss: 1.6843 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 1.4625 | Avg CE Loss: 0.0847 | Model Sparsity: 0.4636
Retraining Epoch [7/10]: Avg Total Loss: 3.2273 | Avg PrC Loss: 1.6833 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 1.4626 | Avg CE Loss: 0.0814 | Model Sparsity: 0.4636
Retraining Epoch [8/10]: Avg Total Loss: 3.2196 | Avg PrC Loss: 1.6824 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 1.4586 | Avg CE Loss: 0.0786 | Model Sparsity: 0.4636
Retraining Epoch [9/10]: Avg Total Loss: 3.2128 | Avg PrC Loss: 1.6815 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 1.4559 | Avg CE Loss: 0.0753 | Model Sparsity: 0.4636
Retraining Epoch [10/10]: Avg Total Loss: 3.2082 | Avg PrC Loss: 1.6808 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 1.4538 | Avg CE Loss: 0.0736 | Model Sparsity: 0.4636
Epoch [2/5]: Avg Total Loss: 4.5564 | Avg PrC Loss: 1.6852 | Avg SnC Loss: 1.3324 | Avg FiC Loss: 1.4601 | Avg CE Loss: 0.0788 | Model Sparsity: 0.7448
Retraining Epoch [1/10]: Avg Total Loss: 4.5595 | Avg PrC Loss: 1.6851 | Avg SnC Loss: 1.3330 | Avg FiC Loss: 1.4604 | Avg CE Loss: 0.0810 | Model Sparsity: 0.7448
Retraining Epoch [2/10]: Avg Total Loss: 4.5464 | Avg PrC Loss: 1.6838 | Avg SnC Loss: 1.3288 | Avg FiC Loss: 1.4571 | Avg CE Loss: 0.0767 | Model Sparsity: 0.7448
Retraining Epoch [3/10]: Avg Total Loss: 4.5393 | Avg PrC Loss: 1.6830 | Avg SnC Loss: 1.3270 | Avg FiC Loss: 1.4542 | Avg CE Loss: 0.0750 | Model Sparsity: 0.7448
Retraining Epoch [4/10]: Avg Total Loss: 4.5362 | Avg PrC Loss: 1.6820 | Avg SnC Loss: 1.3261 | Avg FiC Loss: 1.4538 | Avg CE Loss: 0.0742 | Model Sparsity: 0.7448
Retraining Epoch [5/10]: Avg Total Loss: 4.5325 | Avg PrC Loss: 1.6822 | Avg SnC Loss: 1.3247 | Avg FiC Loss: 1.4526 | Avg CE Loss: 0.0730 | Model Sparsity: 0.7448
Retraining Epoch [6/10]: Avg Total Loss: 4.5301 | Avg PrC Loss: 1.6821 | Avg SnC Loss: 1.3240 | Avg FiC Loss: 1.4511 | Avg CE Loss: 0.0730 | Model Sparsity: 0.7448
