Model : resnet50 - Learning Type: cifar10/bacp_TS_0.2/magnitude_pruning/0.97
Configuration:
model_name: resnet50
model_task: cifar10
model_type: cv
num_classes: 10
batch_size: 512
learning_rate: 0.1
optimizer_type: sgd
epochs: 5
recovery_epochs: 10
patience: 5
pruning_type: magnitude_pruning
target_sparsity: 0.97
sparsity_scheduler: cubic
pruning_epochs: 5
n_views: 2
temperature: 0.2
base_temperature: 0.2
device: cuda
enable_mixed_precision: True
num_workers: 24
train_batches: 83
val_batches: 14
current_model_path: /dbfs/research/resnet50/cifar10/resnet50_cifar10_magnitude_pruning_0.97_bacp_TS_0.2.pt

Epoch [1/5]: Avg Total Loss: 7.1714 | Avg PrC Loss: 3.4502 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 3.3395 | Avg CE Loss: 0.3818 | Model Sparsity: 0.4734
Retraining Epoch [1/10]: Avg Total Loss: 9.3981 | Avg PrC Loss: 3.4072 | Avg SnC Loss: 2.8240 | Avg FiC Loss: 2.9891 | Avg CE Loss: 0.1777 | Model Sparsity: 0.4734
Retraining Epoch [2/10]: Avg Total Loss: 9.2680 | Avg PrC Loss: 3.3894 | Avg SnC Loss: 2.8199 | Avg FiC Loss: 2.9328 | Avg CE Loss: 0.1260 | Model Sparsity: 0.4734
Retraining Epoch [3/10]: Avg Total Loss: 9.2112 | Avg PrC Loss: 3.3828 | Avg SnC Loss: 2.8169 | Avg FiC Loss: 2.9097 | Avg CE Loss: 0.1018 | Model Sparsity: 0.4734
Retraining Epoch [4/10]: Avg Total Loss: 9.1729 | Avg PrC Loss: 3.3758 | Avg SnC Loss: 2.8145 | Avg FiC Loss: 2.8954 | Avg CE Loss: 0.0873 | Model Sparsity: 0.4734
Retraining Epoch [5/10]: Avg Total Loss: 9.1552 | Avg PrC Loss: 3.3726 | Avg SnC Loss: 2.8161 | Avg FiC Loss: 2.8882 | Avg CE Loss: 0.0784 | Model Sparsity: 0.4734
Retraining Epoch [6/10]: Avg Total Loss: 9.1431 | Avg PrC Loss: 3.3699 | Avg SnC Loss: 2.8152 | Avg FiC Loss: 2.8829 | Avg CE Loss: 0.0751 | Model Sparsity: 0.4734
Retraining Epoch [7/10]: Avg Total Loss: 9.1305 | Avg PrC Loss: 3.3672 | Avg SnC Loss: 2.8146 | Avg FiC Loss: 2.8793 | Avg CE Loss: 0.0694 | Model Sparsity: 0.4734
Retraining Epoch [8/10]: Avg Total Loss: 9.1314 | Avg PrC Loss: 3.3661 | Avg SnC Loss: 2.8184 | Avg FiC Loss: 2.8774 | Avg CE Loss: 0.0695 | Model Sparsity: 0.4734
Retraining Epoch [9/10]: Avg Total Loss: 9.1211 | Avg PrC Loss: 3.3631 | Avg SnC Loss: 2.8166 | Avg FiC Loss: 2.8756 | Avg CE Loss: 0.0658 | Model Sparsity: 0.4734
Retraining Epoch [10/10]: Avg Total Loss: 9.1118 | Avg PrC Loss: 3.3632 | Avg SnC Loss: 2.8143 | Avg FiC Loss: 2.8710 | Avg CE Loss: 0.0633 | Model Sparsity: 0.4734
Epoch [2/5]: Avg Total Loss: 9.1119 | Avg PrC Loss: 3.3614 | Avg SnC Loss: 2.8155 | Avg FiC Loss: 2.8736 | Avg CE Loss: 0.0614 | Model Sparsity: 0.7605
Retraining Epoch [1/10]: Avg Total Loss: 11.5928 | Avg PrC Loss: 3.3809 | Avg SnC Loss: 5.2891 | Avg FiC Loss: 2.8634 | Avg CE Loss: 0.0593 | Model Sparsity: 0.7605
Retraining Epoch [2/10]: Avg Total Loss: 11.6171 | Avg PrC Loss: 3.3810 | Avg SnC Loss: 5.3029 | Avg FiC Loss: 2.8669 | Avg CE Loss: 0.0663 | Model Sparsity: 0.7605
Retraining Epoch [3/10]: Avg Total Loss: 11.6183 | Avg PrC Loss: 3.3798 | Avg SnC Loss: 5.3052 | Avg FiC Loss: 2.8668 | Avg CE Loss: 0.0666 | Model Sparsity: 0.7605
Retraining Epoch [4/10]: Avg Total Loss: 11.6201 | Avg PrC Loss: 3.3795 | Avg SnC Loss: 5.3055 | Avg FiC Loss: 2.8679 | Avg CE Loss: 0.0672 | Model Sparsity: 0.7605
Retraining Epoch [5/10]: Avg Total Loss: 11.6102 | Avg PrC Loss: 3.3790 | Avg SnC Loss: 5.3035 | Avg FiC Loss: 2.8628 | Avg CE Loss: 0.0648 | Model Sparsity: 0.7605
Retraining Epoch [6/10]: Avg Total Loss: 11.6186 | Avg PrC Loss: 3.3788 | Avg SnC Loss: 5.3064 | Avg FiC Loss: 2.8660 | Avg CE Loss: 0.0674 | Model Sparsity: 0.7605
