Model : resnet50 - Learning Type: cifar10/bacp_TS_all_losses/magnitude_pruning/0.95
Configuration:
model_name: resnet50
model_task: cifar10
model_type: cv
num_classes: 10
batch_size: 512
learning_rate: 0.1
optimizer_type: sgd
epochs: 5
recovery_epochs: 10
patience: 5
pruning_type: magnitude_pruning
target_sparsity: 0.95
sparsity_scheduler: cubic
pruning_epochs: 5
n_views: 2
temperature: 0.15
base_temperature: 0.15
device: cuda
enable_mixed_precision: True
num_workers: 24
train_batches: 83
val_batches: 14
current_model_path: /dbfs/research/resnet50/cifar10/resnet50_cifar10_magnitude_pruning_0.95_bacp_TS_all_losses.pt

Epoch [1/5]: Avg Total Loss: 7.3896 | Avg PrC Loss: 3.5093 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 3.4934 | Avg CE Loss: 0.3870 | Model Sparsity: 0.4636
Retraining Epoch [1/10]: Avg Total Loss: 9.5136 | Avg PrC Loss: 3.4061 | Avg SnC Loss: 2.9092 | Avg FiC Loss: 3.0029 | Avg CE Loss: 0.1955 | Model Sparsity: 0.4636
Retraining Epoch [2/10]: Avg Total Loss: 9.3113 | Avg PrC Loss: 3.3672 | Avg SnC Loss: 2.9138 | Avg FiC Loss: 2.8938 | Avg CE Loss: 0.1364 | Model Sparsity: 0.4636
Retraining Epoch [3/10]: Avg Total Loss: 9.2154 | Avg PrC Loss: 3.3469 | Avg SnC Loss: 2.9135 | Avg FiC Loss: 2.8476 | Avg CE Loss: 0.1074 | Model Sparsity: 0.4636
Retraining Epoch [4/10]: Avg Total Loss: 9.1685 | Avg PrC Loss: 3.3364 | Avg SnC Loss: 2.9158 | Avg FiC Loss: 2.8241 | Avg CE Loss: 0.0921 | Model Sparsity: 0.4636
Retraining Epoch [5/10]: Avg Total Loss: 9.1354 | Avg PrC Loss: 3.3279 | Avg SnC Loss: 2.9170 | Avg FiC Loss: 2.8082 | Avg CE Loss: 0.0823 | Model Sparsity: 0.4636
Retraining Epoch [6/10]: Avg Total Loss: 9.1176 | Avg PrC Loss: 3.3230 | Avg SnC Loss: 2.9181 | Avg FiC Loss: 2.8007 | Avg CE Loss: 0.0758 | Model Sparsity: 0.4636
Retraining Epoch [7/10]: Avg Total Loss: 9.1008 | Avg PrC Loss: 3.3181 | Avg SnC Loss: 2.9186 | Avg FiC Loss: 2.7922 | Avg CE Loss: 0.0719 | Model Sparsity: 0.4636
Retraining Epoch [8/10]: Avg Total Loss: 9.0874 | Avg PrC Loss: 3.3153 | Avg SnC Loss: 2.9168 | Avg FiC Loss: 2.7864 | Avg CE Loss: 0.0688 | Model Sparsity: 0.4636
Retraining Epoch [9/10]: Avg Total Loss: 9.0811 | Avg PrC Loss: 3.3118 | Avg SnC Loss: 2.9186 | Avg FiC Loss: 2.7842 | Avg CE Loss: 0.0665 | Model Sparsity: 0.4636
Retraining Epoch [10/10]: Avg Total Loss: 9.0770 | Avg PrC Loss: 3.3092 | Avg SnC Loss: 2.9183 | Avg FiC Loss: 2.7834 | Avg CE Loss: 0.0661 | Model Sparsity: 0.4636
Epoch [2/5]: Avg Total Loss: 9.0599 | Avg PrC Loss: 3.3065 | Avg SnC Loss: 2.9160 | Avg FiC Loss: 2.7793 | Avg CE Loss: 0.0581 | Model Sparsity: 0.7448
Retraining Epoch [1/10]: Avg Total Loss: 11.4858 | Avg PrC Loss: 3.3196 | Avg SnC Loss: 5.3458 | Avg FiC Loss: 2.7607 | Avg CE Loss: 0.0597 | Model Sparsity: 0.7448
Retraining Epoch [2/10]: Avg Total Loss: 11.5098 | Avg PrC Loss: 3.3192 | Avg SnC Loss: 5.3602 | Avg FiC Loss: 2.7649 | Avg CE Loss: 0.0654 | Model Sparsity: 0.7448
Retraining Epoch [3/10]: Avg Total Loss: 11.5139 | Avg PrC Loss: 3.3192 | Avg SnC Loss: 5.3627 | Avg FiC Loss: 2.7659 | Avg CE Loss: 0.0662 | Model Sparsity: 0.7448
Retraining Epoch [4/10]: Avg Total Loss: 11.5075 | Avg PrC Loss: 3.3171 | Avg SnC Loss: 5.3598 | Avg FiC Loss: 2.7653 | Avg CE Loss: 0.0653 | Model Sparsity: 0.7448
