Model : resnet50 - Learning Type: cifar10/bacp_TS_disable_unsupervised_loss/magnitude_pruning/0.95
Configuration:
model_name: resnet50
model_task: cifar10
model_type: cv
num_classes: 10
batch_size: 512
learning_rate: 0.1
optimizer_type: sgd
epochs: 5
recovery_epochs: 10
patience: 5
pruning_type: magnitude_pruning
target_sparsity: 0.95
sparsity_scheduler: cubic
pruning_epochs: 5
n_views: 2
temperature: 0.15
base_temperature: 0.15
device: cuda
enable_mixed_precision: True
num_workers: 24
train_batches: 83
val_batches: 14
current_model_path: /dbfs/research/resnet50/cifar10/resnet50_cifar10_magnitude_pruning_0.95_bacp_TS_disable_unsupervised_loss.pt

Epoch [1/5]: Avg Total Loss: 3.7049 | Avg PrC Loss: 1.7203 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 1.6106 | Avg CE Loss: 0.3740 | Model Sparsity: 0.4636
Retraining Epoch [1/10]: Avg Total Loss: 4.9077 | Avg PrC Loss: 1.6830 | Avg SnC Loss: 1.5173 | Avg FiC Loss: 1.5161 | Avg CE Loss: 0.1913 | Model Sparsity: 0.4636
Retraining Epoch [2/10]: Avg Total Loss: 4.7950 | Avg PrC Loss: 1.6704 | Avg SnC Loss: 1.4920 | Avg FiC Loss: 1.4885 | Avg CE Loss: 0.1442 | Model Sparsity: 0.4636
Retraining Epoch [3/10]: Avg Total Loss: 4.7421 | Avg PrC Loss: 1.6639 | Avg SnC Loss: 1.4804 | Avg FiC Loss: 1.4758 | Avg CE Loss: 0.1220 | Model Sparsity: 0.4636
Retraining Epoch [4/10]: Avg Total Loss: 4.7079 | Avg PrC Loss: 1.6598 | Avg SnC Loss: 1.4725 | Avg FiC Loss: 1.4668 | Avg CE Loss: 0.1088 | Model Sparsity: 0.4636
Retraining Epoch [5/10]: Avg Total Loss: 4.6828 | Avg PrC Loss: 1.6567 | Avg SnC Loss: 1.4655 | Avg FiC Loss: 1.4614 | Avg CE Loss: 0.0992 | Model Sparsity: 0.4636
Retraining Epoch [6/10]: Avg Total Loss: 4.6736 | Avg PrC Loss: 1.6554 | Avg SnC Loss: 1.4649 | Avg FiC Loss: 1.4589 | Avg CE Loss: 0.0944 | Model Sparsity: 0.4636
Retraining Epoch [7/10]: Avg Total Loss: 4.6587 | Avg PrC Loss: 1.6538 | Avg SnC Loss: 1.4604 | Avg FiC Loss: 1.4554 | Avg CE Loss: 0.0890 | Model Sparsity: 0.4636
Retraining Epoch [8/10]: Avg Total Loss: 4.6543 | Avg PrC Loss: 1.6530 | Avg SnC Loss: 1.4599 | Avg FiC Loss: 1.4539 | Avg CE Loss: 0.0874 | Model Sparsity: 0.4636
Retraining Epoch [9/10]: Avg Total Loss: 4.6488 | Avg PrC Loss: 1.6527 | Avg SnC Loss: 1.4583 | Avg FiC Loss: 1.4532 | Avg CE Loss: 0.0846 | Model Sparsity: 0.4636
Retraining Epoch [10/10]: Avg Total Loss: 4.6433 | Avg PrC Loss: 1.6516 | Avg SnC Loss: 1.4568 | Avg FiC Loss: 1.4515 | Avg CE Loss: 0.0833 | Model Sparsity: 0.4636
Epoch [2/5]: Avg Total Loss: 4.6214 | Avg PrC Loss: 1.6492 | Avg SnC Loss: 1.4519 | Avg FiC Loss: 1.4461 | Avg CE Loss: 0.0743 | Model Sparsity: 0.7448
Retraining Epoch [1/10]: Avg Total Loss: 5.9611 | Avg PrC Loss: 1.6532 | Avg SnC Loss: 2.7809 | Avg FiC Loss: 1.4483 | Avg CE Loss: 0.0786 | Model Sparsity: 0.7448
Retraining Epoch [2/10]: Avg Total Loss: 5.9688 | Avg PrC Loss: 1.6543 | Avg SnC Loss: 2.7832 | Avg FiC Loss: 1.4496 | Avg CE Loss: 0.0817 | Model Sparsity: 0.7448
Retraining Epoch [3/10]: Avg Total Loss: 5.9677 | Avg PrC Loss: 1.6541 | Avg SnC Loss: 2.7828 | Avg FiC Loss: 1.4500 | Avg CE Loss: 0.0808 | Model Sparsity: 0.7448
Retraining Epoch [4/10]: Avg Total Loss: 5.9550 | Avg PrC Loss: 1.6523 | Avg SnC Loss: 2.7789 | Avg FiC Loss: 1.4465 | Avg CE Loss: 0.0774 | Model Sparsity: 0.7448
Retraining Epoch [5/10]: Avg Total Loss: 5.9541 | Avg PrC Loss: 1.6520 | Avg SnC Loss: 2.7776 | Avg FiC Loss: 1.4470 | Avg CE Loss: 0.0775 | Model Sparsity: 0.7448
Retraining Epoch [6/10]: Avg Total Loss: 5.9390 | Avg PrC Loss: 1.6509 | Avg SnC Loss: 2.7707 | Avg FiC Loss: 1.4436 | Avg CE Loss: 0.0738 | Model Sparsity: 0.7448
Retraining Epoch [7/10]: Avg Total Loss: 5.9495 | Avg PrC Loss: 1.6519 | Avg SnC Loss: 2.7752 | Avg FiC Loss: 1.4455 | Avg CE Loss: 0.0768 | Model Sparsity: 0.7448
Retraining Epoch [8/10]: Avg Total Loss: 5.9440 | Avg PrC Loss: 1.6514 | Avg SnC Loss: 2.7724 | Avg FiC Loss: 1.4443 | Avg CE Loss: 0.0759 | Model Sparsity: 0.7448
Retraining Epoch [9/10]: Avg Total Loss: 5.9471 | Avg PrC Loss: 1.6515 | Avg SnC Loss: 2.7748 | Avg FiC Loss: 1.4453 | Avg CE Loss: 0.0756 | Model Sparsity: 0.7448
Retraining Epoch [10/10]: Avg Total Loss: 5.9442 | Avg PrC Loss: 1.6511 | Avg SnC Loss: 2.7731 | Avg FiC Loss: 1.4449 | Avg CE Loss: 0.0752 | Model Sparsity: 0.7448
Epoch [3/5]: Avg Total Loss: 5.9412 | Avg PrC Loss: 1.6504 | Avg SnC Loss: 2.7693 | Avg FiC Loss: 1.4438 | Avg CE Loss: 0.0777 | Model Sparsity: 0.8892
Retraining Epoch [1/10]: Avg Total Loss: 7.2661 | Avg PrC Loss: 1.6541 | Avg SnC Loss: 4.0872 | Avg FiC Loss: 1.4452 | Avg CE Loss: 0.0795 | Model Sparsity: 0.8892
Retraining Epoch [2/10]: Avg Total Loss: 7.2775 | Avg PrC Loss: 1.6550 | Avg SnC Loss: 4.0939 | Avg FiC Loss: 1.4471 | Avg CE Loss: 0.0815 | Model Sparsity: 0.8892
