Model : resnet50 - Learning Type: cifar10/bacp_TS_finetune/magnitude_pruning/0.95
Configuration:
model_type: cv
model_name: resnet50
model_task: cifar10
num_classes: 10
criterion: CrossEntropyLoss()
embedding_dim: 2048
epochs: 2
pruning_epochs: 2
recovery_epochs: 10
batch_size: 512
learning_rate: 0.0001
learning_type: bacp_TS_finetune
optimizer_type: adamw
prune: False
pruning_type: magnitude_pruning
target_sparsity: 0.95
sparsity_scheduler: linear
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/resnet50/cifar10/resnet50_cifar10_magnitude_pruning_0.95_bacp_TS_finetune.pt
finetuned_weights: /dbfs/research/resnet50/cifar10/resnet50_cifar10_magnitude_pruning_0.95_bacp_TS_0.5.pt

Epoch [1/2]: Avg Loss: 2.2062 | Avg Accuracy: 32.56 | Model Sparsity: 0.95
Epoch [2/2]: Avg Loss: 1.8403 | Avg Accuracy: 43.95 | Model Sparsity: 0.95
