Model : resnet50 - Learning Type: cifar10/bacp_pruning/magnitude_pruning/0.9999
Configuration:
model_name: resnet50
model_task: cifar10
model_type: cv
num_classes: 10
batch_size: 512
learning_rate: 0.1
optimizer_type: sgd
epochs: 5
recovery_epochs: 10
patience: 20
pruning_type: magnitude_pruning
target_sparsity: 0.9999
sparsity_scheduler: cubic
pruning_epochs: 5
n_views: 2
temperature: 0.15
base_temperature: 0.15
device: cuda
enable_mixed_precision: True
num_workers: 24
train_batches: 83
val_batches: 14
current_model_path: /dbfs/research/resnet50/cifar10/resnet50_cifar10_magnitude_pruning_0.9999_bacp_pruning.pt

Epoch [1/5]: Avg Total Loss: 7.5044 | Avg PrC Loss: 3.5595 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 3.5623 | Avg CE Loss: 0.3826 | Model Sparsity: 0.488
Retraining Epoch [1/10]: Avg Total Loss: 6.8146 | Avg PrC Loss: 3.4682 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 3.1467 | Avg CE Loss: 0.1997 | Model Sparsity: 0.488
Retraining Epoch [2/10]: Avg Total Loss: 6.5608 | Avg PrC Loss: 3.4442 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.9726 | Avg CE Loss: 0.1440 | Model Sparsity: 0.488
Retraining Epoch [3/10]: Avg Total Loss: 6.4708 | Avg PrC Loss: 3.4312 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.9248 | Avg CE Loss: 0.1148 | Model Sparsity: 0.488
Retraining Epoch [4/10]: Avg Total Loss: 6.4153 | Avg PrC Loss: 3.4213 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.8951 | Avg CE Loss: 0.0989 | Model Sparsity: 0.488
Retraining Epoch [5/10]: Avg Total Loss: 6.3740 | Avg PrC Loss: 3.4129 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.8736 | Avg CE Loss: 0.0875 | Model Sparsity: 0.488
Retraining Epoch [6/10]: Avg Total Loss: 6.3523 | Avg PrC Loss: 3.4092 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.8629 | Avg CE Loss: 0.0802 | Model Sparsity: 0.488
Retraining Epoch [7/10]: Avg Total Loss: 6.3387 | Avg PrC Loss: 3.4066 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.8553 | Avg CE Loss: 0.0768 | Model Sparsity: 0.488
Retraining Epoch [8/10]: Avg Total Loss: 6.3305 | Avg PrC Loss: 3.4045 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.8519 | Avg CE Loss: 0.0741 | Model Sparsity: 0.488
Retraining Epoch [9/10]: Avg Total Loss: 6.3179 | Avg PrC Loss: 3.4017 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.8456 | Avg CE Loss: 0.0707 | Model Sparsity: 0.488
Retraining Epoch [10/10]: Avg Total Loss: 6.3119 | Avg PrC Loss: 3.4001 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.8425 | Avg CE Loss: 0.0693 | Model Sparsity: 0.488
Epoch [2/5]: Avg Total Loss: 8.9261 | Avg PrC Loss: 3.4276 | Avg SnC Loss: 2.5819 | Avg FiC Loss: 2.8414 | Avg CE Loss: 0.0753 | Model Sparsity: 0.7839
Retraining Epoch [1/10]: Avg Total Loss: 8.9189 | Avg PrC Loss: 3.4257 | Avg SnC Loss: 2.5806 | Avg FiC Loss: 2.8379 | Avg CE Loss: 0.0746 | Model Sparsity: 0.7839
Retraining Epoch [2/10]: Avg Total Loss: 8.9091 | Avg PrC Loss: 3.4242 | Avg SnC Loss: 2.5765 | Avg FiC Loss: 2.8344 | Avg CE Loss: 0.0739 | Model Sparsity: 0.7839
Retraining Epoch [3/10]: Avg Total Loss: 8.8922 | Avg PrC Loss: 3.4230 | Avg SnC Loss: 2.5713 | Avg FiC Loss: 2.8281 | Avg CE Loss: 0.0699 | Model Sparsity: 0.7839
Retraining Epoch [4/10]: Avg Total Loss: 8.8861 | Avg PrC Loss: 3.4225 | Avg SnC Loss: 2.5689 | Avg FiC Loss: 2.8263 | Avg CE Loss: 0.0683 | Model Sparsity: 0.7839
Retraining Epoch [5/10]: Avg Total Loss: 8.8811 | Avg PrC Loss: 3.4219 | Avg SnC Loss: 2.5670 | Avg FiC Loss: 2.8246 | Avg CE Loss: 0.0676 | Model Sparsity: 0.7839
Retraining Epoch [6/10]: Avg Total Loss: 8.8732 | Avg PrC Loss: 3.4202 | Avg SnC Loss: 2.5644 | Avg FiC Loss: 2.8212 | Avg CE Loss: 0.0675 | Model Sparsity: 0.7839
Retraining Epoch [7/10]: Avg Total Loss: 8.8750 | Avg PrC Loss: 3.4212 | Avg SnC Loss: 2.5657 | Avg FiC Loss: 2.8211 | Avg CE Loss: 0.0671 | Model Sparsity: 0.7839
Retraining Epoch [8/10]: Avg Total Loss: 8.8805 | Avg PrC Loss: 3.4217 | Avg SnC Loss: 2.5674 | Avg FiC Loss: 2.8221 | Avg CE Loss: 0.0693 | Model Sparsity: 0.7839
Retraining Epoch [9/10]: Avg Total Loss: 8.8820 | Avg PrC Loss: 3.4204 | Avg SnC Loss: 2.5691 | Avg FiC Loss: 2.8236 | Avg CE Loss: 0.0688 | Model Sparsity: 0.7839
Retraining Epoch [10/10]: Avg Total Loss: 8.8811 | Avg PrC Loss: 3.4205 | Avg SnC Loss: 2.5690 | Avg FiC Loss: 2.8230 | Avg CE Loss: 0.0686 | Model Sparsity: 0.7839
Epoch [3/5]: Avg Total Loss: 11.5142 | Avg PrC Loss: 3.4472 | Avg SnC Loss: 5.1213 | Avg FiC Loss: 2.8425 | Avg CE Loss: 0.1033 | Model Sparsity: 0.9359
Retraining Epoch [1/10]: Avg Total Loss: 11.4665 | Avg PrC Loss: 3.4434 | Avg SnC Loss: 5.1001 | Avg FiC Loss: 2.8338 | Avg CE Loss: 0.0892 | Model Sparsity: 0.9359
Retraining Epoch [2/10]: Avg Total Loss: 11.4716 | Avg PrC Loss: 3.4435 | Avg SnC Loss: 5.1049 | Avg FiC Loss: 2.8354 | Avg CE Loss: 0.0878 | Model Sparsity: 0.9359
Retraining Epoch [3/10]: Avg Total Loss: 11.4383 | Avg PrC Loss: 3.4415 | Avg SnC Loss: 5.0881 | Avg FiC Loss: 2.8280 | Avg CE Loss: 0.0808 | Model Sparsity: 0.9359
