Model : resnet50 - Learning Type: cifar10/bacp_pruning_ablation1/magnitude_pruning/0.95
Configuration:
model_name: resnet50
model_task: cifar10
model_type: cv
num_classes: 10
batch_size: 512
learning_rate: 0.1
optimizer_type: sgd
epochs: 5
recovery_epochs: 10
patience: 20
pruning_type: magnitude_pruning
target_sparsity: 0.95
sparsity_scheduler: cubic
pruning_epochs: 5
n_views: 2
temperature: 0.15
base_temperature: 0.15
device: cuda
enable_mixed_precision: True
num_workers: 24
train_batches: 83
val_batches: 14
current_model_path: /dbfs/research/resnet50/cifar10/resnet50_cifar10_magnitude_pruning_0.95_bacp_pruning_ablation1.pt

Epoch [1/5]: Avg Total Loss: 7.5555 | Avg PrC Loss: 3.5588 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 3.6010 | Avg CE Loss: 0.3957 | Model Sparsity: 0.4636
Retraining Epoch [1/10]: Avg Total Loss: 6.8739 | Avg PrC Loss: 3.4739 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 3.1921 | Avg CE Loss: 0.2079 | Model Sparsity: 0.4636
Retraining Epoch [2/10]: Avg Total Loss: 6.5609 | Avg PrC Loss: 3.4487 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.9664 | Avg CE Loss: 0.1458 | Model Sparsity: 0.4636
Retraining Epoch [3/10]: Avg Total Loss: 6.4747 | Avg PrC Loss: 3.4379 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.9243 | Avg CE Loss: 0.1125 | Model Sparsity: 0.4636
Retraining Epoch [4/10]: Avg Total Loss: 6.4164 | Avg PrC Loss: 3.4287 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.8912 | Avg CE Loss: 0.0965 | Model Sparsity: 0.4636
Retraining Epoch [5/10]: Avg Total Loss: 6.3769 | Avg PrC Loss: 3.4223 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.8698 | Avg CE Loss: 0.0847 | Model Sparsity: 0.4636
Retraining Epoch [6/10]: Avg Total Loss: 6.3464 | Avg PrC Loss: 3.4173 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.8531 | Avg CE Loss: 0.0760 | Model Sparsity: 0.4636
Retraining Epoch [7/10]: Avg Total Loss: 6.3314 | Avg PrC Loss: 3.4148 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.8419 | Avg CE Loss: 0.0748 | Model Sparsity: 0.4636
Retraining Epoch [8/10]: Avg Total Loss: 6.3213 | Avg PrC Loss: 3.4131 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.8368 | Avg CE Loss: 0.0714 | Model Sparsity: 0.4636
Retraining Epoch [9/10]: Avg Total Loss: 6.3143 | Avg PrC Loss: 3.4115 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.8328 | Avg CE Loss: 0.0700 | Model Sparsity: 0.4636
Retraining Epoch [10/10]: Avg Total Loss: 6.3050 | Avg PrC Loss: 3.4092 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.8288 | Avg CE Loss: 0.0670 | Model Sparsity: 0.4636
Epoch [2/5]: Avg Total Loss: 8.8892 | Avg PrC Loss: 3.4384 | Avg SnC Loss: 2.5577 | Avg FiC Loss: 2.8210 | Avg CE Loss: 0.0721 | Model Sparsity: 0.7448
Retraining Epoch [1/10]: Avg Total Loss: 8.8794 | Avg PrC Loss: 3.4355 | Avg SnC Loss: 2.5561 | Avg FiC Loss: 2.8173 | Avg CE Loss: 0.0705 | Model Sparsity: 0.7448
Retraining Epoch [2/10]: Avg Total Loss: 8.8754 | Avg PrC Loss: 3.4350 | Avg SnC Loss: 2.5549 | Avg FiC Loss: 2.8148 | Avg CE Loss: 0.0707 | Model Sparsity: 0.7448
Retraining Epoch [3/10]: Avg Total Loss: 8.8754 | Avg PrC Loss: 3.4339 | Avg SnC Loss: 2.5553 | Avg FiC Loss: 2.8156 | Avg CE Loss: 0.0706 | Model Sparsity: 0.7448
Retraining Epoch [4/10]: Avg Total Loss: 8.8609 | Avg PrC Loss: 3.4332 | Avg SnC Loss: 2.5501 | Avg FiC Loss: 2.8103 | Avg CE Loss: 0.0673 | Model Sparsity: 0.7448
Retraining Epoch [5/10]: Avg Total Loss: 8.8523 | Avg PrC Loss: 3.4329 | Avg SnC Loss: 2.5468 | Avg FiC Loss: 2.8064 | Avg CE Loss: 0.0663 | Model Sparsity: 0.7448
Retraining Epoch [6/10]: Avg Total Loss: 8.8420 | Avg PrC Loss: 3.4321 | Avg SnC Loss: 2.5433 | Avg FiC Loss: 2.8026 | Avg CE Loss: 0.0639 | Model Sparsity: 0.7448
Retraining Epoch [7/10]: Avg Total Loss: 8.8545 | Avg PrC Loss: 3.4337 | Avg SnC Loss: 2.5475 | Avg FiC Loss: 2.8076 | Avg CE Loss: 0.0658 | Model Sparsity: 0.7448
Retraining Epoch [8/10]: Avg Total Loss: 8.8556 | Avg PrC Loss: 3.4318 | Avg SnC Loss: 2.5493 | Avg FiC Loss: 2.8067 | Avg CE Loss: 0.0677 | Model Sparsity: 0.7448
Retraining Epoch [9/10]: Avg Total Loss: 8.8565 | Avg PrC Loss: 3.4316 | Avg SnC Loss: 2.5493 | Avg FiC Loss: 2.8078 | Avg CE Loss: 0.0679 | Model Sparsity: 0.7448
Retraining Epoch [10/10]: Avg Total Loss: 8.8486 | Avg PrC Loss: 3.4307 | Avg SnC Loss: 2.5456 | Avg FiC Loss: 2.8050 | Avg CE Loss: 0.0673 | Model Sparsity: 0.7448
Epoch [3/5]: Avg Total Loss: 11.3935 | Avg PrC Loss: 3.4577 | Avg SnC Loss: 5.0444 | Avg FiC Loss: 2.8102 | Avg CE Loss: 0.0812 | Model Sparsity: 0.8892
Retraining Epoch [1/10]: Avg Total Loss: 11.4010 | Avg PrC Loss: 3.4561 | Avg SnC Loss: 5.0518 | Avg FiC Loss: 2.8137 | Avg CE Loss: 0.0795 | Model Sparsity: 0.8892
Retraining Epoch [2/10]: Avg Total Loss: 11.3720 | Avg PrC Loss: 3.4554 | Avg SnC Loss: 5.0345 | Avg FiC Loss: 2.8062 | Avg CE Loss: 0.0759 | Model Sparsity: 0.8892
Retraining Epoch [3/10]: Avg Total Loss: 11.3549 | Avg PrC Loss: 3.4540 | Avg SnC Loss: 5.0247 | Avg FiC Loss: 2.8031 | Avg CE Loss: 0.0732 | Model Sparsity: 0.8892
Retraining Epoch [4/10]: Avg Total Loss: 11.3605 | Avg PrC Loss: 3.4560 | Avg SnC Loss: 5.0276 | Avg FiC Loss: 2.8036 | Avg CE Loss: 0.0733 | Model Sparsity: 0.8892
Retraining Epoch [5/10]: Avg Total Loss: 11.3519 | Avg PrC Loss: 3.4539 | Avg SnC Loss: 5.0255 | Avg FiC Loss: 2.8011 | Avg CE Loss: 0.0713 | Model Sparsity: 0.8892
