Model : resnet50 - Learning Type: cifar10/finetune_LS_disable_all_loss/magnitude_pruning/0.97
Configuration:
model_type: cv
model_name: resnet50
model_task: cifar10
num_classes: 10
criterion: CrossEntropyLoss()
embedding_dim: 2048
epochs: 50
pruning_epochs: 50
recovery_epochs: 10
batch_size: 512
learning_rate: 0.0001
learning_type: finetune_LS_disable_all_loss
optimizer_type: adamw
prune: False
pruning_type: magnitude_pruning
target_sparsity: 0.97
sparsity_scheduler: linear
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/resnet50/cifar10/resnet50_cifar10_magnitude_pruning_0.97_finetune_LS_disable_all_loss.pt
finetuned_weights: /dbfs/research/resnet50/cifar10/resnet50_cifar10_magnitude_pruning_0.97_bacp_LS_disable_all_loss.pt

Epoch [1/50]: Avg Loss: 0.9883 | Avg Accuracy: 91.55 | Model Sparsity: 0.97
Epoch [2/50]: Avg Loss: 0.3049 | Avg Accuracy: 92.17 | Model Sparsity: 0.97
Epoch [3/50]: Avg Loss: 0.2276 | Avg Accuracy: 93.07 | Model Sparsity: 0.97
Epoch [4/50]: Avg Loss: 0.2009 | Avg Accuracy: 93.08 | Model Sparsity: 0.97
Epoch [5/50]: Avg Loss: 0.1766 | Avg Accuracy: 92.98 | Model Sparsity: 0.97
Epoch [6/50]: Avg Loss: 0.1639 | Avg Accuracy: 93.07 | Model Sparsity: 0.97
Epoch [7/50]: Avg Loss: 0.1513 | Avg Accuracy: 93.11 | Model Sparsity: 0.97
Epoch [8/50]: Avg Loss: 0.1417 | Avg Accuracy: 93.60 | Model Sparsity: 0.97
Epoch [9/50]: Avg Loss: 0.1374 | Avg Accuracy: 93.33 | Model Sparsity: 0.97
Epoch [10/50]: Avg Loss: 0.1250 | Avg Accuracy: 93.50 | Model Sparsity: 0.97
Epoch [11/50]: Avg Loss: 0.1186 | Avg Accuracy: 93.83 | Model Sparsity: 0.97
Epoch [12/50]: Avg Loss: 0.1092 | Avg Accuracy: 93.57 | Model Sparsity: 0.97
Epoch [13/50]: Avg Loss: 0.1077 | Avg Accuracy: 93.29 | Model Sparsity: 0.97
Epoch [14/50]: Avg Loss: 0.1008 | Avg Accuracy: 93.44 | Model Sparsity: 0.97
Epoch [15/50]: Avg Loss: 0.0944 | Avg Accuracy: 93.79 | Model Sparsity: 0.97
Epoch [16/50]: Avg Loss: 0.0934 | Avg Accuracy: 93.69 | Model Sparsity: 0.97
Epoch [17/50]: Avg Loss: 0.0897 | Avg Accuracy: 93.96 | Model Sparsity: 0.97
Epoch [18/50]: Avg Loss: 0.0862 | Avg Accuracy: 94.04 | Model Sparsity: 0.97
Epoch [19/50]: Avg Loss: 0.0769 | Avg Accuracy: 94.28 | Model Sparsity: 0.97
Epoch [20/50]: Avg Loss: 0.0737 | Avg Accuracy: 93.67 | Model Sparsity: 0.97
Epoch [21/50]: Avg Loss: 0.0725 | Avg Accuracy: 93.79 | Model Sparsity: 0.97
Epoch [22/50]: Avg Loss: 0.0693 | Avg Accuracy: 93.30 | Model Sparsity: 0.97
Epoch [23/50]: Avg Loss: 0.0660 | Avg Accuracy: 93.46 | Model Sparsity: 0.97
Epoch [24/50]: Avg Loss: 0.0641 | Avg Accuracy: 93.65 | Model Sparsity: 0.97
Epoch [25/50]: Avg Loss: 0.0621 | Avg Accuracy: 93.75 | Model Sparsity: 0.97
Epoch [26/50]: Avg Loss: 0.0608 | Avg Accuracy: 93.65 | Model Sparsity: 0.97
Epoch [27/50]: Avg Loss: 0.0564 | Avg Accuracy: 93.50 | Model Sparsity: 0.97
Epoch [28/50]: Avg Loss: 0.0541 | Avg Accuracy: 94.04 | Model Sparsity: 0.97
Epoch [29/50]: Avg Loss: 0.0516 | Avg Accuracy: 93.76 | Model Sparsity: 0.97
Epoch [30/50]: Avg Loss: 0.0505 | Avg Accuracy: 93.53 | Model Sparsity: 0.97
Epoch [31/50]: Avg Loss: 0.0504 | Avg Accuracy: 93.92 | Model Sparsity: 0.97
Epoch [32/50]: Avg Loss: 0.0496 | Avg Accuracy: 93.78 | Model Sparsity: 0.97
Epoch [33/50]: Avg Loss: 0.0471 | Avg Accuracy: 93.60 | Model Sparsity: 0.97
Epoch [34/50]: Avg Loss: 0.0433 | Avg Accuracy: 93.36 | Model Sparsity: 0.97
Epoch [35/50]: Avg Loss: 0.0450 | Avg Accuracy: 93.60 | Model Sparsity: 0.97
Epoch [36/50]: Avg Loss: 0.0429 | Avg Accuracy: 93.44 | Model Sparsity: 0.97
Epoch [37/50]: Avg Loss: 0.0374 | Avg Accuracy: 93.92 | Model Sparsity: 0.97
Epoch [38/50]: Avg Loss: 0.0385 | Avg Accuracy: 93.74 | Model Sparsity: 0.97
Epoch [39/50]: Avg Loss: 0.0380 | Avg Accuracy: 94.10 | Model Sparsity: 0.97
