Model : resnet50 - Learning Type: cifar10/finetune_LS_disable_supervised_loss/magnitude_pruning/0.95
Configuration:
model_type: cv
model_name: resnet50
model_task: cifar10
num_classes: 10
criterion: CrossEntropyLoss()
embedding_dim: 2048
epochs: 50
pruning_epochs: 50
recovery_epochs: 10
batch_size: 512
learning_rate: 0.0001
learning_type: finetune_LS_disable_supervised_loss
optimizer_type: adamw
prune: False
pruning_type: magnitude_pruning
target_sparsity: 0.95
sparsity_scheduler: linear
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/resnet50/cifar10/resnet50_cifar10_magnitude_pruning_0.95_finetune_LS_disable_supervised_loss.pt
finetuned_weights: /dbfs/research/resnet50/cifar10/resnet50_cifar10_magnitude_pruning_0.95_bacp_LS_disable_supervised_loss.pt

Epoch [1/50]: Avg Loss: 0.9720 | Avg Accuracy: 92.16 | Model Sparsity: 0.95
Epoch [2/50]: Avg Loss: 0.2534 | Avg Accuracy: 93.26 | Model Sparsity: 0.95
Epoch [3/50]: Avg Loss: 0.1900 | Avg Accuracy: 93.79 | Model Sparsity: 0.95
Epoch [4/50]: Avg Loss: 0.1615 | Avg Accuracy: 93.54 | Model Sparsity: 0.95
Epoch [5/50]: Avg Loss: 0.1433 | Avg Accuracy: 93.83 | Model Sparsity: 0.95
Epoch [6/50]: Avg Loss: 0.1289 | Avg Accuracy: 94.21 | Model Sparsity: 0.95
Epoch [7/50]: Avg Loss: 0.1190 | Avg Accuracy: 94.25 | Model Sparsity: 0.95
Epoch [8/50]: Avg Loss: 0.1086 | Avg Accuracy: 94.24 | Model Sparsity: 0.95
Epoch [9/50]: Avg Loss: 0.1020 | Avg Accuracy: 94.24 | Model Sparsity: 0.95
Epoch [10/50]: Avg Loss: 0.0904 | Avg Accuracy: 94.80 | Model Sparsity: 0.95
Epoch [11/50]: Avg Loss: 0.0882 | Avg Accuracy: 94.32 | Model Sparsity: 0.95
Epoch [12/50]: Avg Loss: 0.0782 | Avg Accuracy: 94.59 | Model Sparsity: 0.95
Epoch [13/50]: Avg Loss: 0.0746 | Avg Accuracy: 94.82 | Model Sparsity: 0.95
Epoch [14/50]: Avg Loss: 0.0678 | Avg Accuracy: 94.55 | Model Sparsity: 0.95
Epoch [15/50]: Avg Loss: 0.0617 | Avg Accuracy: 94.89 | Model Sparsity: 0.95
Epoch [16/50]: Avg Loss: 0.0595 | Avg Accuracy: 94.64 | Model Sparsity: 0.95
Epoch [17/50]: Avg Loss: 0.0564 | Avg Accuracy: 94.48 | Model Sparsity: 0.95
Epoch [18/50]: Avg Loss: 0.0537 | Avg Accuracy: 94.61 | Model Sparsity: 0.95
Epoch [19/50]: Avg Loss: 0.0469 | Avg Accuracy: 94.88 | Model Sparsity: 0.95
Epoch [20/50]: Avg Loss: 0.0448 | Avg Accuracy: 95.26 | Model Sparsity: 0.95
Epoch [21/50]: Avg Loss: 0.0446 | Avg Accuracy: 94.78 | Model Sparsity: 0.95
Epoch [22/50]: Avg Loss: 0.0441 | Avg Accuracy: 94.67 | Model Sparsity: 0.95
Epoch [23/50]: Avg Loss: 0.0410 | Avg Accuracy: 94.57 | Model Sparsity: 0.95
Epoch [24/50]: Avg Loss: 0.0369 | Avg Accuracy: 94.43 | Model Sparsity: 0.95
Epoch [25/50]: Avg Loss: 0.0345 | Avg Accuracy: 94.50 | Model Sparsity: 0.95
Epoch [26/50]: Avg Loss: 0.0329 | Avg Accuracy: 95.27 | Model Sparsity: 0.95
Epoch [27/50]: Avg Loss: 0.0300 | Avg Accuracy: 94.89 | Model Sparsity: 0.95
Epoch [28/50]: Avg Loss: 0.0332 | Avg Accuracy: 94.64 | Model Sparsity: 0.95
Epoch [29/50]: Avg Loss: 0.0287 | Avg Accuracy: 94.94 | Model Sparsity: 0.95
Epoch [30/50]: Avg Loss: 0.0277 | Avg Accuracy: 94.73 | Model Sparsity: 0.95
Epoch [31/50]: Avg Loss: 0.0282 | Avg Accuracy: 94.75 | Model Sparsity: 0.95
Epoch [32/50]: Avg Loss: 0.0259 | Avg Accuracy: 94.80 | Model Sparsity: 0.95
Epoch [33/50]: Avg Loss: 0.0285 | Avg Accuracy: 94.75 | Model Sparsity: 0.95
Epoch [34/50]: Avg Loss: 0.0240 | Avg Accuracy: 94.64 | Model Sparsity: 0.95
Epoch [35/50]: Avg Loss: 0.0238 | Avg Accuracy: 94.88 | Model Sparsity: 0.95
Epoch [36/50]: Avg Loss: 0.0211 | Avg Accuracy: 94.52 | Model Sparsity: 0.95
Epoch [37/50]: Avg Loss: 0.0215 | Avg Accuracy: 94.59 | Model Sparsity: 0.95
Epoch [38/50]: Avg Loss: 0.0198 | Avg Accuracy: 94.56 | Model Sparsity: 0.95
Epoch [39/50]: Avg Loss: 0.0215 | Avg Accuracy: 94.46 | Model Sparsity: 0.95
Epoch [40/50]: Avg Loss: 0.0209 | Avg Accuracy: 94.95 | Model Sparsity: 0.95
Epoch [41/50]: Avg Loss: 0.0199 | Avg Accuracy: 94.59 | Model Sparsity: 0.95
Epoch [42/50]: Avg Loss: 0.0192 | Avg Accuracy: 94.89 | Model Sparsity: 0.95
Epoch [43/50]: Avg Loss: 0.0188 | Avg Accuracy: 94.71 | Model Sparsity: 0.95
Epoch [44/50]: Avg Loss: 0.0174 | Avg Accuracy: 94.43 | Model Sparsity: 0.95
Epoch [45/50]: Avg Loss: 0.0175 | Avg Accuracy: 94.88 | Model Sparsity: 0.95
Epoch [46/50]: Avg Loss: 0.0174 | Avg Accuracy: 94.74 | Model Sparsity: 0.95
