Model : resnet50 - Learning Type: cifar10/finetune_LS_disable_unsupervised_loss/magnitude_pruning/0.95
Configuration:
model_type: cv
model_name: resnet50
model_task: cifar10
num_classes: 10
criterion: CrossEntropyLoss()
embedding_dim: 2048
epochs: 50
pruning_epochs: 50
recovery_epochs: 10
batch_size: 512
learning_rate: 0.0001
learning_type: finetune_LS_disable_unsupervised_loss
optimizer_type: adamw
prune: False
pruning_type: magnitude_pruning
target_sparsity: 0.95
sparsity_scheduler: linear
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/resnet50/cifar10/resnet50_cifar10_magnitude_pruning_0.95_finetune_LS_disable_unsupervised_loss.pt
finetuned_weights: /dbfs/research/resnet50/cifar10/resnet50_cifar10_magnitude_pruning_0.95_bacp_LS_disable_unsupervised_loss.pt

Epoch [1/50]: Avg Loss: 1.0120 | Avg Accuracy: 91.31 | Model Sparsity: 0.95
Epoch [2/50]: Avg Loss: 0.3236 | Avg Accuracy: 92.22 | Model Sparsity: 0.95
Epoch [3/50]: Avg Loss: 0.2474 | Avg Accuracy: 92.58 | Model Sparsity: 0.95
Epoch [4/50]: Avg Loss: 0.2212 | Avg Accuracy: 92.90 | Model Sparsity: 0.95
Epoch [5/50]: Avg Loss: 0.1979 | Avg Accuracy: 93.22 | Model Sparsity: 0.95
Epoch [6/50]: Avg Loss: 0.1867 | Avg Accuracy: 93.01 | Model Sparsity: 0.95
Epoch [7/50]: Avg Loss: 0.1761 | Avg Accuracy: 93.36 | Model Sparsity: 0.95
Epoch [8/50]: Avg Loss: 0.1660 | Avg Accuracy: 93.28 | Model Sparsity: 0.95
Epoch [9/50]: Avg Loss: 0.1587 | Avg Accuracy: 93.60 | Model Sparsity: 0.95
Epoch [10/50]: Avg Loss: 0.1484 | Avg Accuracy: 94.06 | Model Sparsity: 0.95
Epoch [11/50]: Avg Loss: 0.1392 | Avg Accuracy: 93.32 | Model Sparsity: 0.95
Epoch [12/50]: Avg Loss: 0.1365 | Avg Accuracy: 93.51 | Model Sparsity: 0.95
Epoch [13/50]: Avg Loss: 0.1339 | Avg Accuracy: 93.97 | Model Sparsity: 0.95
Epoch [14/50]: Avg Loss: 0.1242 | Avg Accuracy: 93.88 | Model Sparsity: 0.95
Epoch [15/50]: Avg Loss: 0.1203 | Avg Accuracy: 93.67 | Model Sparsity: 0.95
Epoch [16/50]: Avg Loss: 0.1150 | Avg Accuracy: 93.79 | Model Sparsity: 0.95
Epoch [17/50]: Avg Loss: 0.1077 | Avg Accuracy: 93.72 | Model Sparsity: 0.95
Epoch [18/50]: Avg Loss: 0.1035 | Avg Accuracy: 94.03 | Model Sparsity: 0.95
Epoch [19/50]: Avg Loss: 0.1013 | Avg Accuracy: 93.50 | Model Sparsity: 0.95
Epoch [20/50]: Avg Loss: 0.0960 | Avg Accuracy: 93.92 | Model Sparsity: 0.95
Epoch [21/50]: Avg Loss: 0.0930 | Avg Accuracy: 93.48 | Model Sparsity: 0.95
Epoch [22/50]: Avg Loss: 0.0892 | Avg Accuracy: 93.93 | Model Sparsity: 0.95
Epoch [23/50]: Avg Loss: 0.0877 | Avg Accuracy: 94.21 | Model Sparsity: 0.95
Epoch [24/50]: Avg Loss: 0.0830 | Avg Accuracy: 94.02 | Model Sparsity: 0.95
Epoch [25/50]: Avg Loss: 0.0805 | Avg Accuracy: 94.52 | Model Sparsity: 0.95
Epoch [26/50]: Avg Loss: 0.0745 | Avg Accuracy: 94.22 | Model Sparsity: 0.95
Epoch [27/50]: Avg Loss: 0.0739 | Avg Accuracy: 93.90 | Model Sparsity: 0.95
Epoch [28/50]: Avg Loss: 0.0699 | Avg Accuracy: 94.03 | Model Sparsity: 0.95
Epoch [29/50]: Avg Loss: 0.0671 | Avg Accuracy: 94.04 | Model Sparsity: 0.95
Epoch [30/50]: Avg Loss: 0.0661 | Avg Accuracy: 94.10 | Model Sparsity: 0.95
Epoch [31/50]: Avg Loss: 0.0625 | Avg Accuracy: 94.32 | Model Sparsity: 0.95
Epoch [32/50]: Avg Loss: 0.0619 | Avg Accuracy: 94.31 | Model Sparsity: 0.95
Epoch [33/50]: Avg Loss: 0.0583 | Avg Accuracy: 94.17 | Model Sparsity: 0.95
Epoch [34/50]: Avg Loss: 0.0563 | Avg Accuracy: 93.86 | Model Sparsity: 0.95
Epoch [35/50]: Avg Loss: 0.0542 | Avg Accuracy: 94.08 | Model Sparsity: 0.95
Epoch [36/50]: Avg Loss: 0.0556 | Avg Accuracy: 94.08 | Model Sparsity: 0.95
Epoch [37/50]: Avg Loss: 0.0520 | Avg Accuracy: 93.95 | Model Sparsity: 0.95
Epoch [38/50]: Avg Loss: 0.0488 | Avg Accuracy: 94.45 | Model Sparsity: 0.95
Epoch [39/50]: Avg Loss: 0.0469 | Avg Accuracy: 94.10 | Model Sparsity: 0.95
Epoch [40/50]: Avg Loss: 0.0453 | Avg Accuracy: 94.11 | Model Sparsity: 0.95
Epoch [41/50]: Avg Loss: 0.0433 | Avg Accuracy: 94.17 | Model Sparsity: 0.95
Epoch [42/50]: Avg Loss: 0.0424 | Avg Accuracy: 93.95 | Model Sparsity: 0.95
Epoch [43/50]: Avg Loss: 0.0404 | Avg Accuracy: 94.25 | Model Sparsity: 0.95
Epoch [44/50]: Avg Loss: 0.0404 | Avg Accuracy: 94.20 | Model Sparsity: 0.95
Epoch [45/50]: Avg Loss: 0.0389 | Avg Accuracy: 94.20 | Model Sparsity: 0.95
