Model : resnet50 - Learning Type: cifar10/finetune_all_losses/magnitude_pruning/0.95
Configuration:
model_type: cv
model_name: resnet50
model_task: cifar10
num_classes: 10
criterion: CrossEntropyLoss()
embedding_dim: 2048
epochs: 50
pruning_epochs: 50
recovery_epochs: 10
batch_size: 512
learning_rate: 0.0001
learning_type: finetune_all_losses
optimizer_type: adamw
prune: False
pruning_type: magnitude_pruning
target_sparsity: 0.95
sparsity_scheduler: linear
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/resnet50/cifar10/resnet50_cifar10_magnitude_pruning_0.95_finetune_all_losses.pt
finetuned_weights: /dbfs/research/resnet50/cifar10/resnet50_cifar10_magnitude_pruning_0.95_bacp_TS_all_losses.pt

Epoch [1/50]: Avg Loss: 0.9402 | Avg Accuracy: 91.80 | Model Sparsity: 0.95
Epoch [2/50]: Avg Loss: 0.2736 | Avg Accuracy: 92.94 | Model Sparsity: 0.95
Epoch [3/50]: Avg Loss: 0.2112 | Avg Accuracy: 93.61 | Model Sparsity: 0.95
Epoch [4/50]: Avg Loss: 0.1812 | Avg Accuracy: 93.61 | Model Sparsity: 0.95
Epoch [5/50]: Avg Loss: 0.1706 | Avg Accuracy: 93.76 | Model Sparsity: 0.95
Epoch [6/50]: Avg Loss: 0.1534 | Avg Accuracy: 93.95 | Model Sparsity: 0.95
Epoch [7/50]: Avg Loss: 0.1422 | Avg Accuracy: 94.13 | Model Sparsity: 0.95
Epoch [8/50]: Avg Loss: 0.1376 | Avg Accuracy: 93.96 | Model Sparsity: 0.95
Epoch [9/50]: Avg Loss: 0.1251 | Avg Accuracy: 94.11 | Model Sparsity: 0.95
Epoch [10/50]: Avg Loss: 0.1190 | Avg Accuracy: 94.29 | Model Sparsity: 0.95
Epoch [11/50]: Avg Loss: 0.1105 | Avg Accuracy: 94.34 | Model Sparsity: 0.95
Epoch [12/50]: Avg Loss: 0.1083 | Avg Accuracy: 93.75 | Model Sparsity: 0.95
Epoch [13/50]: Avg Loss: 0.1007 | Avg Accuracy: 94.53 | Model Sparsity: 0.95
Epoch [14/50]: Avg Loss: 0.0946 | Avg Accuracy: 94.84 | Model Sparsity: 0.95
Epoch [15/50]: Avg Loss: 0.0878 | Avg Accuracy: 94.55 | Model Sparsity: 0.95
Epoch [16/50]: Avg Loss: 0.0845 | Avg Accuracy: 94.68 | Model Sparsity: 0.95
Epoch [17/50]: Avg Loss: 0.0825 | Avg Accuracy: 95.06 | Model Sparsity: 0.95
Epoch [18/50]: Avg Loss: 0.0760 | Avg Accuracy: 94.15 | Model Sparsity: 0.95
Epoch [19/50]: Avg Loss: 0.0750 | Avg Accuracy: 94.31 | Model Sparsity: 0.95
Epoch [20/50]: Avg Loss: 0.0674 | Avg Accuracy: 94.78 | Model Sparsity: 0.95
Epoch [21/50]: Avg Loss: 0.0639 | Avg Accuracy: 94.60 | Model Sparsity: 0.95
Epoch [22/50]: Avg Loss: 0.0651 | Avg Accuracy: 94.66 | Model Sparsity: 0.95
Epoch [23/50]: Avg Loss: 0.0595 | Avg Accuracy: 94.71 | Model Sparsity: 0.95
Epoch [24/50]: Avg Loss: 0.0555 | Avg Accuracy: 94.67 | Model Sparsity: 0.95
Epoch [25/50]: Avg Loss: 0.0578 | Avg Accuracy: 94.75 | Model Sparsity: 0.95
Epoch [26/50]: Avg Loss: 0.0515 | Avg Accuracy: 94.56 | Model Sparsity: 0.95
Epoch [27/50]: Avg Loss: 0.0486 | Avg Accuracy: 94.68 | Model Sparsity: 0.95
Epoch [28/50]: Avg Loss: 0.0476 | Avg Accuracy: 94.48 | Model Sparsity: 0.95
Epoch [29/50]: Avg Loss: 0.0486 | Avg Accuracy: 94.61 | Model Sparsity: 0.95
