Model : resnet50 - Learning Type: cifar10/finetune_disable_all_loss/magnitude_pruning/0.95
Configuration:
model_type: cv
model_name: resnet50
model_task: cifar10
num_classes: 10
criterion: CrossEntropyLoss()
embedding_dim: 2048
epochs: 50
pruning_epochs: 50
recovery_epochs: 10
batch_size: 512
learning_rate: 0.0001
learning_type: finetune_disable_all_loss
optimizer_type: adamw
prune: False
pruning_type: magnitude_pruning
target_sparsity: 0.95
sparsity_scheduler: linear
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/resnet50/cifar10/resnet50_cifar10_magnitude_pruning_0.95_finetune_disable_all_loss.pt
finetuned_weights: /dbfs/research/resnet50/cifar10/resnet50_cifar10_magnitude_pruning_0.95_bacp_TS_disable_all_loss.pt

Epoch [1/50]: Avg Loss: 0.9097 | Avg Accuracy: 91.82 | Model Sparsity: 0.95
Epoch [2/50]: Avg Loss: 0.2673 | Avg Accuracy: 92.65 | Model Sparsity: 0.95
Epoch [3/50]: Avg Loss: 0.2055 | Avg Accuracy: 92.66 | Model Sparsity: 0.95
Epoch [4/50]: Avg Loss: 0.1786 | Avg Accuracy: 93.36 | Model Sparsity: 0.95
Epoch [5/50]: Avg Loss: 0.1629 | Avg Accuracy: 94.11 | Model Sparsity: 0.95
Epoch [6/50]: Avg Loss: 0.1447 | Avg Accuracy: 93.02 | Model Sparsity: 0.95
Epoch [7/50]: Avg Loss: 0.1334 | Avg Accuracy: 93.57 | Model Sparsity: 0.95
Epoch [8/50]: Avg Loss: 0.1217 | Avg Accuracy: 93.68 | Model Sparsity: 0.95
Epoch [9/50]: Avg Loss: 0.1126 | Avg Accuracy: 93.35 | Model Sparsity: 0.95
Epoch [10/50]: Avg Loss: 0.1066 | Avg Accuracy: 94.14 | Model Sparsity: 0.95
Epoch [11/50]: Avg Loss: 0.1025 | Avg Accuracy: 93.79 | Model Sparsity: 0.95
Epoch [12/50]: Avg Loss: 0.0924 | Avg Accuracy: 93.90 | Model Sparsity: 0.95
Epoch [13/50]: Avg Loss: 0.0885 | Avg Accuracy: 93.69 | Model Sparsity: 0.95
Epoch [14/50]: Avg Loss: 0.0822 | Avg Accuracy: 93.71 | Model Sparsity: 0.95
Epoch [15/50]: Avg Loss: 0.0775 | Avg Accuracy: 94.11 | Model Sparsity: 0.95
Epoch [16/50]: Avg Loss: 0.0726 | Avg Accuracy: 94.02 | Model Sparsity: 0.95
Epoch [17/50]: Avg Loss: 0.0700 | Avg Accuracy: 94.00 | Model Sparsity: 0.95
Epoch [18/50]: Avg Loss: 0.0662 | Avg Accuracy: 93.68 | Model Sparsity: 0.95
Epoch [19/50]: Avg Loss: 0.0628 | Avg Accuracy: 94.07 | Model Sparsity: 0.95
Epoch [20/50]: Avg Loss: 0.0569 | Avg Accuracy: 94.24 | Model Sparsity: 0.95
Epoch [21/50]: Avg Loss: 0.0522 | Avg Accuracy: 94.36 | Model Sparsity: 0.95
Epoch [22/50]: Avg Loss: 0.0553 | Avg Accuracy: 94.04 | Model Sparsity: 0.95
Epoch [23/50]: Avg Loss: 0.0540 | Avg Accuracy: 93.72 | Model Sparsity: 0.95
Epoch [24/50]: Avg Loss: 0.0516 | Avg Accuracy: 93.51 | Model Sparsity: 0.95
Epoch [25/50]: Avg Loss: 0.0476 | Avg Accuracy: 94.53 | Model Sparsity: 0.95
Epoch [26/50]: Avg Loss: 0.0447 | Avg Accuracy: 94.29 | Model Sparsity: 0.95
Epoch [27/50]: Avg Loss: 0.0428 | Avg Accuracy: 93.99 | Model Sparsity: 0.95
Epoch [28/50]: Avg Loss: 0.0408 | Avg Accuracy: 94.15 | Model Sparsity: 0.95
Epoch [29/50]: Avg Loss: 0.0420 | Avg Accuracy: 94.06 | Model Sparsity: 0.95
Epoch [30/50]: Avg Loss: 0.0371 | Avg Accuracy: 93.51 | Model Sparsity: 0.95
Epoch [31/50]: Avg Loss: 0.0386 | Avg Accuracy: 93.88 | Model Sparsity: 0.95
Epoch [32/50]: Avg Loss: 0.0350 | Avg Accuracy: 94.15 | Model Sparsity: 0.95
Epoch [33/50]: Avg Loss: 0.0346 | Avg Accuracy: 93.82 | Model Sparsity: 0.95
Epoch [34/50]: Avg Loss: 0.0327 | Avg Accuracy: 93.96 | Model Sparsity: 0.95
Epoch [35/50]: Avg Loss: 0.0331 | Avg Accuracy: 93.64 | Model Sparsity: 0.95
Epoch [36/50]: Avg Loss: 0.0301 | Avg Accuracy: 93.72 | Model Sparsity: 0.95
Epoch [37/50]: Avg Loss: 0.0315 | Avg Accuracy: 93.86 | Model Sparsity: 0.95
Epoch [38/50]: Avg Loss: 0.0296 | Avg Accuracy: 94.00 | Model Sparsity: 0.95
Epoch [39/50]: Avg Loss: 0.0292 | Avg Accuracy: 94.20 | Model Sparsity: 0.95
Epoch [40/50]: Avg Loss: 0.0294 | Avg Accuracy: 93.78 | Model Sparsity: 0.95
Epoch [41/50]: Avg Loss: 0.0289 | Avg Accuracy: 94.08 | Model Sparsity: 0.95
Epoch [42/50]: Avg Loss: 0.0288 | Avg Accuracy: 94.03 | Model Sparsity: 0.95
Epoch [43/50]: Avg Loss: 0.0242 | Avg Accuracy: 94.00 | Model Sparsity: 0.95
Epoch [44/50]: Avg Loss: 0.0265 | Avg Accuracy: 93.92 | Model Sparsity: 0.95
Epoch [45/50]: Avg Loss: 0.0232 | Avg Accuracy: 94.28 | Model Sparsity: 0.95
