Model : resnet50 - Learning Type: cifar10/finetune_disable_supervised_loss/magnitude_pruning/0.95
Configuration:
model_type: cv
model_name: resnet50
model_task: cifar10
num_classes: 10
criterion: CrossEntropyLoss()
embedding_dim: 2048
epochs: 50
pruning_epochs: 50
recovery_epochs: 10
batch_size: 512
learning_rate: 0.0001
learning_type: finetune_disable_supervised_loss
optimizer_type: adamw
prune: False
pruning_type: magnitude_pruning
target_sparsity: 0.95
sparsity_scheduler: linear
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/resnet50/cifar10/resnet50_cifar10_magnitude_pruning_0.95_finetune_disable_supervised_loss.pt
finetuned_weights: /dbfs/research/resnet50/cifar10/resnet50_cifar10_magnitude_pruning_0.95_bacp_TS_disable_supervised_loss.pt

Epoch [1/50]: Avg Loss: 0.8137 | Avg Accuracy: 92.65 | Model Sparsity: 0.95
Epoch [2/50]: Avg Loss: 0.2235 | Avg Accuracy: 93.62 | Model Sparsity: 0.95
Epoch [3/50]: Avg Loss: 0.1711 | Avg Accuracy: 93.51 | Model Sparsity: 0.95
Epoch [4/50]: Avg Loss: 0.1487 | Avg Accuracy: 94.11 | Model Sparsity: 0.95
Epoch [5/50]: Avg Loss: 0.1302 | Avg Accuracy: 94.02 | Model Sparsity: 0.95
Epoch [6/50]: Avg Loss: 0.1188 | Avg Accuracy: 93.92 | Model Sparsity: 0.95
Epoch [7/50]: Avg Loss: 0.1072 | Avg Accuracy: 94.46 | Model Sparsity: 0.95
Epoch [8/50]: Avg Loss: 0.0936 | Avg Accuracy: 94.06 | Model Sparsity: 0.95
Epoch [9/50]: Avg Loss: 0.0852 | Avg Accuracy: 94.14 | Model Sparsity: 0.95
Epoch [10/50]: Avg Loss: 0.0817 | Avg Accuracy: 94.39 | Model Sparsity: 0.95
Epoch [11/50]: Avg Loss: 0.0746 | Avg Accuracy: 94.34 | Model Sparsity: 0.95
Epoch [12/50]: Avg Loss: 0.0693 | Avg Accuracy: 94.70 | Model Sparsity: 0.95
Epoch [13/50]: Avg Loss: 0.0659 | Avg Accuracy: 94.43 | Model Sparsity: 0.95
