Model : resnet50 - Learning Type: cifar10/finetune_disable_unsupervised_loss/magnitude_pruning/0.95
Configuration:
model_type: cv
model_name: resnet50
model_task: cifar10
num_classes: 10
criterion: CrossEntropyLoss()
embedding_dim: 2048
epochs: 50
pruning_epochs: 50
recovery_epochs: 10
batch_size: 512
learning_rate: 0.0001
learning_type: finetune_disable_unsupervised_loss
optimizer_type: adamw
prune: False
pruning_type: magnitude_pruning
target_sparsity: 0.95
sparsity_scheduler: linear
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/resnet50/cifar10/resnet50_cifar10_magnitude_pruning_0.95_finetune_disable_unsupervised_loss.pt
finetuned_weights: /dbfs/research/resnet50/cifar10/resnet50_cifar10_magnitude_pruning_0.95_bacp_TS_disable_unsupervised_loss.pt

Epoch [1/50]: Avg Loss: 1.0356 | Avg Accuracy: 90.79 | Model Sparsity: 0.95
Epoch [2/50]: Avg Loss: 0.3311 | Avg Accuracy: 91.55 | Model Sparsity: 0.95
Epoch [3/50]: Avg Loss: 0.2577 | Avg Accuracy: 92.42 | Model Sparsity: 0.95
Epoch [4/50]: Avg Loss: 0.2287 | Avg Accuracy: 92.56 | Model Sparsity: 0.95
Epoch [5/50]: Avg Loss: 0.2036 | Avg Accuracy: 92.72 | Model Sparsity: 0.95
Epoch [6/50]: Avg Loss: 0.1907 | Avg Accuracy: 92.97 | Model Sparsity: 0.95
Epoch [7/50]: Avg Loss: 0.1774 | Avg Accuracy: 93.07 | Model Sparsity: 0.95
Epoch [8/50]: Avg Loss: 0.1670 | Avg Accuracy: 93.12 | Model Sparsity: 0.95
Epoch [9/50]: Avg Loss: 0.1597 | Avg Accuracy: 93.30 | Model Sparsity: 0.95
Epoch [10/50]: Avg Loss: 0.1550 | Avg Accuracy: 93.09 | Model Sparsity: 0.95
Epoch [11/50]: Avg Loss: 0.1493 | Avg Accuracy: 93.29 | Model Sparsity: 0.95
Epoch [12/50]: Avg Loss: 0.1411 | Avg Accuracy: 93.60 | Model Sparsity: 0.95
Epoch [13/50]: Avg Loss: 0.1317 | Avg Accuracy: 93.79 | Model Sparsity: 0.95
Epoch [14/50]: Avg Loss: 0.1309 | Avg Accuracy: 93.55 | Model Sparsity: 0.95
Epoch [15/50]: Avg Loss: 0.1254 | Avg Accuracy: 93.76 | Model Sparsity: 0.95
Epoch [16/50]: Avg Loss: 0.1178 | Avg Accuracy: 93.86 | Model Sparsity: 0.95
Epoch [17/50]: Avg Loss: 0.1135 | Avg Accuracy: 93.81 | Model Sparsity: 0.95
Epoch [18/50]: Avg Loss: 0.1089 | Avg Accuracy: 93.79 | Model Sparsity: 0.95
Epoch [19/50]: Avg Loss: 0.1043 | Avg Accuracy: 93.51 | Model Sparsity: 0.95
Epoch [20/50]: Avg Loss: 0.1017 | Avg Accuracy: 93.71 | Model Sparsity: 0.95
Epoch [21/50]: Avg Loss: 0.0975 | Avg Accuracy: 93.51 | Model Sparsity: 0.95
Epoch [22/50]: Avg Loss: 0.0937 | Avg Accuracy: 94.08 | Model Sparsity: 0.95
Epoch [23/50]: Avg Loss: 0.0908 | Avg Accuracy: 93.83 | Model Sparsity: 0.95
Epoch [24/50]: Avg Loss: 0.0855 | Avg Accuracy: 94.24 | Model Sparsity: 0.95
Epoch [25/50]: Avg Loss: 0.0812 | Avg Accuracy: 93.71 | Model Sparsity: 0.95
Epoch [26/50]: Avg Loss: 0.0826 | Avg Accuracy: 93.83 | Model Sparsity: 0.95
Epoch [27/50]: Avg Loss: 0.0784 | Avg Accuracy: 93.72 | Model Sparsity: 0.95
Epoch [28/50]: Avg Loss: 0.0768 | Avg Accuracy: 93.72 | Model Sparsity: 0.95
Epoch [29/50]: Avg Loss: 0.0724 | Avg Accuracy: 93.79 | Model Sparsity: 0.95
Epoch [30/50]: Avg Loss: 0.0688 | Avg Accuracy: 93.61 | Model Sparsity: 0.95
Epoch [31/50]: Avg Loss: 0.0681 | Avg Accuracy: 93.92 | Model Sparsity: 0.95
Epoch [32/50]: Avg Loss: 0.0645 | Avg Accuracy: 94.03 | Model Sparsity: 0.95
Epoch [33/50]: Avg Loss: 0.0597 | Avg Accuracy: 94.03 | Model Sparsity: 0.95
Epoch [34/50]: Avg Loss: 0.0641 | Avg Accuracy: 94.02 | Model Sparsity: 0.95
Epoch [35/50]: Avg Loss: 0.0585 | Avg Accuracy: 94.31 | Model Sparsity: 0.95
Epoch [36/50]: Avg Loss: 0.0581 | Avg Accuracy: 93.82 | Model Sparsity: 0.95
Epoch [37/50]: Avg Loss: 0.0534 | Avg Accuracy: 94.36 | Model Sparsity: 0.95
Epoch [38/50]: Avg Loss: 0.0519 | Avg Accuracy: 94.18 | Model Sparsity: 0.95
Epoch [39/50]: Avg Loss: 0.0504 | Avg Accuracy: 93.93 | Model Sparsity: 0.95
Epoch [40/50]: Avg Loss: 0.0490 | Avg Accuracy: 94.15 | Model Sparsity: 0.95
Epoch [41/50]: Avg Loss: 0.0478 | Avg Accuracy: 93.82 | Model Sparsity: 0.95
Epoch [42/50]: Avg Loss: 0.0430 | Avg Accuracy: 94.27 | Model Sparsity: 0.95
Epoch [43/50]: Avg Loss: 0.0423 | Avg Accuracy: 94.38 | Model Sparsity: 0.95
Epoch [44/50]: Avg Loss: 0.0445 | Avg Accuracy: 93.92 | Model Sparsity: 0.95
Epoch [45/50]: Avg Loss: 0.0411 | Avg Accuracy: 94.17 | Model Sparsity: 0.95
Epoch [46/50]: Avg Loss: 0.0387 | Avg Accuracy: 94.34 | Model Sparsity: 0.95
Epoch [47/50]: Avg Loss: 0.0390 | Avg Accuracy: 94.21 | Model Sparsity: 0.95
Epoch [48/50]: Avg Loss: 0.0374 | Avg Accuracy: 94.14 | Model Sparsity: 0.95
Epoch [49/50]: Avg Loss: 0.0385 | Avg Accuracy: 94.49 | Model Sparsity: 0.95
Epoch [50/50]: Avg Loss: 0.0375 | Avg Accuracy: 93.82 | Model Sparsity: 0.95
