Model : vgg11 - Learning Type: cifar10/LRS_adamw_0.005/magnitude_pruning/0.95
Configuration:
model_type: cv
model_name: vgg11
model_task: cifar10
num_classes: 10
criterion: CrossEntropyLoss()
embedding_dim: 4096
epochs: 5
pruning_epochs: 5
recovery_epochs: 10
batch_size: 512
learning_rate: 0.005
learning_type: LRS_adamw_0.005
optimizer_type: adamw
prune: True
pruning_type: magnitude_pruning
target_sparsity: 0.95
sparsity_scheduler: cubic
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/vgg11/cifar10/vgg11_cifar10_magnitude_pruning_0.95_LRS_adamw_0.005.pt
finetuned_weights: /dbfs/research/vgg11/cifar10/vgg11_cifar10_baseline.pt

Epoch [1/5]: Avg Loss: 131.5516 | Avg Accuracy: 9.56 | Model Sparsity: 0.4636
Recovery epoch [1/10]: Avg Loss: 2.3627 | Avg Accuracy: 9.56 | Model Sparsity: 0.4636
Recovery epoch [2/10]: Avg Loss: 2.3035 | Avg Accuracy: 9.56 | Model Sparsity: 0.4636
Recovery epoch [3/10]: Avg Loss: 2.3575 | Avg Accuracy: 9.56 | Model Sparsity: 0.4636
Recovery epoch [4/10]: Avg Loss: 2.3073 | Avg Accuracy: 9.56 | Model Sparsity: 0.4636
Recovery epoch [5/10]: Avg Loss: 2.3316 | Avg Accuracy: 9.56 | Model Sparsity: 0.4636
Recovery epoch [6/10]: Avg Loss: 2.3071 | Avg Accuracy: 9.71 | Model Sparsity: 0.4636
Recovery epoch [7/10]: Avg Loss: 2.3028 | Avg Accuracy: 9.88 | Model Sparsity: 0.4636
Recovery epoch [8/10]: Avg Loss: 40.0339 | Avg Accuracy: 9.56 | Model Sparsity: 0.4636
Recovery epoch [9/10]: Avg Loss: nan | Avg Accuracy: 9.56 | Model Sparsity: 0.4636
Recovery epoch [10/10]: Avg Loss: nan | Avg Accuracy: 9.56 | Model Sparsity: 0.4636
Epoch [2/5]: Avg Loss: nan | Avg Accuracy: 9.56 | Model Sparsity: 0.7448
Recovery epoch [1/10]: Avg Loss: nan | Avg Accuracy: 9.56 | Model Sparsity: 0.7448
Recovery epoch [2/10]: Avg Loss: nan | Avg Accuracy: 9.56 | Model Sparsity: 0.7448
Recovery epoch [3/10]: Avg Loss: nan | Avg Accuracy: 9.56 | Model Sparsity: 0.7448
Recovery epoch [4/10]: Avg Loss: nan | Avg Accuracy: 9.56 | Model Sparsity: 0.7448
Recovery epoch [5/10]: Avg Loss: nan | Avg Accuracy: 9.56 | Model Sparsity: 0.7448
Recovery epoch [6/10]: Avg Loss: nan | Avg Accuracy: 9.56 | Model Sparsity: 0.7448
Recovery epoch [7/10]: Avg Loss: nan | Avg Accuracy: 9.56 | Model Sparsity: 0.7448
Recovery epoch [8/10]: Avg Loss: nan | Avg Accuracy: 9.56 | Model Sparsity: 0.7448
Recovery epoch [9/10]: Avg Loss: nan | Avg Accuracy: 9.56 | Model Sparsity: 0.7448
Recovery epoch [10/10]: Avg Loss: nan | Avg Accuracy: 9.56 | Model Sparsity: 0.7448
Epoch [3/5]: Avg Loss: nan | Avg Accuracy: 10.81 | Model Sparsity: 0.0
Recovery epoch [1/10]: Avg Loss: nan | Avg Accuracy: 10.81 | Model Sparsity: 0.0
Recovery epoch [2/10]: Avg Loss: nan | Avg Accuracy: 10.81 | Model Sparsity: 0.0
Recovery epoch [3/10]: Avg Loss: nan | Avg Accuracy: 10.81 | Model Sparsity: 0.0
Recovery epoch [4/10]: Avg Loss: nan | Avg Accuracy: 10.81 | Model Sparsity: 0.0
Recovery epoch [5/10]: Avg Loss: nan | Avg Accuracy: 10.81 | Model Sparsity: 0.0
Recovery epoch [6/10]: Avg Loss: nan | Avg Accuracy: 10.81 | Model Sparsity: 0.0
Recovery epoch [7/10]: Avg Loss: nan | Avg Accuracy: 10.81 | Model Sparsity: 0.0
Recovery epoch [8/10]: Avg Loss: nan | Avg Accuracy: 10.81 | Model Sparsity: 0.0
Recovery epoch [9/10]: Avg Loss: nan | Avg Accuracy: 10.81 | Model Sparsity: 0.0
Recovery epoch [10/10]: Avg Loss: nan | Avg Accuracy: 10.81 | Model Sparsity: 0.0
Epoch [4/5]: Avg Loss: nan | Avg Accuracy: 10.81 | Model Sparsity: 0.0
Recovery epoch [1/10]: Avg Loss: nan | Avg Accuracy: 10.81 | Model Sparsity: 0.0
Recovery epoch [2/10]: Avg Loss: nan | Avg Accuracy: 10.81 | Model Sparsity: 0.0
Recovery epoch [3/10]: Avg Loss: nan | Avg Accuracy: 10.81 | Model Sparsity: 0.0
Recovery epoch [4/10]: Avg Loss: nan | Avg Accuracy: 10.81 | Model Sparsity: 0.0
Recovery epoch [5/10]: Avg Loss: nan | Avg Accuracy: 10.81 | Model Sparsity: 0.0
Recovery epoch [6/10]: Avg Loss: nan | Avg Accuracy: 10.81 | Model Sparsity: 0.0
Recovery epoch [7/10]: Avg Loss: nan | Avg Accuracy: 10.81 | Model Sparsity: 0.0
Recovery epoch [8/10]: Avg Loss: nan | Avg Accuracy: 10.81 | Model Sparsity: 0.0
Recovery epoch [9/10]: Avg Loss: nan | Avg Accuracy: 10.81 | Model Sparsity: 0.0
Recovery epoch [10/10]: Avg Loss: nan | Avg Accuracy: 10.81 | Model Sparsity: 0.0
Epoch [5/5]: Avg Loss: nan | Avg Accuracy: 10.81 | Model Sparsity: 0.0
Recovery epoch [1/10]: Avg Loss: nan | Avg Accuracy: 10.81 | Model Sparsity: 0.0
Recovery epoch [2/10]: Avg Loss: nan | Avg Accuracy: 10.81 | Model Sparsity: 0.0
Recovery epoch [3/10]: Avg Loss: nan | Avg Accuracy: 10.81 | Model Sparsity: 0.0
Recovery epoch [4/10]: Avg Loss: nan | Avg Accuracy: 10.81 | Model Sparsity: 0.0
Recovery epoch [5/10]: Avg Loss: nan | Avg Accuracy: 10.81 | Model Sparsity: 0.0
Recovery epoch [6/10]: Avg Loss: nan | Avg Accuracy: 10.81 | Model Sparsity: 0.0
Recovery epoch [7/10]: Avg Loss: nan | Avg Accuracy: 10.81 | Model Sparsity: 0.0
Recovery epoch [8/10]: Avg Loss: nan | Avg Accuracy: 10.81 | Model Sparsity: 0.0
Recovery epoch [9/10]: Avg Loss: nan | Avg Accuracy: 10.81 | Model Sparsity: 0.0
Recovery epoch [10/10]: Avg Loss: nan | Avg Accuracy: 10.81 | Model Sparsity: 0.0
