Model : vgg11 - Learning Type: cifar10/LRS_sgd_0.03/magnitude_pruning/0.95
Configuration:
model_type: cv
model_name: vgg11
model_task: cifar10
num_classes: 10
criterion: CrossEntropyLoss()
embedding_dim: 4096
epochs: 5
pruning_epochs: 5
recovery_epochs: 10
batch_size: 512
learning_rate: 0.03
learning_type: LRS_sgd_0.03
optimizer_type: sgd
prune: True
pruning_type: magnitude_pruning
target_sparsity: 0.95
sparsity_scheduler: cubic
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/vgg11/cifar10/vgg11_cifar10_magnitude_pruning_0.95_LRS_sgd_0.03.pt
finetuned_weights: /dbfs/research/vgg11/cifar10/vgg11_cifar10_baseline.pt

Epoch [1/5]: Avg Loss: 0.2898 | Avg Accuracy: 91.91 | Model Sparsity: 0.4636
Recovery epoch [1/10]: Avg Loss: 0.2160 | Avg Accuracy: 90.71 | Model Sparsity: 0.4636
Recovery epoch [2/10]: Avg Loss: 0.1998 | Avg Accuracy: 91.98 | Model Sparsity: 0.4636
Recovery epoch [3/10]: Avg Loss: 0.1816 | Avg Accuracy: 91.49 | Model Sparsity: 0.4636
Recovery epoch [4/10]: Avg Loss: 0.1708 | Avg Accuracy: 92.29 | Model Sparsity: 0.4636
Recovery epoch [5/10]: Avg Loss: 0.1600 | Avg Accuracy: 92.12 | Model Sparsity: 0.4636
Recovery epoch [6/10]: Avg Loss: 0.1491 | Avg Accuracy: 92.09 | Model Sparsity: 0.4636
Recovery epoch [7/10]: Avg Loss: 0.1405 | Avg Accuracy: 92.27 | Model Sparsity: 0.4636
Recovery epoch [8/10]: Avg Loss: 0.1441 | Avg Accuracy: 92.27 | Model Sparsity: 0.4636
Recovery epoch [9/10]: Avg Loss: 0.1372 | Avg Accuracy: 91.32 | Model Sparsity: 0.4636
Recovery epoch [10/10]: Avg Loss: 0.1243 | Avg Accuracy: 90.88 | Model Sparsity: 0.4636
Epoch [2/5]: Avg Loss: 0.1554 | Avg Accuracy: 90.35 | Model Sparsity: 0.7448
Recovery epoch [1/10]: Avg Loss: 0.1121 | Avg Accuracy: 90.67 | Model Sparsity: 0.7448
Recovery epoch [2/10]: Avg Loss: 0.1060 | Avg Accuracy: 91.25 | Model Sparsity: 0.7448
Recovery epoch [3/10]: Avg Loss: 0.1023 | Avg Accuracy: 91.70 | Model Sparsity: 0.7448
Recovery epoch [4/10]: Avg Loss: 0.0924 | Avg Accuracy: 90.37 | Model Sparsity: 0.7448
Recovery epoch [5/10]: Avg Loss: 0.0885 | Avg Accuracy: 90.07 | Model Sparsity: 0.7448
Recovery epoch [6/10]: Avg Loss: 0.0897 | Avg Accuracy: 92.06 | Model Sparsity: 0.7448
Recovery epoch [7/10]: Avg Loss: 0.0774 | Avg Accuracy: 90.39 | Model Sparsity: 0.7448
Recovery epoch [8/10]: Avg Loss: 0.0799 | Avg Accuracy: 90.85 | Model Sparsity: 0.7448
Recovery epoch [9/10]: Avg Loss: 0.0782 | Avg Accuracy: 90.19 | Model Sparsity: 0.7448
Recovery epoch [10/10]: Avg Loss: 0.0816 | Avg Accuracy: 91.17 | Model Sparsity: 0.7448
Epoch [3/5]: Avg Loss: 0.2135 | Avg Accuracy: 88.49 | Model Sparsity: 0.8892
Recovery epoch [1/10]: Avg Loss: 0.1347 | Avg Accuracy: 88.42 | Model Sparsity: 0.8892
Recovery epoch [2/10]: Avg Loss: 0.1260 | Avg Accuracy: 90.00 | Model Sparsity: 0.8892
Recovery epoch [3/10]: Avg Loss: 0.1015 | Avg Accuracy: 89.36 | Model Sparsity: 0.8892
Recovery epoch [4/10]: Avg Loss: 0.1038 | Avg Accuracy: 88.28 | Model Sparsity: 0.8892
Recovery epoch [5/10]: Avg Loss: 0.1003 | Avg Accuracy: 89.96 | Model Sparsity: 0.8892
Recovery epoch [6/10]: Avg Loss: 0.0945 | Avg Accuracy: 89.75 | Model Sparsity: 0.8892
Recovery epoch [7/10]: Avg Loss: 0.0987 | Avg Accuracy: 88.78 | Model Sparsity: 0.8892
Recovery epoch [8/10]: Avg Loss: 0.0927 | Avg Accuracy: 88.67 | Model Sparsity: 0.8892
Recovery epoch [9/10]: Avg Loss: 0.0919 | Avg Accuracy: 90.04 | Model Sparsity: 0.8892
Recovery epoch [10/10]: Avg Loss: 0.0880 | Avg Accuracy: 90.35 | Model Sparsity: 0.8892
Epoch [4/5]: Avg Loss: 0.2569 | Avg Accuracy: 87.90 | Model Sparsity: 0.9424
Recovery epoch [1/10]: Avg Loss: 0.1533 | Avg Accuracy: 88.71 | Model Sparsity: 0.9424
Recovery epoch [2/10]: Avg Loss: 0.1315 | Avg Accuracy: 89.22 | Model Sparsity: 0.9424
Recovery epoch [3/10]: Avg Loss: 0.1158 | Avg Accuracy: 89.51 | Model Sparsity: 0.9424
Recovery epoch [4/10]: Avg Loss: 0.1150 | Avg Accuracy: 89.19 | Model Sparsity: 0.9424
Recovery epoch [5/10]: Avg Loss: 0.1026 | Avg Accuracy: 89.01 | Model Sparsity: 0.9424
Recovery epoch [6/10]: Avg Loss: 0.0993 | Avg Accuracy: 89.49 | Model Sparsity: 0.9424
Recovery epoch [7/10]: Avg Loss: 0.1042 | Avg Accuracy: 88.87 | Model Sparsity: 0.9424
Recovery epoch [8/10]: Avg Loss: 0.1063 | Avg Accuracy: 88.14 | Model Sparsity: 0.9424
Recovery epoch [9/10]: Avg Loss: 0.1102 | Avg Accuracy: 88.99 | Model Sparsity: 0.9424
Recovery epoch [10/10]: Avg Loss: 0.1015 | Avg Accuracy: 90.39 | Model Sparsity: 0.9424
Epoch [5/5]: Avg Loss: 0.1129 | Avg Accuracy: 89.33 | Model Sparsity: 0.95
Recovery epoch [1/10]: Avg Loss: 0.0957 | Avg Accuracy: 88.13 | Model Sparsity: 0.95
Recovery epoch [2/10]: Avg Loss: 0.0929 | Avg Accuracy: 88.90 | Model Sparsity: 0.95
Recovery epoch [3/10]: Avg Loss: 0.0852 | Avg Accuracy: 88.31 | Model Sparsity: 0.95
Recovery epoch [4/10]: Avg Loss: 0.0927 | Avg Accuracy: 90.25 | Model Sparsity: 0.95
Recovery epoch [5/10]: Avg Loss: 0.0961 | Avg Accuracy: 88.42 | Model Sparsity: 0.95
Recovery epoch [6/10]: Avg Loss: 0.0916 | Avg Accuracy: 89.12 | Model Sparsity: 0.95
Recovery epoch [7/10]: Avg Loss: 0.0841 | Avg Accuracy: 90.05 | Model Sparsity: 0.95
Recovery epoch [8/10]: Avg Loss: 0.0830 | Avg Accuracy: 89.09 | Model Sparsity: 0.95
Recovery epoch [9/10]: Avg Loss: 0.0810 | Avg Accuracy: 89.16 | Model Sparsity: 0.95
Recovery epoch [10/10]: Avg Loss: 0.0814 | Avg Accuracy: 88.09 | Model Sparsity: 0.95
