Model : vgg11 - Learning Type: cifar10/bacp_finetune/magnitude_pruning/0.99
Configuration:
model_type: cv
model_name: vgg11
model_task: cifar10
num_classes: 10
criterion: CrossEntropyLoss()
embedding_dim: 4096
epochs: 50
pruning_epochs: 50
recovery_epochs: 10
batch_size: 512
learning_rate: 0.01
learning_type: bacp_finetune
optimizer_type: sgd
prune: False
pruning_type: magnitude_pruning
target_sparsity: 0.99
sparsity_scheduler: linear
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/vgg11/cifar10/vgg11_cifar10_magnitude_pruning_0.99_bacp_finetune.pt
finetuned_weights: /dbfs/research/vgg11/cifar10/vgg11_cifar10_magnitude_pruning_0.99_bacp_pruning.pt

Epoch [1/50]: Avg Loss: 0.6154 | Avg Accuracy: 83.94 | Model Sparsity: 0.99
Epoch [2/50]: Avg Loss: 0.4849 | Avg Accuracy: 84.49 | Model Sparsity: 0.99
Epoch [3/50]: Avg Loss: 0.4610 | Avg Accuracy: 85.04 | Model Sparsity: 0.99
Epoch [4/50]: Avg Loss: 0.4476 | Avg Accuracy: 85.10 | Model Sparsity: 0.99
Epoch [5/50]: Avg Loss: 0.4382 | Avg Accuracy: 85.41 | Model Sparsity: 0.99
Epoch [6/50]: Avg Loss: 0.4310 | Avg Accuracy: 85.69 | Model Sparsity: 0.99
Epoch [7/50]: Avg Loss: 0.4175 | Avg Accuracy: 85.84 | Model Sparsity: 0.99
Epoch [8/50]: Avg Loss: 0.4153 | Avg Accuracy: 85.63 | Model Sparsity: 0.99
Epoch [9/50]: Avg Loss: 0.4064 | Avg Accuracy: 85.88 | Model Sparsity: 0.99
Epoch [10/50]: Avg Loss: 0.4017 | Avg Accuracy: 86.40 | Model Sparsity: 0.99
Epoch [11/50]: Avg Loss: 0.3929 | Avg Accuracy: 86.66 | Model Sparsity: 0.99
Epoch [12/50]: Avg Loss: 0.3932 | Avg Accuracy: 86.54 | Model Sparsity: 0.99
Epoch [13/50]: Avg Loss: 0.3880 | Avg Accuracy: 86.79 | Model Sparsity: 0.99
Epoch [14/50]: Avg Loss: 0.3808 | Avg Accuracy: 86.66 | Model Sparsity: 0.99
Epoch [15/50]: Avg Loss: 0.3757 | Avg Accuracy: 86.20 | Model Sparsity: 0.99
Epoch [16/50]: Avg Loss: 0.3743 | Avg Accuracy: 86.58 | Model Sparsity: 0.99
Epoch [17/50]: Avg Loss: 0.3771 | Avg Accuracy: 86.52 | Model Sparsity: 0.99
Epoch [18/50]: Avg Loss: 0.3706 | Avg Accuracy: 86.73 | Model Sparsity: 0.99
Epoch [19/50]: Avg Loss: 0.3621 | Avg Accuracy: 86.34 | Model Sparsity: 0.99
Epoch [20/50]: Avg Loss: 0.3665 | Avg Accuracy: 86.24 | Model Sparsity: 0.99
Epoch [21/50]: Avg Loss: 0.3587 | Avg Accuracy: 86.65 | Model Sparsity: 0.99
Epoch [22/50]: Avg Loss: 0.3574 | Avg Accuracy: 86.57 | Model Sparsity: 0.99
Epoch [23/50]: Avg Loss: 0.3571 | Avg Accuracy: 87.05 | Model Sparsity: 0.99
Epoch [24/50]: Avg Loss: 0.3520 | Avg Accuracy: 86.98 | Model Sparsity: 0.99
Epoch [25/50]: Avg Loss: 0.3446 | Avg Accuracy: 87.12 | Model Sparsity: 0.99
Epoch [26/50]: Avg Loss: 0.3473 | Avg Accuracy: 86.76 | Model Sparsity: 0.99
Epoch [27/50]: Avg Loss: 0.3405 | Avg Accuracy: 86.96 | Model Sparsity: 0.99
Epoch [28/50]: Avg Loss: 0.3378 | Avg Accuracy: 87.33 | Model Sparsity: 0.99
Epoch [29/50]: Avg Loss: 0.3428 | Avg Accuracy: 87.28 | Model Sparsity: 0.99
Epoch [30/50]: Avg Loss: 0.3344 | Avg Accuracy: 87.50 | Model Sparsity: 0.99
Epoch [31/50]: Avg Loss: 0.3365 | Avg Accuracy: 87.08 | Model Sparsity: 0.99
Epoch [32/50]: Avg Loss: 0.3323 | Avg Accuracy: 87.01 | Model Sparsity: 0.99
Epoch [33/50]: Avg Loss: 0.3273 | Avg Accuracy: 87.14 | Model Sparsity: 0.99
Epoch [34/50]: Avg Loss: 0.3265 | Avg Accuracy: 87.46 | Model Sparsity: 0.99
Epoch [35/50]: Avg Loss: 0.3260 | Avg Accuracy: 87.56 | Model Sparsity: 0.99
Epoch [36/50]: Avg Loss: 0.3267 | Avg Accuracy: 87.23 | Model Sparsity: 0.99
Epoch [37/50]: Avg Loss: 0.3183 | Avg Accuracy: 87.30 | Model Sparsity: 0.99
Epoch [38/50]: Avg Loss: 0.3151 | Avg Accuracy: 87.12 | Model Sparsity: 0.99
Epoch [39/50]: Avg Loss: 0.3201 | Avg Accuracy: 87.26 | Model Sparsity: 0.99
Epoch [40/50]: Avg Loss: 0.3147 | Avg Accuracy: 87.96 | Model Sparsity: 0.99
Epoch [41/50]: Avg Loss: 0.3162 | Avg Accuracy: 87.08 | Model Sparsity: 0.99
Epoch [42/50]: Avg Loss: 0.3118 | Avg Accuracy: 87.47 | Model Sparsity: 0.99
Epoch [43/50]: Avg Loss: 0.3111 | Avg Accuracy: 87.22 | Model Sparsity: 0.99
Epoch [44/50]: Avg Loss: 0.3137 | Avg Accuracy: 87.37 | Model Sparsity: 0.99
Epoch [45/50]: Avg Loss: 0.3108 | Avg Accuracy: 87.75 | Model Sparsity: 0.99
Epoch [46/50]: Avg Loss: 0.3083 | Avg Accuracy: 87.56 | Model Sparsity: 0.99
Epoch [47/50]: Avg Loss: 0.3047 | Avg Accuracy: 87.35 | Model Sparsity: 0.99
Epoch [48/50]: Avg Loss: 0.3047 | Avg Accuracy: 88.35 | Model Sparsity: 0.99
Epoch [49/50]: Avg Loss: 0.3077 | Avg Accuracy: 87.29 | Model Sparsity: 0.99
Epoch [50/50]: Avg Loss: 0.3030 | Avg Accuracy: 87.68 | Model Sparsity: 0.99
