Model : vgg11 - Learning Type: cifar10/bacp_finetune/movement_pruning/0.97
Configuration:
model_type: cv
model_name: vgg11
model_task: cifar10
num_classes: 10
criterion: CrossEntropyLoss()
embedding_dim: 4096
epochs: 50
pruning_epochs: 50
recovery_epochs: 10
batch_size: 512
learning_rate: 0.01
learning_type: bacp_finetune
optimizer_type: sgd
prune: False
pruning_type: movement_pruning
target_sparsity: 0.97
sparsity_scheduler: linear
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/vgg11/cifar10/vgg11_cifar10_movement_pruning_0.97_bacp_finetune.pt
finetuned_weights: /dbfs/research/vgg11/cifar10/vgg11_cifar10_movement_pruning_0.97_bacp_pruning.pt

Epoch [1/50]: Avg Loss: 0.9851 | Avg Accuracy: 78.36 | Model Sparsity: 0.97
Epoch [2/50]: Avg Loss: 0.6451 | Avg Accuracy: 79.92 | Model Sparsity: 0.97
Epoch [3/50]: Avg Loss: 0.5932 | Avg Accuracy: 80.59 | Model Sparsity: 0.97
Epoch [4/50]: Avg Loss: 0.5713 | Avg Accuracy: 80.52 | Model Sparsity: 0.97
Epoch [5/50]: Avg Loss: 0.5490 | Avg Accuracy: 81.92 | Model Sparsity: 0.97
Epoch [6/50]: Avg Loss: 0.5345 | Avg Accuracy: 82.69 | Model Sparsity: 0.97
Epoch [7/50]: Avg Loss: 0.5226 | Avg Accuracy: 82.74 | Model Sparsity: 0.97
Epoch [8/50]: Avg Loss: 0.5148 | Avg Accuracy: 83.71 | Model Sparsity: 0.97
Epoch [9/50]: Avg Loss: 0.5014 | Avg Accuracy: 83.69 | Model Sparsity: 0.97
Epoch [10/50]: Avg Loss: 0.4927 | Avg Accuracy: 83.75 | Model Sparsity: 0.97
Epoch [11/50]: Avg Loss: 0.4883 | Avg Accuracy: 83.98 | Model Sparsity: 0.97
Epoch [12/50]: Avg Loss: 0.4808 | Avg Accuracy: 84.58 | Model Sparsity: 0.97
Epoch [13/50]: Avg Loss: 0.4715 | Avg Accuracy: 84.12 | Model Sparsity: 0.97
Epoch [14/50]: Avg Loss: 0.4674 | Avg Accuracy: 84.19 | Model Sparsity: 0.97
Epoch [15/50]: Avg Loss: 0.4575 | Avg Accuracy: 84.12 | Model Sparsity: 0.97
Epoch [16/50]: Avg Loss: 0.4565 | Avg Accuracy: 84.88 | Model Sparsity: 0.97
Epoch [17/50]: Avg Loss: 0.4540 | Avg Accuracy: 84.95 | Model Sparsity: 0.97
Epoch [18/50]: Avg Loss: 0.4466 | Avg Accuracy: 84.42 | Model Sparsity: 0.97
Epoch [19/50]: Avg Loss: 0.4454 | Avg Accuracy: 84.18 | Model Sparsity: 0.97
Epoch [20/50]: Avg Loss: 0.4423 | Avg Accuracy: 84.96 | Model Sparsity: 0.97
Epoch [21/50]: Avg Loss: 0.4394 | Avg Accuracy: 84.19 | Model Sparsity: 0.97
Epoch [22/50]: Avg Loss: 0.4371 | Avg Accuracy: 84.96 | Model Sparsity: 0.97
Epoch [23/50]: Avg Loss: 0.4281 | Avg Accuracy: 84.10 | Model Sparsity: 0.97
Epoch [24/50]: Avg Loss: 0.4239 | Avg Accuracy: 84.70 | Model Sparsity: 0.97
Epoch [25/50]: Avg Loss: 0.4274 | Avg Accuracy: 84.93 | Model Sparsity: 0.97
Epoch [26/50]: Avg Loss: 0.4216 | Avg Accuracy: 85.39 | Model Sparsity: 0.97
Epoch [27/50]: Avg Loss: 0.4149 | Avg Accuracy: 84.96 | Model Sparsity: 0.97
Epoch [28/50]: Avg Loss: 0.4158 | Avg Accuracy: 85.31 | Model Sparsity: 0.97
Epoch [29/50]: Avg Loss: 0.4094 | Avg Accuracy: 85.23 | Model Sparsity: 0.97
