Model : vgg11 - Learning Type: cifar10/contrastive_baseline
Configuration:
model_type: cv
model_name: vgg11
model_task: cifar10
num_classes: 10
criterion: SupConLoss()
embedding_dim: 4096
epochs: 50
pruning_epochs: 50
recovery_epochs: 10
batch_size: 512
learning_rate: 0.01
learning_type: contrastive_baseline
optimizer_type: sgd
prune: False
target_sparsity: 0.0
sparsity_scheduler: linear
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/vgg11/cifar10/vgg11_cifar10_contrastive_baseline.pt

Epoch [1/50]: Avg Loss: 6.4103 | Avg Accuracy: 0.00 | Model Sparsity: 0.0
Epoch [2/50]: Avg Loss: 6.0173 | Avg Accuracy: 0.00 | Model Sparsity: 0.0
Epoch [3/50]: Avg Loss: 5.8248 | Avg Accuracy: 0.00 | Model Sparsity: 0.0
Epoch [4/50]: Avg Loss: 5.7138 | Avg Accuracy: 0.00 | Model Sparsity: 0.0
Epoch [5/50]: Avg Loss: 5.6362 | Avg Accuracy: 0.00 | Model Sparsity: 0.0
Epoch [6/50]: Avg Loss: 5.5581 | Avg Accuracy: 0.00 | Model Sparsity: 0.0
Epoch [7/50]: Avg Loss: 5.5050 | Avg Accuracy: 0.00 | Model Sparsity: 0.0
Epoch [8/50]: Avg Loss: 5.4355 | Avg Accuracy: 0.00 | Model Sparsity: 0.0
Epoch [9/50]: Avg Loss: 5.3976 | Avg Accuracy: 0.00 | Model Sparsity: 0.0
Epoch [10/50]: Avg Loss: 5.3564 | Avg Accuracy: 0.00 | Model Sparsity: 0.0
Epoch [11/50]: Avg Loss: 5.3267 | Avg Accuracy: 0.00 | Model Sparsity: 0.0
Epoch [12/50]: Avg Loss: 5.2921 | Avg Accuracy: 0.00 | Model Sparsity: 0.0
Epoch [13/50]: Avg Loss: 5.2579 | Avg Accuracy: 0.00 | Model Sparsity: 0.0
Epoch [14/50]: Avg Loss: 5.2256 | Avg Accuracy: 0.00 | Model Sparsity: 0.0
Epoch [15/50]: Avg Loss: 5.2029 | Avg Accuracy: 0.00 | Model Sparsity: 0.0
Epoch [16/50]: Avg Loss: 5.1789 | Avg Accuracy: 0.00 | Model Sparsity: 0.0
Epoch [17/50]: Avg Loss: 5.1619 | Avg Accuracy: 0.00 | Model Sparsity: 0.0
Epoch [18/50]: Avg Loss: 5.1561 | Avg Accuracy: 0.00 | Model Sparsity: 0.0
Epoch [19/50]: Avg Loss: 5.1316 | Avg Accuracy: 0.00 | Model Sparsity: 0.0
Epoch [20/50]: Avg Loss: 5.1082 | Avg Accuracy: 0.00 | Model Sparsity: 0.0
Epoch [21/50]: Avg Loss: 5.0965 | Avg Accuracy: 0.00 | Model Sparsity: 0.0
