Model : vgg11 - Learning Type: cifar10/contrastive_baseline_finetune/0.0
Configuration:
model_type: cv
model_name: vgg11
model_task: cifar10
num_classes: 10
criterion: CrossEntropyLoss()
embedding_dim: 4096
epochs: 50
pruning_epochs: 50
recovery_epochs: 10
batch_size: 512
learning_rate: 0.01
learning_type: contrastive_baseline_finetune
optimizer_type: sgd
prune: False
target_sparsity: 0.0
sparsity_scheduler: linear
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/vgg11/cifar10/vgg11_cifar10_None_0.0_contrastive_baseline_finetune.pt
finetuned_weights: /dbfs/research/vgg11/cifar10/vgg11_cifar10_contrastive_baseline.pt

Epoch [1/50]: Avg Loss: 1.1064 | Avg Accuracy: 76.07 | Model Sparsity: 0.0
Epoch [2/50]: Avg Loss: 0.6643 | Avg Accuracy: 78.75 | Model Sparsity: 0.0
Epoch [3/50]: Avg Loss: 0.5558 | Avg Accuracy: 81.29 | Model Sparsity: 0.0
Epoch [4/50]: Avg Loss: 0.5019 | Avg Accuracy: 82.09 | Model Sparsity: 0.0
Epoch [5/50]: Avg Loss: 0.4498 | Avg Accuracy: 84.04 | Model Sparsity: 0.0
Epoch [6/50]: Avg Loss: 0.4171 | Avg Accuracy: 84.39 | Model Sparsity: 0.0
Epoch [7/50]: Avg Loss: 0.3879 | Avg Accuracy: 84.50 | Model Sparsity: 0.0
Epoch [8/50]: Avg Loss: 0.3560 | Avg Accuracy: 85.10 | Model Sparsity: 0.0
Epoch [9/50]: Avg Loss: 0.3244 | Avg Accuracy: 85.78 | Model Sparsity: 0.0
Epoch [10/50]: Avg Loss: 0.3168 | Avg Accuracy: 85.57 | Model Sparsity: 0.0
Epoch [11/50]: Avg Loss: 0.2921 | Avg Accuracy: 85.51 | Model Sparsity: 0.0
Epoch [12/50]: Avg Loss: 0.2684 | Avg Accuracy: 86.91 | Model Sparsity: 0.0
Epoch [13/50]: Avg Loss: 0.2566 | Avg Accuracy: 86.59 | Model Sparsity: 0.0
Epoch [14/50]: Avg Loss: 0.2484 | Avg Accuracy: 86.90 | Model Sparsity: 0.0
Epoch [15/50]: Avg Loss: 0.2256 | Avg Accuracy: 86.06 | Model Sparsity: 0.0
Epoch [16/50]: Avg Loss: 0.2263 | Avg Accuracy: 87.19 | Model Sparsity: 0.0
Epoch [17/50]: Avg Loss: 0.2007 | Avg Accuracy: 86.76 | Model Sparsity: 0.0
Epoch [18/50]: Avg Loss: 0.1919 | Avg Accuracy: 87.11 | Model Sparsity: 0.0
Epoch [19/50]: Avg Loss: 0.1855 | Avg Accuracy: 86.93 | Model Sparsity: 0.0
Epoch [20/50]: Avg Loss: 0.1768 | Avg Accuracy: 87.75 | Model Sparsity: 0.0
Epoch [21/50]: Avg Loss: 0.1643 | Avg Accuracy: 87.35 | Model Sparsity: 0.0
Epoch [22/50]: Avg Loss: 0.1545 | Avg Accuracy: 87.18 | Model Sparsity: 0.0
Epoch [23/50]: Avg Loss: 0.1499 | Avg Accuracy: 86.89 | Model Sparsity: 0.0
Epoch [24/50]: Avg Loss: 0.1434 | Avg Accuracy: 88.23 | Model Sparsity: 0.0
Epoch [25/50]: Avg Loss: 0.1346 | Avg Accuracy: 87.36 | Model Sparsity: 0.0
Epoch [26/50]: Avg Loss: 0.1198 | Avg Accuracy: 88.10 | Model Sparsity: 0.0
