Model : resnet101 - Learning Type: cifar10/bacp_pruning/movement_pruning/0.97
Configuration:
model_name: resnet101
model_task: cifar10
model_type: cv
num_classes: 10
batch_size: 512
learning_rate: 0.1
optimizer_type: sgd
epochs: 5
recovery_epochs: 10
patience: 20
pruning_type: movement_pruning
target_sparsity: 0.97
sparsity_scheduler: cubic
pruning_epochs: 5
n_views: 2
temperature: 0.15
base_temperature: 0.15
device: cuda
enable_mixed_precision: True
num_workers: 24
train_batches: 83
val_batches: 14
current_model_path: /dbfs/research/resnet101/cifar10/resnet101_cifar10_movement_pruning_0.97_bacp_pruning.pt

Epoch [1/5]: Avg Total Loss: 7.6397 | Avg PrC Loss: 3.5738 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 3.7009 | Avg CE Loss: 0.3650 | Model Sparsity: 0.4734
Retraining Epoch [1/10]: Avg Total Loss: 7.5111 | Avg PrC Loss: 3.5451 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 3.5904 | Avg CE Loss: 0.3757 | Model Sparsity: 0.4734
Retraining Epoch [2/10]: Avg Total Loss: 7.1314 | Avg PrC Loss: 3.5160 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 3.3681 | Avg CE Loss: 0.2473 | Model Sparsity: 0.4734
Retraining Epoch [3/10]: Avg Total Loss: 6.8827 | Avg PrC Loss: 3.5019 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 3.1781 | Avg CE Loss: 0.2027 | Model Sparsity: 0.4734
Retraining Epoch [4/10]: Avg Total Loss: 6.7597 | Avg PrC Loss: 3.4930 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 3.0978 | Avg CE Loss: 0.1689 | Model Sparsity: 0.4734
Retraining Epoch [5/10]: Avg Total Loss: 6.7020 | Avg PrC Loss: 3.4893 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 3.0665 | Avg CE Loss: 0.1462 | Model Sparsity: 0.4734
Retraining Epoch [6/10]: Avg Total Loss: 6.6703 | Avg PrC Loss: 3.4872 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 3.0492 | Avg CE Loss: 0.1339 | Model Sparsity: 0.4734
Retraining Epoch [7/10]: Avg Total Loss: 6.6369 | Avg PrC Loss: 3.4845 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 3.0308 | Avg CE Loss: 0.1217 | Model Sparsity: 0.4734
Retraining Epoch [8/10]: Avg Total Loss: 6.6127 | Avg PrC Loss: 3.4819 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 3.0159 | Avg CE Loss: 0.1148 | Model Sparsity: 0.4734
Retraining Epoch [9/10]: Avg Total Loss: 6.5847 | Avg PrC Loss: 3.4774 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 3.0019 | Avg CE Loss: 0.1055 | Model Sparsity: 0.4734
Retraining Epoch [10/10]: Avg Total Loss: 6.5705 | Avg PrC Loss: 3.4753 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.9938 | Avg CE Loss: 0.1014 | Model Sparsity: 0.4734
Epoch [2/5]: Avg Total Loss: 9.3043 | Avg PrC Loss: 3.5038 | Avg SnC Loss: 2.6852 | Avg FiC Loss: 2.9938 | Avg CE Loss: 0.1215 | Model Sparsity: 0.7605
Retraining Epoch [1/10]: Avg Total Loss: 9.3051 | Avg PrC Loss: 3.5021 | Avg SnC Loss: 2.6871 | Avg FiC Loss: 2.9926 | Avg CE Loss: 0.1233 | Model Sparsity: 0.7605
Retraining Epoch [2/10]: Avg Total Loss: 9.2314 | Avg PrC Loss: 3.4984 | Avg SnC Loss: 2.6600 | Avg FiC Loss: 2.9696 | Avg CE Loss: 0.1034 | Model Sparsity: 0.7605
Retraining Epoch [3/10]: Avg Total Loss: 9.2118 | Avg PrC Loss: 3.4971 | Avg SnC Loss: 2.6549 | Avg FiC Loss: 2.9623 | Avg CE Loss: 0.0975 | Model Sparsity: 0.7605
Retraining Epoch [4/10]: Avg Total Loss: 9.1904 | Avg PrC Loss: 3.4955 | Avg SnC Loss: 2.6487 | Avg FiC Loss: 2.9564 | Avg CE Loss: 0.0899 | Model Sparsity: 0.7605
Retraining Epoch [5/10]: Avg Total Loss: 9.1848 | Avg PrC Loss: 3.4950 | Avg SnC Loss: 2.6470 | Avg FiC Loss: 2.9533 | Avg CE Loss: 0.0895 | Model Sparsity: 0.7605
