Model : resnet101 - Learning Type: cifar10/bacp_pruning/wanda_pruning/0.97
Configuration:
model_name: resnet101
model_task: cifar10
model_type: cv
num_classes: 10
batch_size: 512
learning_rate: 0.1
optimizer_type: sgd
epochs: 5
recovery_epochs: 10
patience: 20
pruning_type: wanda_pruning
target_sparsity: 0.97
sparsity_scheduler: cubic
pruning_epochs: 5
n_views: 2
temperature: 0.15
base_temperature: 0.15
device: cuda
enable_mixed_precision: True
num_workers: 24
train_batches: 83
val_batches: 14
current_model_path: /dbfs/research/resnet101/cifar10/resnet101_cifar10_wanda_pruning_0.97_bacp_pruning.pt

Epoch [1/5]: Avg Total Loss: 7.4474 | Avg PrC Loss: 3.5323 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 3.5363 | Avg CE Loss: 0.3787 | Model Sparsity: 0.4734
Retraining Epoch [1/10]: Avg Total Loss: 6.7938 | Avg PrC Loss: 3.4683 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 3.1308 | Avg CE Loss: 0.1947 | Model Sparsity: 0.4734
Retraining Epoch [2/10]: Avg Total Loss: 6.6017 | Avg PrC Loss: 3.4512 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 3.0130 | Avg CE Loss: 0.1374 | Model Sparsity: 0.4734
Retraining Epoch [3/10]: Avg Total Loss: 6.5185 | Avg PrC Loss: 3.4386 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.9700 | Avg CE Loss: 0.1099 | Model Sparsity: 0.4734
Retraining Epoch [4/10]: Avg Total Loss: 6.4687 | Avg PrC Loss: 3.4330 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.9405 | Avg CE Loss: 0.0952 | Model Sparsity: 0.4734
Retraining Epoch [5/10]: Avg Total Loss: 6.4352 | Avg PrC Loss: 3.4271 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.9248 | Avg CE Loss: 0.0833 | Model Sparsity: 0.4734
Retraining Epoch [6/10]: Avg Total Loss: 6.4235 | Avg PrC Loss: 3.4250 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.9172 | Avg CE Loss: 0.0813 | Model Sparsity: 0.4734
Retraining Epoch [7/10]: Avg Total Loss: 6.4094 | Avg PrC Loss: 3.4214 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.9104 | Avg CE Loss: 0.0775 | Model Sparsity: 0.4734
Retraining Epoch [8/10]: Avg Total Loss: 6.3973 | Avg PrC Loss: 3.4199 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.9046 | Avg CE Loss: 0.0729 | Model Sparsity: 0.4734
Retraining Epoch [9/10]: Avg Total Loss: 6.3870 | Avg PrC Loss: 3.4187 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.8997 | Avg CE Loss: 0.0686 | Model Sparsity: 0.4734
Retraining Epoch [10/10]: Avg Total Loss: 6.3877 | Avg PrC Loss: 3.4194 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.8993 | Avg CE Loss: 0.0690 | Model Sparsity: 0.4734
Epoch [2/5]: Avg Total Loss: 9.0302 | Avg PrC Loss: 3.4515 | Avg SnC Loss: 2.5808 | Avg FiC Loss: 2.9086 | Avg CE Loss: 0.0893 | Model Sparsity: 0.7605
Retraining Epoch [1/10]: Avg Total Loss: 9.0344 | Avg PrC Loss: 3.4503 | Avg SnC Loss: 2.5837 | Avg FiC Loss: 2.9087 | Avg CE Loss: 0.0917 | Model Sparsity: 0.7605
Retraining Epoch [2/10]: Avg Total Loss: 9.0018 | Avg PrC Loss: 3.4491 | Avg SnC Loss: 2.5699 | Avg FiC Loss: 2.8984 | Avg CE Loss: 0.0843 | Model Sparsity: 0.7605
Retraining Epoch [3/10]: Avg Total Loss: 8.9895 | Avg PrC Loss: 3.4483 | Avg SnC Loss: 2.5655 | Avg FiC Loss: 2.8941 | Avg CE Loss: 0.0815 | Model Sparsity: 0.7605
Retraining Epoch [4/10]: Avg Total Loss: 8.9714 | Avg PrC Loss: 3.4461 | Avg SnC Loss: 2.5589 | Avg FiC Loss: 2.8887 | Avg CE Loss: 0.0778 | Model Sparsity: 0.7605
Retraining Epoch [5/10]: Avg Total Loss: 8.9677 | Avg PrC Loss: 3.4464 | Avg SnC Loss: 2.5578 | Avg FiC Loss: 2.8878 | Avg CE Loss: 0.0757 | Model Sparsity: 0.7605
Retraining Epoch [6/10]: Avg Total Loss: 8.9588 | Avg PrC Loss: 3.4456 | Avg SnC Loss: 2.5539 | Avg FiC Loss: 2.8859 | Avg CE Loss: 0.0734 | Model Sparsity: 0.7605
Retraining Epoch [7/10]: Avg Total Loss: 8.9472 | Avg PrC Loss: 3.4449 | Avg SnC Loss: 2.5493 | Avg FiC Loss: 2.8820 | Avg CE Loss: 0.0710 | Model Sparsity: 0.7605
Retraining Epoch [8/10]: Avg Total Loss: 8.9552 | Avg PrC Loss: 3.4451 | Avg SnC Loss: 2.5516 | Avg FiC Loss: 2.8854 | Avg CE Loss: 0.0732 | Model Sparsity: 0.7605
Retraining Epoch [9/10]: Avg Total Loss: 8.9542 | Avg PrC Loss: 3.4455 | Avg SnC Loss: 2.5528 | Avg FiC Loss: 2.8835 | Avg CE Loss: 0.0724 | Model Sparsity: 0.7605
Retraining Epoch [10/10]: Avg Total Loss: 8.9559 | Avg PrC Loss: 3.4441 | Avg SnC Loss: 2.5539 | Avg FiC Loss: 2.8838 | Avg CE Loss: 0.0741 | Model Sparsity: 0.7605
Epoch [3/5]: Avg Total Loss: 11.7622 | Avg PrC Loss: 3.4784 | Avg SnC Loss: 5.1725 | Avg FiC Loss: 2.9245 | Avg CE Loss: 0.1867 | Model Sparsity: 0.9079
Retraining Epoch [1/10]: Avg Total Loss: 11.6257 | Avg PrC Loss: 3.4735 | Avg SnC Loss: 5.1163 | Avg FiC Loss: 2.9031 | Avg CE Loss: 0.1329 | Model Sparsity: 0.9079
Retraining Epoch [2/10]: Avg Total Loss: 11.5692 | Avg PrC Loss: 3.4707 | Avg SnC Loss: 5.0873 | Avg FiC Loss: 2.8943 | Avg CE Loss: 0.1168 | Model Sparsity: 0.9079
Retraining Epoch [3/10]: Avg Total Loss: 11.5719 | Avg PrC Loss: 3.4711 | Avg SnC Loss: 5.0928 | Avg FiC Loss: 2.8961 | Avg CE Loss: 0.1120 | Model Sparsity: 0.9079
Retraining Epoch [4/10]: Avg Total Loss: 11.5416 | Avg PrC Loss: 3.4699 | Avg SnC Loss: 5.0773 | Avg FiC Loss: 2.8896 | Avg CE Loss: 0.1048 | Model Sparsity: 0.9079
Retraining Epoch [5/10]: Avg Total Loss: 11.5393 | Avg PrC Loss: 3.4698 | Avg SnC Loss: 5.0786 | Avg FiC Loss: 2.8878 | Avg CE Loss: 0.1032 | Model Sparsity: 0.9079
Retraining Epoch [6/10]: Avg Total Loss: 11.5248 | Avg PrC Loss: 3.4692 | Avg SnC Loss: 5.0700 | Avg FiC Loss: 2.8864 | Avg CE Loss: 0.0992 | Model Sparsity: 0.9079
Retraining Epoch [7/10]: Avg Total Loss: 11.5114 | Avg PrC Loss: 3.4686 | Avg SnC Loss: 5.0627 | Avg FiC Loss: 2.8847 | Avg CE Loss: 0.0954 | Model Sparsity: 0.9079
Retraining Epoch [8/10]: Avg Total Loss: 11.5113 | Avg PrC Loss: 3.4682 | Avg SnC Loss: 5.0639 | Avg FiC Loss: 2.8853 | Avg CE Loss: 0.0938 | Model Sparsity: 0.9079
Retraining Epoch [9/10]: Avg Total Loss: 11.5025 | Avg PrC Loss: 3.4683 | Avg SnC Loss: 5.0591 | Avg FiC Loss: 2.8824 | Avg CE Loss: 0.0927 | Model Sparsity: 0.9079
Retraining Epoch [10/10]: Avg Total Loss: 11.4954 | Avg PrC Loss: 3.4676 | Avg SnC Loss: 5.0551 | Avg FiC Loss: 2.8819 | Avg CE Loss: 0.0908 | Model Sparsity: 0.9079
Epoch [4/5]: Avg Total Loss: 14.1585 | Avg PrC Loss: 3.4927 | Avg SnC Loss: 7.6216 | Avg FiC Loss: 2.9093 | Avg CE Loss: 0.1350 | Model Sparsity: 0.9622
Retraining Epoch [1/10]: Avg Total Loss: 14.0934 | Avg PrC Loss: 3.4920 | Avg SnC Loss: 7.5774 | Avg FiC Loss: 2.8992 | Avg CE Loss: 0.1248 | Model Sparsity: 0.9622
Retraining Epoch [2/10]: Avg Total Loss: 14.0668 | Avg PrC Loss: 3.4900 | Avg SnC Loss: 7.5644 | Avg FiC Loss: 2.8941 | Avg CE Loss: 0.1182 | Model Sparsity: 0.9622
Retraining Epoch [3/10]: Avg Total Loss: 14.0229 | Avg PrC Loss: 3.4892 | Avg SnC Loss: 7.5345 | Avg FiC Loss: 2.8895 | Avg CE Loss: 0.1098 | Model Sparsity: 0.9622
Retraining Epoch [4/10]: Avg Total Loss: 14.0193 | Avg PrC Loss: 3.4890 | Avg SnC Loss: 7.5323 | Avg FiC Loss: 2.8899 | Avg CE Loss: 0.1081 | Model Sparsity: 0.9622
Retraining Epoch [5/10]: Avg Total Loss: 13.9935 | Avg PrC Loss: 3.4884 | Avg SnC Loss: 7.5161 | Avg FiC Loss: 2.8852 | Avg CE Loss: 0.1038 | Model Sparsity: 0.9622
Retraining Epoch [6/10]: Avg Total Loss: 13.9955 | Avg PrC Loss: 3.4884 | Avg SnC Loss: 7.5194 | Avg FiC Loss: 2.8845 | Avg CE Loss: 0.1032 | Model Sparsity: 0.9622
Retraining Epoch [7/10]: Avg Total Loss: 13.9755 | Avg PrC Loss: 3.4888 | Avg SnC Loss: 7.5039 | Avg FiC Loss: 2.8828 | Avg CE Loss: 0.0999 | Model Sparsity: 0.9622
Retraining Epoch [8/10]: Avg Total Loss: 13.9760 | Avg PrC Loss: 3.4887 | Avg SnC Loss: 7.5057 | Avg FiC Loss: 2.8824 | Avg CE Loss: 0.0993 | Model Sparsity: 0.9622
Retraining Epoch [9/10]: Avg Total Loss: 13.9689 | Avg PrC Loss: 3.4871 | Avg SnC Loss: 7.5033 | Avg FiC Loss: 2.8818 | Avg CE Loss: 0.0967 | Model Sparsity: 0.9622
Retraining Epoch [10/10]: Avg Total Loss: 13.9751 | Avg PrC Loss: 3.4881 | Avg SnC Loss: 7.5056 | Avg FiC Loss: 2.8824 | Avg CE Loss: 0.0991 | Model Sparsity: 0.9622
Epoch [5/5]: Avg Total Loss: 16.4743 | Avg PrC Loss: 3.5074 | Avg SnC Loss: 9.9696 | Avg FiC Loss: 2.8909 | Avg CE Loss: 0.1063 | Model Sparsity: 0.97
Retraining Epoch [1/10]: Avg Total Loss: 16.4591 | Avg PrC Loss: 3.5054 | Avg SnC Loss: 9.9621 | Avg FiC Loss: 2.8864 | Avg CE Loss: 0.1052 | Model Sparsity: 0.97
Retraining Epoch [2/10]: Avg Total Loss: 16.4617 | Avg PrC Loss: 3.5074 | Avg SnC Loss: 9.9599 | Avg FiC Loss: 2.8880 | Avg CE Loss: 0.1064 | Model Sparsity: 0.97
Retraining Epoch [3/10]: Avg Total Loss: 16.4338 | Avg PrC Loss: 3.5057 | Avg SnC Loss: 9.9403 | Avg FiC Loss: 2.8848 | Avg CE Loss: 0.1031 | Model Sparsity: 0.97
Retraining Epoch [4/10]: Avg Total Loss: 16.4318 | Avg PrC Loss: 3.5068 | Avg SnC Loss: 9.9372 | Avg FiC Loss: 2.8848 | Avg CE Loss: 0.1030 | Model Sparsity: 0.97
Retraining Epoch [5/10]: Avg Total Loss: 16.4250 | Avg PrC Loss: 3.5058 | Avg SnC Loss: 9.9326 | Avg FiC Loss: 2.8845 | Avg CE Loss: 0.1021 | Model Sparsity: 0.97
Retraining Epoch [6/10]: Avg Total Loss: 16.4174 | Avg PrC Loss: 3.5040 | Avg SnC Loss: 9.9296 | Avg FiC Loss: 2.8838 | Avg CE Loss: 0.1000 | Model Sparsity: 0.97
Retraining Epoch [7/10]: Avg Total Loss: 16.4027 | Avg PrC Loss: 3.5054 | Avg SnC Loss: 9.9175 | Avg FiC Loss: 2.8799 | Avg CE Loss: 0.0999 | Model Sparsity: 0.97
Retraining Epoch [8/10]: Avg Total Loss: 16.3840 | Avg PrC Loss: 3.5048 | Avg SnC Loss: 9.9023 | Avg FiC Loss: 2.8796 | Avg CE Loss: 0.0973 | Model Sparsity: 0.97
Retraining Epoch [9/10]: Avg Total Loss: 16.3998 | Avg PrC Loss: 3.5041 | Avg SnC Loss: 9.9167 | Avg FiC Loss: 2.8816 | Avg CE Loss: 0.0974 | Model Sparsity: 0.97
Retraining Epoch [10/10]: Avg Total Loss: 16.3984 | Avg PrC Loss: 3.5048 | Avg SnC Loss: 9.9150 | Avg FiC Loss: 2.8811 | Avg CE Loss: 0.0976 | Model Sparsity: 0.97
