Model : resnet101 - Learning Type: cifar10/pruning/wanda_pruning/0.97
Configuration:
model_type: cv
model_name: resnet101
model_task: cifar10
num_classes: 10
criterion: CrossEntropyLoss()
embedding_dim: 2048
epochs: 5
pruning_epochs: 5
recovery_epochs: 10
batch_size: 512
learning_rate: 0.01
learning_type: pruning
optimizer_type: sgd
prune: True
pruning_type: wanda_pruning
target_sparsity: 0.97
sparsity_scheduler: cubic
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/resnet101/cifar10/resnet101_cifar10_wanda_pruning_0.97_pruning.pt
finetuned_weights: /dbfs/research/resnet101/cifar10/resnet101_cifar10_baseline.pt

Epoch [1/5]: Avg Loss: 0.1155 | Avg Accuracy: 94.28 | Model Sparsity: 0.4734
Recovery epoch [1/10]: Avg Loss: 0.0889 | Avg Accuracy: 96.30 | Model Sparsity: 0.4734
Recovery epoch [2/10]: Avg Loss: 0.0701 | Avg Accuracy: 96.15 | Model Sparsity: 0.4734
Recovery epoch [3/10]: Avg Loss: 0.0577 | Avg Accuracy: 95.52 | Model Sparsity: 0.4734
Recovery epoch [4/10]: Avg Loss: 0.0545 | Avg Accuracy: 95.44 | Model Sparsity: 0.4734
Recovery epoch [5/10]: Avg Loss: 0.0482 | Avg Accuracy: 95.80 | Model Sparsity: 0.4734
Recovery epoch [6/10]: Avg Loss: 0.0467 | Avg Accuracy: 95.38 | Model Sparsity: 0.4734
Recovery epoch [7/10]: Avg Loss: 0.0393 | Avg Accuracy: 95.26 | Model Sparsity: 0.4734
Recovery epoch [8/10]: Avg Loss: 0.0381 | Avg Accuracy: 95.68 | Model Sparsity: 0.4734
Recovery epoch [9/10]: Avg Loss: 0.0319 | Avg Accuracy: 95.87 | Model Sparsity: 0.4734
Recovery epoch [10/10]: Avg Loss: 0.0312 | Avg Accuracy: 95.19 | Model Sparsity: 0.4734
Epoch [2/5]: Avg Loss: 0.1507 | Avg Accuracy: 92.17 | Model Sparsity: 0.7605
Recovery epoch [1/10]: Avg Loss: 0.0936 | Avg Accuracy: 92.34 | Model Sparsity: 0.7605
Recovery epoch [2/10]: Avg Loss: 0.0797 | Avg Accuracy: 92.65 | Model Sparsity: 0.7605
Recovery epoch [3/10]: Avg Loss: 0.0680 | Avg Accuracy: 92.72 | Model Sparsity: 0.7605
Recovery epoch [4/10]: Avg Loss: 0.0632 | Avg Accuracy: 92.66 | Model Sparsity: 0.7605
Recovery epoch [5/10]: Avg Loss: 0.0530 | Avg Accuracy: 92.94 | Model Sparsity: 0.7605
Recovery epoch [6/10]: Avg Loss: 0.0492 | Avg Accuracy: 93.39 | Model Sparsity: 0.7605
Recovery epoch [7/10]: Avg Loss: 0.0441 | Avg Accuracy: 93.58 | Model Sparsity: 0.7605
Recovery epoch [8/10]: Avg Loss: 0.0436 | Avg Accuracy: 93.07 | Model Sparsity: 0.7605
Recovery epoch [9/10]: Avg Loss: 0.0364 | Avg Accuracy: 92.86 | Model Sparsity: 0.7605
Recovery epoch [10/10]: Avg Loss: 0.0340 | Avg Accuracy: 93.12 | Model Sparsity: 0.7605
Epoch [3/5]: Avg Loss: 0.6719 | Avg Accuracy: 85.56 | Model Sparsity: 0.9079
Recovery epoch [1/10]: Avg Loss: 0.3121 | Avg Accuracy: 87.19 | Model Sparsity: 0.9079
Recovery epoch [2/10]: Avg Loss: 0.2544 | Avg Accuracy: 87.30 | Model Sparsity: 0.9079
Recovery epoch [3/10]: Avg Loss: 0.2181 | Avg Accuracy: 88.21 | Model Sparsity: 0.9079
Recovery epoch [4/10]: Avg Loss: 0.1945 | Avg Accuracy: 89.16 | Model Sparsity: 0.9079
Recovery epoch [5/10]: Avg Loss: 0.1693 | Avg Accuracy: 88.84 | Model Sparsity: 0.9079
Recovery epoch [6/10]: Avg Loss: 0.1560 | Avg Accuracy: 90.05 | Model Sparsity: 0.9079
Recovery epoch [7/10]: Avg Loss: 0.1413 | Avg Accuracy: 89.80 | Model Sparsity: 0.9079
Recovery epoch [8/10]: Avg Loss: 0.1337 | Avg Accuracy: 89.58 | Model Sparsity: 0.9079
Recovery epoch [9/10]: Avg Loss: 0.1245 | Avg Accuracy: 89.56 | Model Sparsity: 0.9079
Recovery epoch [10/10]: Avg Loss: 0.1154 | Avg Accuracy: 90.09 | Model Sparsity: 0.9079
Epoch [4/5]: Avg Loss: 0.4165 | Avg Accuracy: 86.29 | Model Sparsity: 0.9622
Recovery epoch [1/10]: Avg Loss: 0.2715 | Avg Accuracy: 86.58 | Model Sparsity: 0.9622
Recovery epoch [2/10]: Avg Loss: 0.2341 | Avg Accuracy: 87.44 | Model Sparsity: 0.9622
Recovery epoch [3/10]: Avg Loss: 0.2137 | Avg Accuracy: 88.50 | Model Sparsity: 0.9622
Recovery epoch [4/10]: Avg Loss: 0.2043 | Avg Accuracy: 89.20 | Model Sparsity: 0.9622
Recovery epoch [5/10]: Avg Loss: 0.1880 | Avg Accuracy: 88.56 | Model Sparsity: 0.9622
Recovery epoch [6/10]: Avg Loss: 0.1793 | Avg Accuracy: 89.19 | Model Sparsity: 0.9622
Recovery epoch [7/10]: Avg Loss: 0.1664 | Avg Accuracy: 89.16 | Model Sparsity: 0.9622
Recovery epoch [8/10]: Avg Loss: 0.1607 | Avg Accuracy: 89.08 | Model Sparsity: 0.9622
Recovery epoch [9/10]: Avg Loss: 0.1512 | Avg Accuracy: 89.12 | Model Sparsity: 0.9622
Recovery epoch [10/10]: Avg Loss: 0.1497 | Avg Accuracy: 89.47 | Model Sparsity: 0.9622
Epoch [5/5]: Avg Loss: 0.1678 | Avg Accuracy: 88.96 | Model Sparsity: 0.97
Recovery epoch [1/10]: Avg Loss: 0.1478 | Avg Accuracy: 89.10 | Model Sparsity: 0.97
Recovery epoch [2/10]: Avg Loss: 0.1376 | Avg Accuracy: 88.31 | Model Sparsity: 0.97
Recovery epoch [3/10]: Avg Loss: 0.1329 | Avg Accuracy: 89.40 | Model Sparsity: 0.97
Recovery epoch [4/10]: Avg Loss: 0.1282 | Avg Accuracy: 89.23 | Model Sparsity: 0.97
Recovery epoch [5/10]: Avg Loss: 0.1238 | Avg Accuracy: 88.99 | Model Sparsity: 0.97
Recovery epoch [6/10]: Avg Loss: 0.1195 | Avg Accuracy: 89.75 | Model Sparsity: 0.97
Recovery epoch [7/10]: Avg Loss: 0.1145 | Avg Accuracy: 88.43 | Model Sparsity: 0.97
Recovery epoch [8/10]: Avg Loss: 0.1100 | Avg Accuracy: 89.31 | Model Sparsity: 0.97
Recovery epoch [9/10]: Avg Loss: 0.1125 | Avg Accuracy: 88.63 | Model Sparsity: 0.97
Recovery epoch [10/10]: Avg Loss: 0.1033 | Avg Accuracy: 90.05 | Model Sparsity: 0.97
