Model : resnet50 - Learning Type: cifar10/bacp_pruning/snip_pruning/0.97
Configuration:
model_name: resnet50
model_task: cifar10
model_type: cv
num_classes: 10
batch_size: 512
learning_rate: 0.1
optimizer_type: sgd
epochs: 5
recovery_epochs: 10
patience: 20
pruning_type: snip_pruning
target_sparsity: 0.97
sparsity_scheduler: cubic
pruning_epochs: 5
n_views: 2
temperature: 0.15
base_temperature: 0.15
device: cuda
enable_mixed_precision: True
num_workers: 24
train_batches: 83
val_batches: 14
current_model_path: /dbfs/research/resnet50/cifar10/resnet50_cifar10_snip_pruning_0.97_bacp_pruning.pt

Epoch [1/5]: Avg Total Loss: 7.4823 | Avg PrC Loss: 3.5481 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 3.5530 | Avg CE Loss: 0.3812 | Model Sparsity: 0.4734
Retraining Epoch [1/10]: Avg Total Loss: 6.8129 | Avg PrC Loss: 3.4700 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 3.1396 | Avg CE Loss: 0.2033 | Model Sparsity: 0.4734
Retraining Epoch [2/10]: Avg Total Loss: 6.5875 | Avg PrC Loss: 3.4515 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.9864 | Avg CE Loss: 0.1496 | Model Sparsity: 0.4734
Retraining Epoch [3/10]: Avg Total Loss: 6.5024 | Avg PrC Loss: 3.4402 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.9448 | Avg CE Loss: 0.1174 | Model Sparsity: 0.4734
Retraining Epoch [4/10]: Avg Total Loss: 6.4497 | Avg PrC Loss: 3.4312 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.9152 | Avg CE Loss: 0.1033 | Model Sparsity: 0.4734
Retraining Epoch [5/10]: Avg Total Loss: 6.4119 | Avg PrC Loss: 3.4247 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.8958 | Avg CE Loss: 0.0914 | Model Sparsity: 0.4734
Retraining Epoch [6/10]: Avg Total Loss: 6.3879 | Avg PrC Loss: 3.4205 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.8821 | Avg CE Loss: 0.0852 | Model Sparsity: 0.4734
Retraining Epoch [7/10]: Avg Total Loss: 6.3755 | Avg PrC Loss: 3.4183 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.8765 | Avg CE Loss: 0.0808 | Model Sparsity: 0.4734
Retraining Epoch [8/10]: Avg Total Loss: 6.3612 | Avg PrC Loss: 3.4156 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.8694 | Avg CE Loss: 0.0761 | Model Sparsity: 0.4734
Retraining Epoch [9/10]: Avg Total Loss: 6.3564 | Avg PrC Loss: 3.4138 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.8669 | Avg CE Loss: 0.0758 | Model Sparsity: 0.4734
Retraining Epoch [10/10]: Avg Total Loss: 6.3463 | Avg PrC Loss: 3.4123 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.8606 | Avg CE Loss: 0.0735 | Model Sparsity: 0.4734
Epoch [2/5]: Avg Total Loss: 9.0217 | Avg PrC Loss: 3.4451 | Avg SnC Loss: 2.5993 | Avg FiC Loss: 2.8774 | Avg CE Loss: 0.0999 | Model Sparsity: 0.7605
Retraining Epoch [1/10]: Avg Total Loss: 9.0151 | Avg PrC Loss: 3.4428 | Avg SnC Loss: 2.5985 | Avg FiC Loss: 2.8752 | Avg CE Loss: 0.0986 | Model Sparsity: 0.7605
Retraining Epoch [2/10]: Avg Total Loss: 8.9764 | Avg PrC Loss: 3.4416 | Avg SnC Loss: 2.5835 | Avg FiC Loss: 2.8617 | Avg CE Loss: 0.0897 | Model Sparsity: 0.7605
Retraining Epoch [3/10]: Avg Total Loss: 8.9497 | Avg PrC Loss: 3.4382 | Avg SnC Loss: 2.5731 | Avg FiC Loss: 2.8557 | Avg CE Loss: 0.0826 | Model Sparsity: 0.7605
Retraining Epoch [4/10]: Avg Total Loss: 8.9515 | Avg PrC Loss: 3.4386 | Avg SnC Loss: 2.5745 | Avg FiC Loss: 2.8556 | Avg CE Loss: 0.0828 | Model Sparsity: 0.7605
Retraining Epoch [5/10]: Avg Total Loss: 8.9459 | Avg PrC Loss: 3.4381 | Avg SnC Loss: 2.5734 | Avg FiC Loss: 2.8543 | Avg CE Loss: 0.0801 | Model Sparsity: 0.7605
Retraining Epoch [6/10]: Avg Total Loss: 8.9383 | Avg PrC Loss: 3.4364 | Avg SnC Loss: 2.5705 | Avg FiC Loss: 2.8514 | Avg CE Loss: 0.0799 | Model Sparsity: 0.7605
Retraining Epoch [7/10]: Avg Total Loss: 8.9220 | Avg PrC Loss: 3.4355 | Avg SnC Loss: 2.5643 | Avg FiC Loss: 2.8464 | Avg CE Loss: 0.0758 | Model Sparsity: 0.7605
Retraining Epoch [8/10]: Avg Total Loss: 8.9159 | Avg PrC Loss: 3.4349 | Avg SnC Loss: 2.5628 | Avg FiC Loss: 2.8440 | Avg CE Loss: 0.0742 | Model Sparsity: 0.7605
Retraining Epoch [9/10]: Avg Total Loss: 8.9169 | Avg PrC Loss: 3.4353 | Avg SnC Loss: 2.5630 | Avg FiC Loss: 2.8437 | Avg CE Loss: 0.0748 | Model Sparsity: 0.7605
Retraining Epoch [10/10]: Avg Total Loss: 8.9215 | Avg PrC Loss: 3.4352 | Avg SnC Loss: 2.5647 | Avg FiC Loss: 2.8455 | Avg CE Loss: 0.0760 | Model Sparsity: 0.7605
Epoch [3/5]: Avg Total Loss: 11.5994 | Avg PrC Loss: 3.4634 | Avg SnC Loss: 5.1427 | Avg FiC Loss: 2.8742 | Avg CE Loss: 0.1190 | Model Sparsity: 0.9079
Retraining Epoch [1/10]: Avg Total Loss: 11.5538 | Avg PrC Loss: 3.4622 | Avg SnC Loss: 5.1192 | Avg FiC Loss: 2.8657 | Avg CE Loss: 0.1068 | Model Sparsity: 0.9079
Retraining Epoch [2/10]: Avg Total Loss: 11.5430 | Avg PrC Loss: 3.4608 | Avg SnC Loss: 5.1153 | Avg FiC Loss: 2.8633 | Avg CE Loss: 0.1036 | Model Sparsity: 0.9079
Retraining Epoch [3/10]: Avg Total Loss: 11.4976 | Avg PrC Loss: 3.4589 | Avg SnC Loss: 5.0899 | Avg FiC Loss: 2.8541 | Avg CE Loss: 0.0948 | Model Sparsity: 0.9079
Retraining Epoch [4/10]: Avg Total Loss: 11.4771 | Avg PrC Loss: 3.4579 | Avg SnC Loss: 5.0795 | Avg FiC Loss: 2.8488 | Avg CE Loss: 0.0910 | Model Sparsity: 0.9079
Retraining Epoch [5/10]: Avg Total Loss: 11.4683 | Avg PrC Loss: 3.4573 | Avg SnC Loss: 5.0744 | Avg FiC Loss: 2.8486 | Avg CE Loss: 0.0880 | Model Sparsity: 0.9079
Retraining Epoch [6/10]: Avg Total Loss: 11.4545 | Avg PrC Loss: 3.4572 | Avg SnC Loss: 5.0679 | Avg FiC Loss: 2.8430 | Avg CE Loss: 0.0864 | Model Sparsity: 0.9079
Retraining Epoch [7/10]: Avg Total Loss: 11.4562 | Avg PrC Loss: 3.4566 | Avg SnC Loss: 5.0684 | Avg FiC Loss: 2.8451 | Avg CE Loss: 0.0861 | Model Sparsity: 0.9079
Retraining Epoch [8/10]: Avg Total Loss: 11.4486 | Avg PrC Loss: 3.4575 | Avg SnC Loss: 5.0627 | Avg FiC Loss: 2.8432 | Avg CE Loss: 0.0851 | Model Sparsity: 0.9079
Retraining Epoch [9/10]: Avg Total Loss: 11.4447 | Avg PrC Loss: 3.4561 | Avg SnC Loss: 5.0616 | Avg FiC Loss: 2.8436 | Avg CE Loss: 0.0833 | Model Sparsity: 0.9079
Retraining Epoch [10/10]: Avg Total Loss: 11.4398 | Avg PrC Loss: 3.4558 | Avg SnC Loss: 5.0591 | Avg FiC Loss: 2.8420 | Avg CE Loss: 0.0830 | Model Sparsity: 0.9079
Epoch [4/5]: Avg Total Loss: 14.1961 | Avg PrC Loss: 3.4814 | Avg SnC Loss: 7.6876 | Avg FiC Loss: 2.8784 | Avg CE Loss: 0.1487 | Model Sparsity: 0.9622
Retraining Epoch [1/10]: Avg Total Loss: 14.1515 | Avg PrC Loss: 3.4803 | Avg SnC Loss: 7.6659 | Avg FiC Loss: 2.8733 | Avg CE Loss: 0.1320 | Model Sparsity: 0.9622
Retraining Epoch [2/10]: Avg Total Loss: 14.0687 | Avg PrC Loss: 3.4767 | Avg SnC Loss: 7.6127 | Avg FiC Loss: 2.8624 | Avg CE Loss: 0.1170 | Model Sparsity: 0.9622
Retraining Epoch [3/10]: Avg Total Loss: 14.0491 | Avg PrC Loss: 3.4767 | Avg SnC Loss: 7.6017 | Avg FiC Loss: 2.8582 | Avg CE Loss: 0.1125 | Model Sparsity: 0.9622
Retraining Epoch [4/10]: Avg Total Loss: 13.9958 | Avg PrC Loss: 3.4746 | Avg SnC Loss: 7.5677 | Avg FiC Loss: 2.8492 | Avg CE Loss: 0.1044 | Model Sparsity: 0.9622
Retraining Epoch [5/10]: Avg Total Loss: 14.0064 | Avg PrC Loss: 3.4757 | Avg SnC Loss: 7.5754 | Avg FiC Loss: 2.8522 | Avg CE Loss: 0.1031 | Model Sparsity: 0.9622
Retraining Epoch [6/10]: Avg Total Loss: 14.0062 | Avg PrC Loss: 3.4747 | Avg SnC Loss: 7.5764 | Avg FiC Loss: 2.8525 | Avg CE Loss: 0.1026 | Model Sparsity: 0.9622
Retraining Epoch [7/10]: Avg Total Loss: 13.9883 | Avg PrC Loss: 3.4751 | Avg SnC Loss: 7.5637 | Avg FiC Loss: 2.8496 | Avg CE Loss: 0.1000 | Model Sparsity: 0.9622
Retraining Epoch [8/10]: Avg Total Loss: 13.9688 | Avg PrC Loss: 3.4731 | Avg SnC Loss: 7.5525 | Avg FiC Loss: 2.8467 | Avg CE Loss: 0.0966 | Model Sparsity: 0.9622
Retraining Epoch [9/10]: Avg Total Loss: 13.9645 | Avg PrC Loss: 3.4737 | Avg SnC Loss: 7.5497 | Avg FiC Loss: 2.8447 | Avg CE Loss: 0.0963 | Model Sparsity: 0.9622
Retraining Epoch [10/10]: Avg Total Loss: 13.9841 | Avg PrC Loss: 3.4735 | Avg SnC Loss: 7.5636 | Avg FiC Loss: 2.8482 | Avg CE Loss: 0.0988 | Model Sparsity: 0.9622
Epoch [5/5]: Avg Total Loss: 16.5352 | Avg PrC Loss: 3.4916 | Avg SnC Loss: 10.0672 | Avg FiC Loss: 2.8603 | Avg CE Loss: 0.1161 | Model Sparsity: 0.97
Retraining Epoch [1/10]: Avg Total Loss: 16.5376 | Avg PrC Loss: 3.4917 | Avg SnC Loss: 10.0705 | Avg FiC Loss: 2.8607 | Avg CE Loss: 0.1148 | Model Sparsity: 0.97
Retraining Epoch [2/10]: Avg Total Loss: 16.5084 | Avg PrC Loss: 3.4911 | Avg SnC Loss: 10.0501 | Avg FiC Loss: 2.8568 | Avg CE Loss: 0.1104 | Model Sparsity: 0.97
Retraining Epoch [3/10]: Avg Total Loss: 16.4799 | Avg PrC Loss: 3.4902 | Avg SnC Loss: 10.0288 | Avg FiC Loss: 2.8527 | Avg CE Loss: 0.1082 | Model Sparsity: 0.97
Retraining Epoch [4/10]: Avg Total Loss: 16.4744 | Avg PrC Loss: 3.4899 | Avg SnC Loss: 10.0254 | Avg FiC Loss: 2.8537 | Avg CE Loss: 0.1054 | Model Sparsity: 0.97
Retraining Epoch [5/10]: Avg Total Loss: 16.4458 | Avg PrC Loss: 3.4886 | Avg SnC Loss: 10.0058 | Avg FiC Loss: 2.8489 | Avg CE Loss: 0.1026 | Model Sparsity: 0.97
Retraining Epoch [6/10]: Avg Total Loss: 16.4368 | Avg PrC Loss: 3.4890 | Avg SnC Loss: 9.9989 | Avg FiC Loss: 2.8480 | Avg CE Loss: 0.1008 | Model Sparsity: 0.97
Retraining Epoch [7/10]: Avg Total Loss: 16.4475 | Avg PrC Loss: 3.4890 | Avg SnC Loss: 10.0075 | Avg FiC Loss: 2.8497 | Avg CE Loss: 0.1013 | Model Sparsity: 0.97
Retraining Epoch [8/10]: Avg Total Loss: 16.4213 | Avg PrC Loss: 3.4886 | Avg SnC Loss: 9.9883 | Avg FiC Loss: 2.8461 | Avg CE Loss: 0.0982 | Model Sparsity: 0.97
Retraining Epoch [9/10]: Avg Total Loss: 16.4260 | Avg PrC Loss: 3.4884 | Avg SnC Loss: 9.9932 | Avg FiC Loss: 2.8467 | Avg CE Loss: 0.0976 | Model Sparsity: 0.97
Retraining Epoch [10/10]: Avg Total Loss: 16.4079 | Avg PrC Loss: 3.4884 | Avg SnC Loss: 9.9809 | Avg FiC Loss: 2.8435 | Avg CE Loss: 0.0951 | Model Sparsity: 0.97
