Model : resnet50 - Learning Type: cifar100/bacp_finetune/wanda_pruning/0.99
Configuration:
model_type: cv
model_name: resnet50
model_task: cifar100
num_classes: 100
criterion: CrossEntropyLoss()
embedding_dim: 2048
epochs: 50
pruning_epochs: 50
recovery_epochs: 10
batch_size: 512
learning_rate: 0.0001
learning_type: bacp_finetune
optimizer_type: adamw
prune: False
pruning_type: wanda_pruning
target_sparsity: 0.99
sparsity_scheduler: linear
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/resnet50/cifar100/resnet50_cifar100_wanda_pruning_0.99_bacp_finetune.pt
finetuned_weights: /dbfs/research/resnet50/cifar100/resnet50_cifar100_wanda_pruning_0.99_bacp_pruning.pt

Epoch [1/50]: Avg Loss: 4.4128 | Avg Accuracy: 16.29 | Model Sparsity: 0.99
Epoch [2/50]: Avg Loss: 3.9404 | Avg Accuracy: 23.69 | Model Sparsity: 0.99
Epoch [3/50]: Avg Loss: 3.5076 | Avg Accuracy: 29.41 | Model Sparsity: 0.99
Epoch [4/50]: Avg Loss: 3.1608 | Avg Accuracy: 33.50 | Model Sparsity: 0.99
Epoch [5/50]: Avg Loss: 2.8846 | Avg Accuracy: 36.02 | Model Sparsity: 0.99
Epoch [6/50]: Avg Loss: 2.6709 | Avg Accuracy: 38.88 | Model Sparsity: 0.99
Epoch [7/50]: Avg Loss: 2.5012 | Avg Accuracy: 40.79 | Model Sparsity: 0.99
Epoch [8/50]: Avg Loss: 2.3614 | Avg Accuracy: 41.64 | Model Sparsity: 0.99
Epoch [9/50]: Avg Loss: 2.2493 | Avg Accuracy: 43.82 | Model Sparsity: 0.99
Epoch [10/50]: Avg Loss: 2.1527 | Avg Accuracy: 44.66 | Model Sparsity: 0.99
Epoch [11/50]: Avg Loss: 2.0766 | Avg Accuracy: 46.40 | Model Sparsity: 0.99
Epoch [12/50]: Avg Loss: 2.0072 | Avg Accuracy: 46.50 | Model Sparsity: 0.99
Epoch [13/50]: Avg Loss: 1.9497 | Avg Accuracy: 47.29 | Model Sparsity: 0.99
Epoch [14/50]: Avg Loss: 1.8993 | Avg Accuracy: 48.40 | Model Sparsity: 0.99
Epoch [15/50]: Avg Loss: 1.8591 | Avg Accuracy: 48.30 | Model Sparsity: 0.99
Epoch [16/50]: Avg Loss: 1.8158 | Avg Accuracy: 49.26 | Model Sparsity: 0.99
Epoch [17/50]: Avg Loss: 1.7791 | Avg Accuracy: 49.83 | Model Sparsity: 0.99
Epoch [18/50]: Avg Loss: 1.7475 | Avg Accuracy: 50.11 | Model Sparsity: 0.99
Epoch [19/50]: Avg Loss: 1.7178 | Avg Accuracy: 51.23 | Model Sparsity: 0.99
Epoch [20/50]: Avg Loss: 1.6844 | Avg Accuracy: 52.16 | Model Sparsity: 0.99
Epoch [21/50]: Avg Loss: 1.6638 | Avg Accuracy: 52.37 | Model Sparsity: 0.99
Epoch [22/50]: Avg Loss: 1.6390 | Avg Accuracy: 51.94 | Model Sparsity: 0.99
Epoch [23/50]: Avg Loss: 1.6155 | Avg Accuracy: 53.11 | Model Sparsity: 0.99
Epoch [24/50]: Avg Loss: 1.5960 | Avg Accuracy: 52.87 | Model Sparsity: 0.99
Epoch [25/50]: Avg Loss: 1.5772 | Avg Accuracy: 53.28 | Model Sparsity: 0.99
Epoch [26/50]: Avg Loss: 1.5574 | Avg Accuracy: 53.49 | Model Sparsity: 0.99
Epoch [27/50]: Avg Loss: 1.5403 | Avg Accuracy: 53.63 | Model Sparsity: 0.99
Epoch [28/50]: Avg Loss: 1.5287 | Avg Accuracy: 53.78 | Model Sparsity: 0.99
Epoch [29/50]: Avg Loss: 1.5074 | Avg Accuracy: 54.20 | Model Sparsity: 0.99
Epoch [30/50]: Avg Loss: 1.4967 | Avg Accuracy: 54.27 | Model Sparsity: 0.99
Epoch [31/50]: Avg Loss: 1.4783 | Avg Accuracy: 54.45 | Model Sparsity: 0.99
Epoch [32/50]: Avg Loss: 1.4630 | Avg Accuracy: 54.34 | Model Sparsity: 0.99
Epoch [33/50]: Avg Loss: 1.4536 | Avg Accuracy: 54.63 | Model Sparsity: 0.99
Epoch [34/50]: Avg Loss: 1.4442 | Avg Accuracy: 54.79 | Model Sparsity: 0.99
Epoch [35/50]: Avg Loss: 1.4315 | Avg Accuracy: 54.74 | Model Sparsity: 0.99
Epoch [36/50]: Avg Loss: 1.4161 | Avg Accuracy: 55.36 | Model Sparsity: 0.99
Epoch [37/50]: Avg Loss: 1.4062 | Avg Accuracy: 55.68 | Model Sparsity: 0.99
Epoch [38/50]: Avg Loss: 1.3881 | Avg Accuracy: 55.82 | Model Sparsity: 0.99
Epoch [39/50]: Avg Loss: 1.3905 | Avg Accuracy: 55.94 | Model Sparsity: 0.99
Epoch [40/50]: Avg Loss: 1.3778 | Avg Accuracy: 55.83 | Model Sparsity: 0.99
Epoch [41/50]: Avg Loss: 1.3618 | Avg Accuracy: 55.76 | Model Sparsity: 0.99
Epoch [42/50]: Avg Loss: 1.3548 | Avg Accuracy: 56.31 | Model Sparsity: 0.99
