Model : resnet50 - Learning Type: cifar100/pruning/snip_pruning/0.99
Configuration:
model_type: cv
model_name: resnet50
model_task: cifar100
num_classes: 100
criterion: CrossEntropyLoss()
embedding_dim: 2048
epochs: 5
pruning_epochs: 5
recovery_epochs: 10
batch_size: 512
learning_rate: 0.01
learning_type: pruning
optimizer_type: sgd
prune: True
pruning_type: snip_pruning
target_sparsity: 0.99
sparsity_scheduler: cubic
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/resnet50/cifar100/resnet50_cifar100_snip_pruning_0.99_pruning.pt
finetuned_weights: /dbfs/research/resnet50/cifar100/resnet50_cifar100_baseline.pt

Epoch [1/5]: Avg Loss: 0.3353 | Avg Accuracy: 87.33 | Model Sparsity: 0.4831
Recovery epoch [1/10]: Avg Loss: 0.2833 | Avg Accuracy: 85.62 | Model Sparsity: 0.4831
Recovery epoch [2/10]: Avg Loss: 0.2283 | Avg Accuracy: 86.83 | Model Sparsity: 0.4831
Recovery epoch [3/10]: Avg Loss: 0.1893 | Avg Accuracy: 85.64 | Model Sparsity: 0.4831
Recovery epoch [4/10]: Avg Loss: 0.1554 | Avg Accuracy: 84.15 | Model Sparsity: 0.4831
Recovery epoch [5/10]: Avg Loss: 0.1413 | Avg Accuracy: 85.37 | Model Sparsity: 0.4831
Recovery epoch [6/10]: Avg Loss: 0.1296 | Avg Accuracy: 85.07 | Model Sparsity: 0.4831
Recovery epoch [7/10]: Avg Loss: 0.1119 | Avg Accuracy: 85.09 | Model Sparsity: 0.4831
Recovery epoch [8/10]: Avg Loss: 0.1016 | Avg Accuracy: 85.48 | Model Sparsity: 0.4831
Recovery epoch [9/10]: Avg Loss: 0.0884 | Avg Accuracy: 85.88 | Model Sparsity: 0.4831
Recovery epoch [10/10]: Avg Loss: 0.0858 | Avg Accuracy: 85.38 | Model Sparsity: 0.4831
Epoch [2/5]: Avg Loss: 0.5881 | Avg Accuracy: 75.36 | Model Sparsity: 0.7762
Recovery epoch [1/10]: Avg Loss: 0.3513 | Avg Accuracy: 74.47 | Model Sparsity: 0.7762
Recovery epoch [2/10]: Avg Loss: 0.2732 | Avg Accuracy: 76.17 | Model Sparsity: 0.7762
Recovery epoch [3/10]: Avg Loss: 0.2265 | Avg Accuracy: 76.38 | Model Sparsity: 0.7762
Recovery epoch [4/10]: Avg Loss: 0.2034 | Avg Accuracy: 76.59 | Model Sparsity: 0.7762
Recovery epoch [5/10]: Avg Loss: 0.1776 | Avg Accuracy: 75.57 | Model Sparsity: 0.7762
Recovery epoch [6/10]: Avg Loss: 0.1638 | Avg Accuracy: 76.00 | Model Sparsity: 0.7762
Recovery epoch [7/10]: Avg Loss: 0.1451 | Avg Accuracy: 76.28 | Model Sparsity: 0.7762
Recovery epoch [8/10]: Avg Loss: 0.1276 | Avg Accuracy: 75.84 | Model Sparsity: 0.7762
Recovery epoch [9/10]: Avg Loss: 0.1171 | Avg Accuracy: 76.37 | Model Sparsity: 0.7762
Recovery epoch [10/10]: Avg Loss: 0.1121 | Avg Accuracy: 76.97 | Model Sparsity: 0.7762
Epoch [3/5]: Avg Loss: 1.3307 | Avg Accuracy: 62.95 | Model Sparsity: 0.9266
Recovery epoch [1/10]: Avg Loss: 0.8290 | Avg Accuracy: 64.87 | Model Sparsity: 0.9266
Recovery epoch [2/10]: Avg Loss: 0.6889 | Avg Accuracy: 66.28 | Model Sparsity: 0.9266
Recovery epoch [3/10]: Avg Loss: 0.5942 | Avg Accuracy: 67.40 | Model Sparsity: 0.9266
Recovery epoch [4/10]: Avg Loss: 0.5217 | Avg Accuracy: 69.06 | Model Sparsity: 0.9266
Recovery epoch [5/10]: Avg Loss: 0.4727 | Avg Accuracy: 67.42 | Model Sparsity: 0.9266
Recovery epoch [6/10]: Avg Loss: 0.4374 | Avg Accuracy: 66.85 | Model Sparsity: 0.9266
