Model : vgg11 - Learning Type: cifar10/bacp_finetune/snip_pruning/0.99
Configuration:
model_type: cv
model_name: vgg11
model_task: cifar10
num_classes: 10
criterion: CrossEntropyLoss()
embedding_dim: 4096
epochs: 50
pruning_epochs: 50
recovery_epochs: 10
batch_size: 512
learning_rate: 0.0001
learning_type: bacp_finetune
optimizer_type: adamw
prune: False
pruning_type: snip_pruning
target_sparsity: 0.99
sparsity_scheduler: linear
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/vgg11/cifar10/vgg11_cifar10_snip_pruning_0.99_bacp_finetune.pt
finetuned_weights: /dbfs/research/vgg11/cifar10/vgg11_cifar10_snip_pruning_0.99_bacp_pruning.pt

Epoch [1/50]: Avg Loss: 0.7732 | Avg Accuracy: 86.62 | Model Sparsity: 0.99
Epoch [2/50]: Avg Loss: 0.4320 | Avg Accuracy: 87.75 | Model Sparsity: 0.99
Epoch [3/50]: Avg Loss: 0.3940 | Avg Accuracy: 88.63 | Model Sparsity: 0.99
Epoch [4/50]: Avg Loss: 0.3624 | Avg Accuracy: 88.09 | Model Sparsity: 0.99
Epoch [5/50]: Avg Loss: 0.3454 | Avg Accuracy: 88.90 | Model Sparsity: 0.99
Epoch [6/50]: Avg Loss: 0.3334 | Avg Accuracy: 88.92 | Model Sparsity: 0.99
Epoch [7/50]: Avg Loss: 0.3208 | Avg Accuracy: 89.09 | Model Sparsity: 0.99
Epoch [8/50]: Avg Loss: 0.3061 | Avg Accuracy: 89.16 | Model Sparsity: 0.99
Epoch [9/50]: Avg Loss: 0.3009 | Avg Accuracy: 89.40 | Model Sparsity: 0.99
Epoch [10/50]: Avg Loss: 0.2880 | Avg Accuracy: 89.49 | Model Sparsity: 0.99
Epoch [11/50]: Avg Loss: 0.2805 | Avg Accuracy: 90.03 | Model Sparsity: 0.99
Epoch [12/50]: Avg Loss: 0.2771 | Avg Accuracy: 89.49 | Model Sparsity: 0.99
Epoch [13/50]: Avg Loss: 0.2664 | Avg Accuracy: 89.87 | Model Sparsity: 0.99
Epoch [14/50]: Avg Loss: 0.2566 | Avg Accuracy: 90.03 | Model Sparsity: 0.99
Epoch [15/50]: Avg Loss: 0.2510 | Avg Accuracy: 89.93 | Model Sparsity: 0.99
Epoch [16/50]: Avg Loss: 0.2458 | Avg Accuracy: 90.08 | Model Sparsity: 0.99
Epoch [17/50]: Avg Loss: 0.2385 | Avg Accuracy: 90.00 | Model Sparsity: 0.99
Epoch [18/50]: Avg Loss: 0.2367 | Avg Accuracy: 90.19 | Model Sparsity: 0.99
Epoch [19/50]: Avg Loss: 0.2288 | Avg Accuracy: 90.15 | Model Sparsity: 0.99
Epoch [20/50]: Avg Loss: 0.2216 | Avg Accuracy: 89.55 | Model Sparsity: 0.99
Epoch [21/50]: Avg Loss: 0.2187 | Avg Accuracy: 89.84 | Model Sparsity: 0.99
