Model : vgg11 - Learning Type: cifar10/bacp_finetune/wanda_pruning/0.95
Configuration:
model_type: cv
model_name: vgg11
model_task: cifar10
num_classes: 10
criterion: CrossEntropyLoss()
embedding_dim: 4096
epochs: 50
pruning_epochs: 50
recovery_epochs: 10
batch_size: 512
learning_rate: 0.0001
learning_type: bacp_finetune
optimizer_type: adamw
prune: False
pruning_type: wanda_pruning
target_sparsity: 0.95
sparsity_scheduler: linear
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/vgg11/cifar10/vgg11_cifar10_wanda_pruning_0.95_bacp_finetune.pt
finetuned_weights: /dbfs/research/vgg11/cifar10/vgg11_cifar10_wanda_pruning_0.95_bacp_pruning.pt

Epoch [1/50]: Avg Loss: 0.5307 | Avg Accuracy: 88.43 | Model Sparsity: 0.95
Epoch [2/50]: Avg Loss: 0.3487 | Avg Accuracy: 89.33 | Model Sparsity: 0.95
Epoch [3/50]: Avg Loss: 0.3169 | Avg Accuracy: 89.51 | Model Sparsity: 0.95
Epoch [4/50]: Avg Loss: 0.2988 | Avg Accuracy: 90.04 | Model Sparsity: 0.95
Epoch [5/50]: Avg Loss: 0.2878 | Avg Accuracy: 89.89 | Model Sparsity: 0.95
Epoch [6/50]: Avg Loss: 0.2714 | Avg Accuracy: 90.43 | Model Sparsity: 0.95
Epoch [7/50]: Avg Loss: 0.2708 | Avg Accuracy: 90.85 | Model Sparsity: 0.95
Epoch [8/50]: Avg Loss: 0.2521 | Avg Accuracy: 90.05 | Model Sparsity: 0.95
Epoch [9/50]: Avg Loss: 0.2475 | Avg Accuracy: 90.36 | Model Sparsity: 0.95
Epoch [10/50]: Avg Loss: 0.2441 | Avg Accuracy: 90.75 | Model Sparsity: 0.95
Epoch [11/50]: Avg Loss: 0.2326 | Avg Accuracy: 90.28 | Model Sparsity: 0.95
Epoch [12/50]: Avg Loss: 0.2269 | Avg Accuracy: 90.81 | Model Sparsity: 0.95
Epoch [13/50]: Avg Loss: 0.2225 | Avg Accuracy: 90.95 | Model Sparsity: 0.95
Epoch [14/50]: Avg Loss: 0.2141 | Avg Accuracy: 90.79 | Model Sparsity: 0.95
Epoch [15/50]: Avg Loss: 0.2136 | Avg Accuracy: 91.09 | Model Sparsity: 0.95
Epoch [16/50]: Avg Loss: 0.2060 | Avg Accuracy: 91.82 | Model Sparsity: 0.95
Epoch [17/50]: Avg Loss: 0.2013 | Avg Accuracy: 90.69 | Model Sparsity: 0.95
Epoch [18/50]: Avg Loss: 0.1991 | Avg Accuracy: 91.43 | Model Sparsity: 0.95
Epoch [19/50]: Avg Loss: 0.1954 | Avg Accuracy: 91.35 | Model Sparsity: 0.95
Epoch [20/50]: Avg Loss: 0.1887 | Avg Accuracy: 90.75 | Model Sparsity: 0.95
Epoch [21/50]: Avg Loss: 0.1821 | Avg Accuracy: 91.55 | Model Sparsity: 0.95
Epoch [22/50]: Avg Loss: 0.1842 | Avg Accuracy: 90.86 | Model Sparsity: 0.95
Epoch [23/50]: Avg Loss: 0.1754 | Avg Accuracy: 91.20 | Model Sparsity: 0.95
Epoch [24/50]: Avg Loss: 0.1747 | Avg Accuracy: 91.69 | Model Sparsity: 0.95
Epoch [25/50]: Avg Loss: 0.1690 | Avg Accuracy: 91.55 | Model Sparsity: 0.95
Epoch [26/50]: Avg Loss: 0.1703 | Avg Accuracy: 91.11 | Model Sparsity: 0.95
Epoch [27/50]: Avg Loss: 0.1629 | Avg Accuracy: 91.34 | Model Sparsity: 0.95
Epoch [28/50]: Avg Loss: 0.1566 | Avg Accuracy: 91.27 | Model Sparsity: 0.95
Epoch [29/50]: Avg Loss: 0.1596 | Avg Accuracy: 91.34 | Model Sparsity: 0.95
Epoch [30/50]: Avg Loss: 0.1554 | Avg Accuracy: 91.60 | Model Sparsity: 0.95
Epoch [31/50]: Avg Loss: 0.1496 | Avg Accuracy: 91.41 | Model Sparsity: 0.95
Epoch [32/50]: Avg Loss: 0.1491 | Avg Accuracy: 91.17 | Model Sparsity: 0.95
Epoch [33/50]: Avg Loss: 0.1445 | Avg Accuracy: 91.46 | Model Sparsity: 0.95
Epoch [34/50]: Avg Loss: 0.1415 | Avg Accuracy: 91.13 | Model Sparsity: 0.95
Epoch [35/50]: Avg Loss: 0.1403 | Avg Accuracy: 91.43 | Model Sparsity: 0.95
Epoch [36/50]: Avg Loss: 0.1394 | Avg Accuracy: 91.67 | Model Sparsity: 0.95
