Model : vgg11 - Learning Type: cifar10/bacp_pruning/snip_pruning/0.99
Configuration:
model_name: vgg11
model_task: cifar10
model_type: cv
num_classes: 10
batch_size: 512
learning_rate: 0.1
optimizer_type: sgd
epochs: 5
recovery_epochs: 10
patience: 20
pruning_type: snip_pruning
target_sparsity: 0.99
sparsity_scheduler: cubic
pruning_epochs: 5
n_views: 2
temperature: 0.15
base_temperature: 0.15
device: cuda
enable_mixed_precision: True
num_workers: 24
train_batches: 83
val_batches: 14
current_model_path: /dbfs/research/vgg11/cifar10/vgg11_cifar10_snip_pruning_0.99_bacp_pruning.pt

Epoch [1/5]: Avg Total Loss: 8.0884 | Avg PrC Loss: 3.8182 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 3.6574 | Avg CE Loss: 0.6128 | Model Sparsity: 0.4831
Retraining Epoch [1/10]: Avg Total Loss: 7.5309 | Avg PrC Loss: 3.6029 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 3.4331 | Avg CE Loss: 0.4949 | Model Sparsity: 0.4831
Retraining Epoch [2/10]: Avg Total Loss: 7.0659 | Avg PrC Loss: 3.5007 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 3.1977 | Avg CE Loss: 0.3676 | Model Sparsity: 0.4831
Retraining Epoch [3/10]: Avg Total Loss: 6.7273 | Avg PrC Loss: 3.4339 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 3.0259 | Avg CE Loss: 0.2675 | Model Sparsity: 0.4831
Retraining Epoch [4/10]: Avg Total Loss: 6.5710 | Avg PrC Loss: 3.3939 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.9537 | Avg CE Loss: 0.2234 | Model Sparsity: 0.4831
Retraining Epoch [5/10]: Avg Total Loss: 6.4714 | Avg PrC Loss: 3.3642 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.9111 | Avg CE Loss: 0.1962 | Model Sparsity: 0.4831
Retraining Epoch [6/10]: Avg Total Loss: 6.3869 | Avg PrC Loss: 3.3387 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.8757 | Avg CE Loss: 0.1725 | Model Sparsity: 0.4831
Retraining Epoch [7/10]: Avg Total Loss: 6.3326 | Avg PrC Loss: 3.3220 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.8518 | Avg CE Loss: 0.1587 | Model Sparsity: 0.4831
Retraining Epoch [8/10]: Avg Total Loss: 6.2842 | Avg PrC Loss: 3.3044 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.8353 | Avg CE Loss: 0.1445 | Model Sparsity: 0.4831
Retraining Epoch [9/10]: Avg Total Loss: 6.2431 | Avg PrC Loss: 3.2904 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.8185 | Avg CE Loss: 0.1341 | Model Sparsity: 0.4831
Retraining Epoch [10/10]: Avg Total Loss: 6.2156 | Avg PrC Loss: 3.2804 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.8073 | Avg CE Loss: 0.1279 | Model Sparsity: 0.4831
Epoch [2/5]: Avg Total Loss: 9.6648 | Avg PrC Loss: 3.4616 | Avg SnC Loss: 2.8721 | Avg FiC Loss: 3.0540 | Avg CE Loss: 0.2770 | Model Sparsity: 0.7762
Retraining Epoch [1/10]: Avg Total Loss: 8.9966 | Avg PrC Loss: 3.3455 | Avg SnC Loss: 2.6120 | Avg FiC Loss: 2.8683 | Avg CE Loss: 0.1708 | Model Sparsity: 0.7762
Retraining Epoch [2/10]: Avg Total Loss: 8.8096 | Avg PrC Loss: 3.3091 | Avg SnC Loss: 2.5369 | Avg FiC Loss: 2.8225 | Avg CE Loss: 0.1411 | Model Sparsity: 0.7762
Retraining Epoch [3/10]: Avg Total Loss: 8.7581 | Avg PrC Loss: 3.2947 | Avg SnC Loss: 2.5205 | Avg FiC Loss: 2.8098 | Avg CE Loss: 0.1330 | Model Sparsity: 0.7762
Retraining Epoch [4/10]: Avg Total Loss: 8.7222 | Avg PrC Loss: 3.2873 | Avg SnC Loss: 2.5077 | Avg FiC Loss: 2.8013 | Avg CE Loss: 0.1259 | Model Sparsity: 0.7762
Retraining Epoch [5/10]: Avg Total Loss: 8.6783 | Avg PrC Loss: 3.2755 | Avg SnC Loss: 2.4944 | Avg FiC Loss: 2.7895 | Avg CE Loss: 0.1189 | Model Sparsity: 0.7762
Retraining Epoch [6/10]: Avg Total Loss: 8.6448 | Avg PrC Loss: 3.2667 | Avg SnC Loss: 2.4841 | Avg FiC Loss: 2.7830 | Avg CE Loss: 0.1110 | Model Sparsity: 0.7762
Retraining Epoch [7/10]: Avg Total Loss: 8.6365 | Avg PrC Loss: 3.2664 | Avg SnC Loss: 2.4829 | Avg FiC Loss: 2.7792 | Avg CE Loss: 0.1081 | Model Sparsity: 0.7762
