Model : vgg19 - Learning Type: cifar10/bacp_finetune/magnitude_pruning/0.95
Configuration:
model_type: cv
model_name: vgg19
model_task: cifar10
num_classes: 10
criterion: CrossEntropyLoss()
embedding_dim: 4096
epochs: 50
pruning_epochs: 50
recovery_epochs: 10
batch_size: 512
learning_rate: 0.0001
learning_type: bacp_finetune
optimizer_type: adamw
prune: False
pruning_type: magnitude_pruning
target_sparsity: 0.95
sparsity_scheduler: linear
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/vgg19/cifar10/vgg19_cifar10_magnitude_pruning_0.95_bacp_finetune.pt
finetuned_weights: /dbfs/research/vgg19/cifar10/vgg19_cifar10_magnitude_pruning_0.95_bacp_pruning.pt

Epoch [1/50]: Avg Loss: 0.5878 | Avg Accuracy: 90.04 | Model Sparsity: 0.95
Epoch [2/50]: Avg Loss: 0.2980 | Avg Accuracy: 91.21 | Model Sparsity: 0.95
Epoch [3/50]: Avg Loss: 0.2669 | Avg Accuracy: 91.50 | Model Sparsity: 0.95
Epoch [4/50]: Avg Loss: 0.2461 | Avg Accuracy: 91.73 | Model Sparsity: 0.95
Epoch [5/50]: Avg Loss: 0.2302 | Avg Accuracy: 92.01 | Model Sparsity: 0.95
Epoch [6/50]: Avg Loss: 0.2191 | Avg Accuracy: 91.94 | Model Sparsity: 0.95
Epoch [7/50]: Avg Loss: 0.1996 | Avg Accuracy: 92.13 | Model Sparsity: 0.95
Epoch [8/50]: Avg Loss: 0.1921 | Avg Accuracy: 92.70 | Model Sparsity: 0.95
Epoch [9/50]: Avg Loss: 0.1807 | Avg Accuracy: 92.45 | Model Sparsity: 0.95
Epoch [10/50]: Avg Loss: 0.1753 | Avg Accuracy: 92.35 | Model Sparsity: 0.95
Epoch [11/50]: Avg Loss: 0.1641 | Avg Accuracy: 92.94 | Model Sparsity: 0.95
Epoch [12/50]: Avg Loss: 0.1557 | Avg Accuracy: 92.95 | Model Sparsity: 0.95
Epoch [13/50]: Avg Loss: 0.1494 | Avg Accuracy: 92.61 | Model Sparsity: 0.95
Epoch [14/50]: Avg Loss: 0.1432 | Avg Accuracy: 93.05 | Model Sparsity: 0.95
Epoch [15/50]: Avg Loss: 0.1359 | Avg Accuracy: 92.70 | Model Sparsity: 0.95
Epoch [16/50]: Avg Loss: 0.1329 | Avg Accuracy: 92.93 | Model Sparsity: 0.95
Epoch [17/50]: Avg Loss: 0.1250 | Avg Accuracy: 92.93 | Model Sparsity: 0.95
Epoch [18/50]: Avg Loss: 0.1150 | Avg Accuracy: 92.56 | Model Sparsity: 0.95
Epoch [19/50]: Avg Loss: 0.1143 | Avg Accuracy: 92.73 | Model Sparsity: 0.95
Epoch [20/50]: Avg Loss: 0.1099 | Avg Accuracy: 92.77 | Model Sparsity: 0.95
Epoch [21/50]: Avg Loss: 0.1016 | Avg Accuracy: 92.75 | Model Sparsity: 0.95
Epoch [22/50]: Avg Loss: 0.0985 | Avg Accuracy: 93.05 | Model Sparsity: 0.95
Epoch [23/50]: Avg Loss: 0.0922 | Avg Accuracy: 93.05 | Model Sparsity: 0.95
Epoch [24/50]: Avg Loss: 0.0882 | Avg Accuracy: 92.97 | Model Sparsity: 0.95
Epoch [25/50]: Avg Loss: 0.0855 | Avg Accuracy: 93.23 | Model Sparsity: 0.95
Epoch [26/50]: Avg Loss: 0.0862 | Avg Accuracy: 92.98 | Model Sparsity: 0.95
Epoch [27/50]: Avg Loss: 0.0776 | Avg Accuracy: 92.90 | Model Sparsity: 0.95
Epoch [28/50]: Avg Loss: 0.0756 | Avg Accuracy: 92.62 | Model Sparsity: 0.95
Epoch [29/50]: Avg Loss: 0.0705 | Avg Accuracy: 93.22 | Model Sparsity: 0.95
Epoch [30/50]: Avg Loss: 0.0685 | Avg Accuracy: 92.89 | Model Sparsity: 0.95
Epoch [31/50]: Avg Loss: 0.0659 | Avg Accuracy: 92.90 | Model Sparsity: 0.95
Epoch [32/50]: Avg Loss: 0.0628 | Avg Accuracy: 92.72 | Model Sparsity: 0.95
Epoch [33/50]: Avg Loss: 0.0598 | Avg Accuracy: 92.79 | Model Sparsity: 0.95
Epoch [34/50]: Avg Loss: 0.0533 | Avg Accuracy: 93.32 | Model Sparsity: 0.95
Epoch [35/50]: Avg Loss: 0.0527 | Avg Accuracy: 93.28 | Model Sparsity: 0.95
Epoch [36/50]: Avg Loss: 0.0500 | Avg Accuracy: 93.21 | Model Sparsity: 0.95
Epoch [37/50]: Avg Loss: 0.0499 | Avg Accuracy: 93.60 | Model Sparsity: 0.95
Epoch [38/50]: Avg Loss: 0.0467 | Avg Accuracy: 93.18 | Model Sparsity: 0.95
Epoch [39/50]: Avg Loss: 0.0442 | Avg Accuracy: 92.90 | Model Sparsity: 0.95
Epoch [40/50]: Avg Loss: 0.0435 | Avg Accuracy: 93.15 | Model Sparsity: 0.95
Epoch [41/50]: Avg Loss: 0.0434 | Avg Accuracy: 92.93 | Model Sparsity: 0.95
Epoch [42/50]: Avg Loss: 0.0421 | Avg Accuracy: 93.00 | Model Sparsity: 0.95
Epoch [43/50]: Avg Loss: 0.0407 | Avg Accuracy: 92.93 | Model Sparsity: 0.95
