Model : vgg19 - Learning Type: cifar10/bacp_finetune/movement_pruning/0.95
Configuration:
model_type: cv
model_name: vgg19
model_task: cifar10
num_classes: 10
criterion: CrossEntropyLoss()
embedding_dim: 4096
epochs: 50
pruning_epochs: 50
recovery_epochs: 10
batch_size: 512
learning_rate: 0.0001
learning_type: bacp_finetune
optimizer_type: adamw
prune: False
pruning_type: movement_pruning
target_sparsity: 0.95
sparsity_scheduler: linear
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/vgg19/cifar10/vgg19_cifar10_movement_pruning_0.95_bacp_finetune.pt
finetuned_weights: /dbfs/research/vgg19/cifar10/vgg19_cifar10_movement_pruning_0.95_bacp_pruning.pt

Epoch [1/50]: Avg Loss: 1.6202 | Avg Accuracy: 47.67 | Model Sparsity: 0.95
Epoch [2/50]: Avg Loss: 1.4541 | Avg Accuracy: 48.49 | Model Sparsity: 0.95
Epoch [3/50]: Avg Loss: 1.4081 | Avg Accuracy: 49.82 | Model Sparsity: 0.95
Epoch [4/50]: Avg Loss: 1.3774 | Avg Accuracy: 50.61 | Model Sparsity: 0.95
Epoch [5/50]: Avg Loss: 1.3522 | Avg Accuracy: 52.53 | Model Sparsity: 0.95
Epoch [6/50]: Avg Loss: 1.3310 | Avg Accuracy: 52.54 | Model Sparsity: 0.95
Epoch [7/50]: Avg Loss: 1.3132 | Avg Accuracy: 54.10 | Model Sparsity: 0.95
Epoch [8/50]: Avg Loss: 1.2915 | Avg Accuracy: 52.87 | Model Sparsity: 0.95
Epoch [9/50]: Avg Loss: 1.2759 | Avg Accuracy: 54.21 | Model Sparsity: 0.95
Epoch [10/50]: Avg Loss: 1.2589 | Avg Accuracy: 54.83 | Model Sparsity: 0.95
Epoch [11/50]: Avg Loss: 1.2420 | Avg Accuracy: 55.52 | Model Sparsity: 0.95
Epoch [12/50]: Avg Loss: 1.2193 | Avg Accuracy: 56.75 | Model Sparsity: 0.95
Epoch [13/50]: Avg Loss: 1.2021 | Avg Accuracy: 55.92 | Model Sparsity: 0.95
Epoch [14/50]: Avg Loss: 1.1880 | Avg Accuracy: 57.46 | Model Sparsity: 0.95
Epoch [15/50]: Avg Loss: 1.1761 | Avg Accuracy: 58.55 | Model Sparsity: 0.95
Epoch [16/50]: Avg Loss: 1.1514 | Avg Accuracy: 58.94 | Model Sparsity: 0.95
Epoch [17/50]: Avg Loss: 1.1389 | Avg Accuracy: 59.32 | Model Sparsity: 0.95
Epoch [18/50]: Avg Loss: 1.1206 | Avg Accuracy: 60.20 | Model Sparsity: 0.95
Epoch [19/50]: Avg Loss: 1.1020 | Avg Accuracy: 60.17 | Model Sparsity: 0.95
Epoch [20/50]: Avg Loss: 1.0920 | Avg Accuracy: 60.74 | Model Sparsity: 0.95
Epoch [21/50]: Avg Loss: 1.0806 | Avg Accuracy: 61.83 | Model Sparsity: 0.95
Epoch [22/50]: Avg Loss: 1.0707 | Avg Accuracy: 60.32 | Model Sparsity: 0.95
Epoch [23/50]: Avg Loss: 1.0612 | Avg Accuracy: 61.84 | Model Sparsity: 0.95
Epoch [24/50]: Avg Loss: 1.0507 | Avg Accuracy: 60.91 | Model Sparsity: 0.95
Epoch [25/50]: Avg Loss: 1.0417 | Avg Accuracy: 62.88 | Model Sparsity: 0.95
Epoch [26/50]: Avg Loss: 1.0335 | Avg Accuracy: 62.56 | Model Sparsity: 0.95
Epoch [27/50]: Avg Loss: 1.0213 | Avg Accuracy: 62.83 | Model Sparsity: 0.95
Epoch [28/50]: Avg Loss: 1.0163 | Avg Accuracy: 62.67 | Model Sparsity: 0.95
Epoch [29/50]: Avg Loss: 1.0105 | Avg Accuracy: 62.33 | Model Sparsity: 0.95
Epoch [30/50]: Avg Loss: 0.9960 | Avg Accuracy: 63.63 | Model Sparsity: 0.95
Epoch [31/50]: Avg Loss: 0.9851 | Avg Accuracy: 63.99 | Model Sparsity: 0.95
Epoch [32/50]: Avg Loss: 0.9830 | Avg Accuracy: 63.74 | Model Sparsity: 0.95
Epoch [33/50]: Avg Loss: 0.9809 | Avg Accuracy: 64.19 | Model Sparsity: 0.95
Epoch [34/50]: Avg Loss: 0.9672 | Avg Accuracy: 64.84 | Model Sparsity: 0.95
Epoch [35/50]: Avg Loss: 0.9614 | Avg Accuracy: 65.05 | Model Sparsity: 0.95
Epoch [36/50]: Avg Loss: 0.9584 | Avg Accuracy: 65.29 | Model Sparsity: 0.95
Epoch [37/50]: Avg Loss: 0.9532 | Avg Accuracy: 64.48 | Model Sparsity: 0.95
Epoch [38/50]: Avg Loss: 0.9453 | Avg Accuracy: 64.47 | Model Sparsity: 0.95
Epoch [39/50]: Avg Loss: 0.9442 | Avg Accuracy: 65.67 | Model Sparsity: 0.95
Epoch [40/50]: Avg Loss: 0.9372 | Avg Accuracy: 65.89 | Model Sparsity: 0.95
Epoch [41/50]: Avg Loss: 0.9347 | Avg Accuracy: 65.64 | Model Sparsity: 0.95
Epoch [42/50]: Avg Loss: 0.9249 | Avg Accuracy: 65.85 | Model Sparsity: 0.95
Epoch [43/50]: Avg Loss: 0.9249 | Avg Accuracy: 66.14 | Model Sparsity: 0.95
Epoch [44/50]: Avg Loss: 0.9144 | Avg Accuracy: 65.35 | Model Sparsity: 0.95
Epoch [45/50]: Avg Loss: 0.9123 | Avg Accuracy: 64.94 | Model Sparsity: 0.95
Epoch [46/50]: Avg Loss: 0.9065 | Avg Accuracy: 65.60 | Model Sparsity: 0.95
Epoch [47/50]: Avg Loss: 0.9000 | Avg Accuracy: 66.55 | Model Sparsity: 0.95
Epoch [48/50]: Avg Loss: 0.8900 | Avg Accuracy: 66.71 | Model Sparsity: 0.95
Epoch [49/50]: Avg Loss: 0.8863 | Avg Accuracy: 66.56 | Model Sparsity: 0.95
Epoch [50/50]: Avg Loss: 0.8839 | Avg Accuracy: 66.35 | Model Sparsity: 0.95
