Model : vgg19 - Learning Type: cifar10/bacp_pruning/magnitude_pruning/0.97
Configuration:
model_name: vgg19
model_task: cifar10
model_type: cv
num_classes: 10
batch_size: 512
learning_rate: 0.1
optimizer_type: sgd
epochs: 5
recovery_epochs: 10
patience: 20
pruning_type: magnitude_pruning
target_sparsity: 0.97
sparsity_scheduler: cubic
pruning_epochs: 5
n_views: 2
temperature: 0.15
base_temperature: 0.15
device: cuda
enable_mixed_precision: True
num_workers: 24
train_batches: 83
val_batches: 14
current_model_path: /dbfs/research/vgg19/cifar10/vgg19_cifar10_magnitude_pruning_0.97_bacp_pruning.pt

Epoch [1/5]: Avg Total Loss: 8.1792 | Avg PrC Loss: 3.9040 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 3.6439 | Avg CE Loss: 0.6314 | Model Sparsity: 0.4734
Retraining Epoch [1/10]: Avg Total Loss: 7.7355 | Avg PrC Loss: 3.6931 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 3.5058 | Avg CE Loss: 0.5366 | Model Sparsity: 0.4734
Retraining Epoch [2/10]: Avg Total Loss: 7.4246 | Avg PrC Loss: 3.5968 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 3.3722 | Avg CE Loss: 0.4556 | Model Sparsity: 0.4734
Retraining Epoch [3/10]: Avg Total Loss: 7.0305 | Avg PrC Loss: 3.5112 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 3.1745 | Avg CE Loss: 0.3449 | Model Sparsity: 0.4734
Retraining Epoch [4/10]: Avg Total Loss: 6.7215 | Avg PrC Loss: 3.4583 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 3.0063 | Avg CE Loss: 0.2570 | Model Sparsity: 0.4734
Retraining Epoch [5/10]: Avg Total Loss: 6.5934 | Avg PrC Loss: 3.4394 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.9394 | Avg CE Loss: 0.2146 | Model Sparsity: 0.4734
Retraining Epoch [6/10]: Avg Total Loss: 6.5118 | Avg PrC Loss: 3.4250 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.8980 | Avg CE Loss: 0.1888 | Model Sparsity: 0.4734
Retraining Epoch [7/10]: Avg Total Loss: 6.4390 | Avg PrC Loss: 3.4112 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.8635 | Avg CE Loss: 0.1643 | Model Sparsity: 0.4734
Retraining Epoch [8/10]: Avg Total Loss: 6.3789 | Avg PrC Loss: 3.3974 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.8364 | Avg CE Loss: 0.1451 | Model Sparsity: 0.4734
Retraining Epoch [9/10]: Avg Total Loss: 6.3474 | Avg PrC Loss: 3.3892 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.8239 | Avg CE Loss: 0.1343 | Model Sparsity: 0.4734
Retraining Epoch [10/10]: Avg Total Loss: 6.3234 | Avg PrC Loss: 3.3821 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.8141 | Avg CE Loss: 0.1272 | Model Sparsity: 0.4734
