Model : vgg19 - Learning Type: cifar10/pruning/magnitude_pruning/0.99
Configuration:
model_type: cv
model_name: vgg19
model_task: cifar10
num_classes: 10
criterion: CrossEntropyLoss()
embedding_dim: 4096
epochs: 5
pruning_epochs: 5
recovery_epochs: 10
batch_size: 512
learning_rate: 0.01
learning_type: pruning
optimizer_type: sgd
prune: True
pruning_type: magnitude_pruning
target_sparsity: 0.99
sparsity_scheduler: cubic
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/vgg19/cifar10/vgg19_cifar10_magnitude_pruning_0.99_pruning.pt
finetuned_weights: /dbfs/research/vgg19/cifar10/vgg19_cifar10_baseline.pt

Epoch [1/5]: Avg Loss: 0.1110 | Avg Accuracy: 97.35 | Model Sparsity: 0.4831
Recovery epoch [1/10]: Avg Loss: 0.0789 | Avg Accuracy: 97.49 | Model Sparsity: 0.4831
Recovery epoch [2/10]: Avg Loss: 0.0716 | Avg Accuracy: 97.60 | Model Sparsity: 0.4831
Recovery epoch [3/10]: Avg Loss: 0.0587 | Avg Accuracy: 97.21 | Model Sparsity: 0.4831
Recovery epoch [4/10]: Avg Loss: 0.0724 | Avg Accuracy: 97.25 | Model Sparsity: 0.4831
Recovery epoch [5/10]: Avg Loss: 0.0571 | Avg Accuracy: 97.31 | Model Sparsity: 0.4831
Recovery epoch [6/10]: Avg Loss: 0.0478 | Avg Accuracy: 97.63 | Model Sparsity: 0.4831
Recovery epoch [7/10]: Avg Loss: 0.0487 | Avg Accuracy: 96.99 | Model Sparsity: 0.4831
Recovery epoch [8/10]: Avg Loss: 0.0476 | Avg Accuracy: 97.59 | Model Sparsity: 0.4831
Recovery epoch [9/10]: Avg Loss: 0.0403 | Avg Accuracy: 96.97 | Model Sparsity: 0.4831
Recovery epoch [10/10]: Avg Loss: 0.0465 | Avg Accuracy: 96.22 | Model Sparsity: 0.4831
Epoch [2/5]: Avg Loss: 0.0431 | Avg Accuracy: 97.63 | Model Sparsity: 0.7762
Recovery epoch [1/10]: Avg Loss: 0.0316 | Avg Accuracy: 96.97 | Model Sparsity: 0.7762
Recovery epoch [2/10]: Avg Loss: 0.0281 | Avg Accuracy: 96.39 | Model Sparsity: 0.7762
