Model : vgg19 - Learning Type: cifar10/pruning/movement_pruning/0.97
Configuration:
model_type: cv
model_name: vgg19
model_task: cifar10
num_classes: 10
criterion: CrossEntropyLoss()
embedding_dim: 4096
epochs: 5
pruning_epochs: 5
recovery_epochs: 10
batch_size: 512
learning_rate: 0.01
learning_type: pruning
optimizer_type: sgd
prune: True
pruning_type: movement_pruning
target_sparsity: 0.97
sparsity_scheduler: cubic
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/vgg19/cifar10/vgg19_cifar10_movement_pruning_0.97_pruning.pt
finetuned_weights: /dbfs/research/vgg19/cifar10/vgg19_cifar10_baseline.pt

Epoch [1/5]: Avg Loss: 0.1375 | Avg Accuracy: 10.07 | Model Sparsity: 0.4734
Recovery epoch [1/10]: Avg Loss: 2.3044 | Avg Accuracy: 15.37 | Model Sparsity: 0.4734
Recovery epoch [2/10]: Avg Loss: 2.0929 | Avg Accuracy: 21.34 | Model Sparsity: 0.4734
Recovery epoch [3/10]: Avg Loss: 1.9647 | Avg Accuracy: 22.67 | Model Sparsity: 0.4734
Recovery epoch [4/10]: Avg Loss: 1.8933 | Avg Accuracy: 23.19 | Model Sparsity: 0.4734
Recovery epoch [5/10]: Avg Loss: 1.8738 | Avg Accuracy: 24.93 | Model Sparsity: 0.4734
Recovery epoch [6/10]: Avg Loss: 1.8212 | Avg Accuracy: 25.75 | Model Sparsity: 0.4734
Recovery epoch [7/10]: Avg Loss: 1.8046 | Avg Accuracy: 25.98 | Model Sparsity: 0.4734
Recovery epoch [8/10]: Avg Loss: 1.7795 | Avg Accuracy: 28.31 | Model Sparsity: 0.4734
Recovery epoch [9/10]: Avg Loss: 1.7404 | Avg Accuracy: 28.01 | Model Sparsity: 0.4734
Recovery epoch [10/10]: Avg Loss: 1.7332 | Avg Accuracy: 30.98 | Model Sparsity: 0.4734
Epoch [2/5]: Avg Loss: 1.7025 | Avg Accuracy: 10.32 | Model Sparsity: 0.7605
Recovery epoch [1/10]: Avg Loss: 2.3350 | Avg Accuracy: 13.64 | Model Sparsity: 0.7605
Recovery epoch [2/10]: Avg Loss: 2.1646 | Avg Accuracy: 20.59 | Model Sparsity: 0.7605
Recovery epoch [3/10]: Avg Loss: 1.9449 | Avg Accuracy: 20.93 | Model Sparsity: 0.7605
Recovery epoch [4/10]: Avg Loss: 1.8774 | Avg Accuracy: 22.98 | Model Sparsity: 0.7605
