Model : resnet101 - Learning Type: cifar10/bacp_finetune/wanda_pruning/0.97
Configuration:
model_type: cv
model_name: resnet101
model_task: cifar10
num_classes: 10
criterion: CrossEntropyLoss()
embedding_dim: 2048
epochs: 50
pruning_epochs: 50
recovery_epochs: 10
batch_size: 512
learning_rate: 0.0001
learning_type: bacp_finetune
optimizer_type: adamw
prune: False
pruning_type: wanda_pruning
target_sparsity: 0.97
sparsity_scheduler: linear
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/resnet101/cifar10/resnet101_cifar10_wanda_pruning_0.97_bacp_finetune.pt
finetuned_weights: /dbfs/research/resnet101/cifar10/resnet101_cifar10_wanda_pruning_0.97_bacp_pruning.pt

Epoch [1/50]: Avg Loss: 1.1268 | Avg Accuracy: 90.65 | Model Sparsity: 0.97
Epoch [2/50]: Avg Loss: 0.3541 | Avg Accuracy: 92.24 | Model Sparsity: 0.97
Epoch [3/50]: Avg Loss: 0.2596 | Avg Accuracy: 92.22 | Model Sparsity: 0.97
Epoch [4/50]: Avg Loss: 0.2289 | Avg Accuracy: 92.56 | Model Sparsity: 0.97
Epoch [5/50]: Avg Loss: 0.2040 | Avg Accuracy: 93.00 | Model Sparsity: 0.97
Epoch [6/50]: Avg Loss: 0.1918 | Avg Accuracy: 93.15 | Model Sparsity: 0.97
Epoch [7/50]: Avg Loss: 0.1775 | Avg Accuracy: 93.61 | Model Sparsity: 0.97
Epoch [8/50]: Avg Loss: 0.1653 | Avg Accuracy: 93.47 | Model Sparsity: 0.97
Epoch [9/50]: Avg Loss: 0.1598 | Avg Accuracy: 93.78 | Model Sparsity: 0.97
Epoch [10/50]: Avg Loss: 0.1510 | Avg Accuracy: 93.68 | Model Sparsity: 0.97
Epoch [11/50]: Avg Loss: 0.1451 | Avg Accuracy: 93.54 | Model Sparsity: 0.97
Epoch [12/50]: Avg Loss: 0.1369 | Avg Accuracy: 93.69 | Model Sparsity: 0.97
Epoch [13/50]: Avg Loss: 0.1307 | Avg Accuracy: 93.47 | Model Sparsity: 0.97
Epoch [14/50]: Avg Loss: 0.1233 | Avg Accuracy: 93.43 | Model Sparsity: 0.97
Epoch [15/50]: Avg Loss: 0.1212 | Avg Accuracy: 93.90 | Model Sparsity: 0.97
Epoch [16/50]: Avg Loss: 0.1178 | Avg Accuracy: 93.33 | Model Sparsity: 0.97
Epoch [17/50]: Avg Loss: 0.1120 | Avg Accuracy: 93.53 | Model Sparsity: 0.97
Epoch [18/50]: Avg Loss: 0.1087 | Avg Accuracy: 93.62 | Model Sparsity: 0.97
Epoch [19/50]: Avg Loss: 0.1011 | Avg Accuracy: 93.76 | Model Sparsity: 0.97
Epoch [20/50]: Avg Loss: 0.0990 | Avg Accuracy: 93.93 | Model Sparsity: 0.97
Epoch [21/50]: Avg Loss: 0.0954 | Avg Accuracy: 93.76 | Model Sparsity: 0.97
Epoch [22/50]: Avg Loss: 0.0907 | Avg Accuracy: 93.89 | Model Sparsity: 0.97
Epoch [23/50]: Avg Loss: 0.0851 | Avg Accuracy: 93.64 | Model Sparsity: 0.97
Epoch [24/50]: Avg Loss: 0.0827 | Avg Accuracy: 93.95 | Model Sparsity: 0.97
Epoch [25/50]: Avg Loss: 0.0819 | Avg Accuracy: 93.88 | Model Sparsity: 0.97
Epoch [26/50]: Avg Loss: 0.0782 | Avg Accuracy: 94.10 | Model Sparsity: 0.97
Epoch [27/50]: Avg Loss: 0.0753 | Avg Accuracy: 93.93 | Model Sparsity: 0.97
Epoch [28/50]: Avg Loss: 0.0720 | Avg Accuracy: 94.31 | Model Sparsity: 0.97
Epoch [29/50]: Avg Loss: 0.0681 | Avg Accuracy: 93.92 | Model Sparsity: 0.97
Epoch [30/50]: Avg Loss: 0.0672 | Avg Accuracy: 93.90 | Model Sparsity: 0.97
Epoch [31/50]: Avg Loss: 0.0671 | Avg Accuracy: 94.17 | Model Sparsity: 0.97
Epoch [32/50]: Avg Loss: 0.0632 | Avg Accuracy: 93.93 | Model Sparsity: 0.97
Epoch [33/50]: Avg Loss: 0.0639 | Avg Accuracy: 93.88 | Model Sparsity: 0.97
Epoch [34/50]: Avg Loss: 0.0563 | Avg Accuracy: 94.34 | Model Sparsity: 0.97
Epoch [35/50]: Avg Loss: 0.0563 | Avg Accuracy: 94.22 | Model Sparsity: 0.97
Epoch [36/50]: Avg Loss: 0.0560 | Avg Accuracy: 93.67 | Model Sparsity: 0.97
Epoch [37/50]: Avg Loss: 0.0534 | Avg Accuracy: 93.90 | Model Sparsity: 0.97
Epoch [38/50]: Avg Loss: 0.0513 | Avg Accuracy: 93.86 | Model Sparsity: 0.97
Epoch [39/50]: Avg Loss: 0.0549 | Avg Accuracy: 93.81 | Model Sparsity: 0.97
Epoch [40/50]: Avg Loss: 0.0463 | Avg Accuracy: 93.95 | Model Sparsity: 0.97
Epoch [41/50]: Avg Loss: 0.0446 | Avg Accuracy: 94.45 | Model Sparsity: 0.97
Epoch [42/50]: Avg Loss: 0.0445 | Avg Accuracy: 94.06 | Model Sparsity: 0.97
Epoch [43/50]: Avg Loss: 0.0444 | Avg Accuracy: 94.15 | Model Sparsity: 0.97
Epoch [44/50]: Avg Loss: 0.0436 | Avg Accuracy: 94.03 | Model Sparsity: 0.97
Epoch [45/50]: Avg Loss: 0.0424 | Avg Accuracy: 94.08 | Model Sparsity: 0.97
Epoch [46/50]: Avg Loss: 0.0382 | Avg Accuracy: 93.90 | Model Sparsity: 0.97
Epoch [47/50]: Avg Loss: 0.0390 | Avg Accuracy: 94.00 | Model Sparsity: 0.97
Epoch [48/50]: Avg Loss: 0.0370 | Avg Accuracy: 93.69 | Model Sparsity: 0.97
Epoch [49/50]: Avg Loss: 0.0355 | Avg Accuracy: 93.85 | Model Sparsity: 0.97
Epoch [50/50]: Avg Loss: 0.0354 | Avg Accuracy: 94.04 | Model Sparsity: 0.97
