Model : resnet101 - Learning Type: cifar10/bacp_pruning/snip_pruning/0.97
Configuration:
model_name: resnet101
model_task: cifar10
model_type: cv
num_classes: 10
batch_size: 512
learning_rate: 0.1
optimizer_type: sgd
epochs: 5
recovery_epochs: 10
patience: 20
pruning_type: snip_pruning
target_sparsity: 0.97
sparsity_scheduler: cubic
pruning_epochs: 5
n_views: 2
temperature: 0.15
base_temperature: 0.15
device: cuda
enable_mixed_precision: True
num_workers: 24
train_batches: 83
val_batches: 14
current_model_path: /dbfs/research/resnet101/cifar10/resnet101_cifar10_snip_pruning_0.97_bacp_pruning.pt

Epoch [1/5]: Avg Total Loss: 7.5906 | Avg PrC Loss: 3.5835 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 3.6516 | Avg CE Loss: 0.3555 | Model Sparsity: 0.4734
Retraining Epoch [1/10]: Avg Total Loss: 7.0471 | Avg PrC Loss: 3.5379 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 3.3171 | Avg CE Loss: 0.1921 | Model Sparsity: 0.4734
Retraining Epoch [2/10]: Avg Total Loss: 6.7129 | Avg PrC Loss: 3.5075 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 3.0605 | Avg CE Loss: 0.1448 | Model Sparsity: 0.4734
Retraining Epoch [3/10]: Avg Total Loss: 6.6157 | Avg PrC Loss: 3.4984 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 3.0036 | Avg CE Loss: 0.1136 | Model Sparsity: 0.4734
Retraining Epoch [4/10]: Avg Total Loss: 6.5630 | Avg PrC Loss: 3.4925 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.9735 | Avg CE Loss: 0.0971 | Model Sparsity: 0.4734
Retraining Epoch [5/10]: Avg Total Loss: 6.5149 | Avg PrC Loss: 3.4839 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.9458 | Avg CE Loss: 0.0852 | Model Sparsity: 0.4734
Retraining Epoch [6/10]: Avg Total Loss: 6.4907 | Avg PrC Loss: 3.4807 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.9289 | Avg CE Loss: 0.0811 | Model Sparsity: 0.4734
Retraining Epoch [7/10]: Avg Total Loss: 6.4664 | Avg PrC Loss: 3.4780 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.9143 | Avg CE Loss: 0.0741 | Model Sparsity: 0.4734
Retraining Epoch [8/10]: Avg Total Loss: 6.4539 | Avg PrC Loss: 3.4761 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.9068 | Avg CE Loss: 0.0711 | Model Sparsity: 0.4734
Retraining Epoch [9/10]: Avg Total Loss: 6.4409 | Avg PrC Loss: 3.4744 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.8985 | Avg CE Loss: 0.0680 | Model Sparsity: 0.4734
Retraining Epoch [10/10]: Avg Total Loss: 6.4351 | Avg PrC Loss: 3.4720 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.8951 | Avg CE Loss: 0.0680 | Model Sparsity: 0.4734
Epoch [2/5]: Avg Total Loss: 9.1210 | Avg PrC Loss: 3.5078 | Avg SnC Loss: 2.6086 | Avg FiC Loss: 2.9068 | Avg CE Loss: 0.0978 | Model Sparsity: 0.7605
Retraining Epoch [1/10]: Avg Total Loss: 9.1175 | Avg PrC Loss: 3.5070 | Avg SnC Loss: 2.6089 | Avg FiC Loss: 2.9047 | Avg CE Loss: 0.0969 | Model Sparsity: 0.7605
Retraining Epoch [2/10]: Avg Total Loss: 9.0779 | Avg PrC Loss: 3.5040 | Avg SnC Loss: 2.5947 | Avg FiC Loss: 2.8924 | Avg CE Loss: 0.0868 | Model Sparsity: 0.7605
Retraining Epoch [3/10]: Avg Total Loss: 9.0648 | Avg PrC Loss: 3.5039 | Avg SnC Loss: 2.5897 | Avg FiC Loss: 2.8884 | Avg CE Loss: 0.0829 | Model Sparsity: 0.7605
Retraining Epoch [4/10]: Avg Total Loss: 9.0473 | Avg PrC Loss: 3.5027 | Avg SnC Loss: 2.5830 | Avg FiC Loss: 2.8825 | Avg CE Loss: 0.0792 | Model Sparsity: 0.7605
Retraining Epoch [5/10]: Avg Total Loss: 9.0350 | Avg PrC Loss: 3.5012 | Avg SnC Loss: 2.5780 | Avg FiC Loss: 2.8806 | Avg CE Loss: 0.0754 | Model Sparsity: 0.7605
Retraining Epoch [6/10]: Avg Total Loss: 9.0307 | Avg PrC Loss: 3.5005 | Avg SnC Loss: 2.5777 | Avg FiC Loss: 2.8784 | Avg CE Loss: 0.0741 | Model Sparsity: 0.7605
