Model : resnet101 - Learning Type: cifar10/bacp_pruning/wanda_pruning/0.99
Configuration:
model_name: resnet101
model_task: cifar10
model_type: cv
num_classes: 10
batch_size: 512
learning_rate: 0.1
optimizer_type: sgd
epochs: 5
recovery_epochs: 10
patience: 20
pruning_type: wanda_pruning
target_sparsity: 0.99
sparsity_scheduler: cubic
pruning_epochs: 5
n_views: 2
temperature: 0.15
base_temperature: 0.15
device: cuda
enable_mixed_precision: True
num_workers: 24
train_batches: 83
val_batches: 14
current_model_path: /dbfs/research/resnet101/cifar10/resnet101_cifar10_wanda_pruning_0.99_bacp_pruning.pt

Epoch [1/5]: Avg Total Loss: 7.5532 | Avg PrC Loss: 3.5780 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 3.5908 | Avg CE Loss: 0.3844 | Model Sparsity: 0.4831
Retraining Epoch [1/10]: Avg Total Loss: 6.9523 | Avg PrC Loss: 3.4891 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 3.2454 | Avg CE Loss: 0.2178 | Model Sparsity: 0.4831
Retraining Epoch [2/10]: Avg Total Loss: 6.6678 | Avg PrC Loss: 3.4506 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 3.0584 | Avg CE Loss: 0.1589 | Model Sparsity: 0.4831
Retraining Epoch [3/10]: Avg Total Loss: 6.5556 | Avg PrC Loss: 3.4309 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 3.0009 | Avg CE Loss: 0.1239 | Model Sparsity: 0.4831
Retraining Epoch [4/10]: Avg Total Loss: 6.4896 | Avg PrC Loss: 3.4169 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.9667 | Avg CE Loss: 0.1059 | Model Sparsity: 0.4831
Retraining Epoch [5/10]: Avg Total Loss: 6.4435 | Avg PrC Loss: 3.4069 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.9443 | Avg CE Loss: 0.0923 | Model Sparsity: 0.4831
Retraining Epoch [6/10]: Avg Total Loss: 6.4221 | Avg PrC Loss: 3.4020 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.9352 | Avg CE Loss: 0.0849 | Model Sparsity: 0.4831
Retraining Epoch [7/10]: Avg Total Loss: 6.4012 | Avg PrC Loss: 3.3983 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.9242 | Avg CE Loss: 0.0787 | Model Sparsity: 0.4831
Retraining Epoch [8/10]: Avg Total Loss: 6.3939 | Avg PrC Loss: 3.3950 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.9220 | Avg CE Loss: 0.0769 | Model Sparsity: 0.4831
Retraining Epoch [9/10]: Avg Total Loss: 6.3841 | Avg PrC Loss: 3.3929 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.9173 | Avg CE Loss: 0.0739 | Model Sparsity: 0.4831
Retraining Epoch [10/10]: Avg Total Loss: 6.3759 | Avg PrC Loss: 3.3908 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 2.9138 | Avg CE Loss: 0.0713 | Model Sparsity: 0.4831
