Model : vgg11 - Learning Type: cifar10/bacp_finetune/wanda_pruning/0.99
Configuration:
model_type: cv
model_name: vgg11
model_task: cifar10
num_classes: 10
criterion: CrossEntropyLoss()
embedding_dim: 4096
epochs: 50
pruning_epochs: 50
recovery_epochs: 10
batch_size: 512
learning_rate: 0.0005
learning_type: bacp_finetune
optimizer_type: adamw
prune: False
pruning_type: wanda_pruning
target_sparsity: 0.99
sparsity_scheduler: linear
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/vgg11/cifar10/vgg11_cifar10_wanda_pruning_0.99_bacp_finetune.pt
finetuned_weights: /dbfs/research/vgg11/cifar10/vgg11_cifar10_wanda_pruning_0.99_bacp_pruning.pt

Epoch [1/50]: Avg Loss: 0.5009 | Avg Accuracy: 87.89 | Model Sparsity: 0.99
Epoch [2/50]: Avg Loss: 0.3726 | Avg Accuracy: 88.38 | Model Sparsity: 0.99
Epoch [3/50]: Avg Loss: 0.3466 | Avg Accuracy: 88.43 | Model Sparsity: 0.99
Epoch [4/50]: Avg Loss: 0.3315 | Avg Accuracy: 89.09 | Model Sparsity: 0.99
Epoch [5/50]: Avg Loss: 0.3141 | Avg Accuracy: 88.80 | Model Sparsity: 0.99
Epoch [6/50]: Avg Loss: 0.3042 | Avg Accuracy: 89.17 | Model Sparsity: 0.99
Epoch [7/50]: Avg Loss: 0.2918 | Avg Accuracy: 88.57 | Model Sparsity: 0.99
Epoch [8/50]: Avg Loss: 0.2846 | Avg Accuracy: 88.98 | Model Sparsity: 0.99
Epoch [9/50]: Avg Loss: 0.2813 | Avg Accuracy: 89.80 | Model Sparsity: 0.99
Epoch [10/50]: Avg Loss: 0.2736 | Avg Accuracy: 89.61 | Model Sparsity: 0.99
Epoch [11/50]: Avg Loss: 0.2605 | Avg Accuracy: 89.63 | Model Sparsity: 0.99
Epoch [12/50]: Avg Loss: 0.2585 | Avg Accuracy: 89.54 | Model Sparsity: 0.99
Epoch [13/50]: Avg Loss: 0.2517 | Avg Accuracy: 89.69 | Model Sparsity: 0.99
Epoch [14/50]: Avg Loss: 0.2462 | Avg Accuracy: 89.76 | Model Sparsity: 0.99
Epoch [15/50]: Avg Loss: 0.2415 | Avg Accuracy: 89.63 | Model Sparsity: 0.99
Epoch [16/50]: Avg Loss: 0.2376 | Avg Accuracy: 89.90 | Model Sparsity: 0.99
Epoch [17/50]: Avg Loss: 0.2306 | Avg Accuracy: 89.52 | Model Sparsity: 0.99
Epoch [18/50]: Avg Loss: 0.2290 | Avg Accuracy: 89.45 | Model Sparsity: 0.99
Epoch [19/50]: Avg Loss: 0.2260 | Avg Accuracy: 90.14 | Model Sparsity: 0.99
Epoch [20/50]: Avg Loss: 0.2163 | Avg Accuracy: 90.53 | Model Sparsity: 0.99
Epoch [21/50]: Avg Loss: 0.2136 | Avg Accuracy: 89.69 | Model Sparsity: 0.99
Epoch [22/50]: Avg Loss: 0.2111 | Avg Accuracy: 89.68 | Model Sparsity: 0.99
Epoch [23/50]: Avg Loss: 0.2059 | Avg Accuracy: 89.83 | Model Sparsity: 0.99
Epoch [24/50]: Avg Loss: 0.2090 | Avg Accuracy: 89.76 | Model Sparsity: 0.99
Epoch [25/50]: Avg Loss: 0.1996 | Avg Accuracy: 89.96 | Model Sparsity: 0.99
Epoch [26/50]: Avg Loss: 0.1994 | Avg Accuracy: 90.08 | Model Sparsity: 0.99
Epoch [27/50]: Avg Loss: 0.1950 | Avg Accuracy: 90.18 | Model Sparsity: 0.99
Epoch [28/50]: Avg Loss: 0.1939 | Avg Accuracy: 90.15 | Model Sparsity: 0.99
Epoch [29/50]: Avg Loss: 0.1860 | Avg Accuracy: 89.75 | Model Sparsity: 0.99
Epoch [30/50]: Avg Loss: 0.1879 | Avg Accuracy: 89.97 | Model Sparsity: 0.99
Epoch [31/50]: Avg Loss: 0.1799 | Avg Accuracy: 89.77 | Model Sparsity: 0.99
Epoch [32/50]: Avg Loss: 0.1780 | Avg Accuracy: 89.82 | Model Sparsity: 0.99
Epoch [33/50]: Avg Loss: 0.1781 | Avg Accuracy: 90.09 | Model Sparsity: 0.99
Epoch [34/50]: Avg Loss: 0.1778 | Avg Accuracy: 90.05 | Model Sparsity: 0.99
Epoch [35/50]: Avg Loss: 0.1718 | Avg Accuracy: 90.01 | Model Sparsity: 0.99
Epoch [36/50]: Avg Loss: 0.1703 | Avg Accuracy: 89.84 | Model Sparsity: 0.99
Epoch [37/50]: Avg Loss: 0.1663 | Avg Accuracy: 90.40 | Model Sparsity: 0.99
Epoch [38/50]: Avg Loss: 0.1662 | Avg Accuracy: 89.47 | Model Sparsity: 0.99
Epoch [39/50]: Avg Loss: 0.1644 | Avg Accuracy: 89.19 | Model Sparsity: 0.99
Epoch [40/50]: Avg Loss: 0.1592 | Avg Accuracy: 90.26 | Model Sparsity: 0.99
