Model : vgg11 - Learning Type: cifar100/bacp_finetune/snip_pruning/0.95
Configuration:
model_type: cv
model_name: vgg11
model_task: cifar100
num_classes: 100
criterion: CrossEntropyLoss()
embedding_dim: 4096
epochs: 50
pruning_epochs: 50
recovery_epochs: 10
batch_size: 512
learning_rate: 0.0001
learning_type: bacp_finetune
optimizer_type: adamw
prune: False
pruning_type: snip_pruning
target_sparsity: 0.95
sparsity_scheduler: linear
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/vgg11/cifar100/vgg11_cifar100_snip_pruning_0.95_bacp_finetune.pt
finetuned_weights: /dbfs/research/vgg11/cifar100/vgg11_cifar100_snip_pruning_0.95_bacp_pruning.pt

Epoch [1/50]: Avg Loss: 2.9673 | Avg Accuracy: 48.60 | Model Sparsity: 0.95
Epoch [2/50]: Avg Loss: 1.9479 | Avg Accuracy: 52.30 | Model Sparsity: 0.95
Epoch [3/50]: Avg Loss: 1.7568 | Avg Accuracy: 55.11 | Model Sparsity: 0.95
Epoch [4/50]: Avg Loss: 1.6376 | Avg Accuracy: 55.09 | Model Sparsity: 0.95
Epoch [5/50]: Avg Loss: 1.5464 | Avg Accuracy: 55.96 | Model Sparsity: 0.95
Epoch [6/50]: Avg Loss: 1.4781 | Avg Accuracy: 58.04 | Model Sparsity: 0.95
Epoch [7/50]: Avg Loss: 1.4179 | Avg Accuracy: 57.95 | Model Sparsity: 0.95
Epoch [8/50]: Avg Loss: 1.3631 | Avg Accuracy: 58.15 | Model Sparsity: 0.95
Epoch [9/50]: Avg Loss: 1.3166 | Avg Accuracy: 58.73 | Model Sparsity: 0.95
Epoch [10/50]: Avg Loss: 1.2646 | Avg Accuracy: 59.12 | Model Sparsity: 0.95
Epoch [11/50]: Avg Loss: 1.2193 | Avg Accuracy: 59.77 | Model Sparsity: 0.95
Epoch [12/50]: Avg Loss: 1.1835 | Avg Accuracy: 60.27 | Model Sparsity: 0.95
Epoch [13/50]: Avg Loss: 1.1551 | Avg Accuracy: 60.38 | Model Sparsity: 0.95
Epoch [14/50]: Avg Loss: 1.1107 | Avg Accuracy: 60.27 | Model Sparsity: 0.95
