Model : vgg11 - Learning Type: cifar100/bacp_pruning/snip_pruning/0.97
Configuration:
model_name: vgg11
model_task: cifar100
model_type: cv
num_classes: 100
batch_size: 512
learning_rate: 0.1
optimizer_type: sgd
epochs: 5
recovery_epochs: 10
patience: 20
pruning_type: snip_pruning
target_sparsity: 0.97
sparsity_scheduler: cubic
pruning_epochs: 5
n_views: 2
temperature: 0.15
base_temperature: 0.15
device: cuda
enable_mixed_precision: True
num_workers: 24
train_batches: 83
val_batches: 14
current_model_path: /dbfs/research/vgg11/cifar100/vgg11_cifar100_snip_pruning_0.97_bacp_pruning.pt

Epoch [1/5]: Avg Total Loss: 7.9343 | Avg PrC Loss: 3.4431 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 3.4023 | Avg CE Loss: 1.0888 | Model Sparsity: 0.4734
Retraining Epoch [1/10]: Avg Total Loss: 7.6020 | Avg PrC Loss: 3.3757 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 3.3233 | Avg CE Loss: 0.9030 | Model Sparsity: 0.4734
Retraining Epoch [2/10]: Avg Total Loss: 7.5226 | Avg PrC Loss: 3.3679 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 3.3095 | Avg CE Loss: 0.8452 | Model Sparsity: 0.4734
Retraining Epoch [3/10]: Avg Total Loss: 7.4520 | Avg PrC Loss: 3.3503 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 3.2951 | Avg CE Loss: 0.8066 | Model Sparsity: 0.4734
Retraining Epoch [4/10]: Avg Total Loss: 7.4061 | Avg PrC Loss: 3.3406 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 3.2843 | Avg CE Loss: 0.7812 | Model Sparsity: 0.4734
Retraining Epoch [5/10]: Avg Total Loss: 7.3771 | Avg PrC Loss: 3.3356 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 3.2783 | Avg CE Loss: 0.7632 | Model Sparsity: 0.4734
Retraining Epoch [6/10]: Avg Total Loss: 7.3637 | Avg PrC Loss: 3.3352 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 3.2765 | Avg CE Loss: 0.7521 | Model Sparsity: 0.4734
Retraining Epoch [7/10]: Avg Total Loss: 7.3365 | Avg PrC Loss: 3.3303 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 3.2695 | Avg CE Loss: 0.7368 | Model Sparsity: 0.4734
Retraining Epoch [8/10]: Avg Total Loss: 7.3293 | Avg PrC Loss: 3.3296 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 3.2671 | Avg CE Loss: 0.7326 | Model Sparsity: 0.4734
Retraining Epoch [9/10]: Avg Total Loss: 7.3228 | Avg PrC Loss: 3.3288 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 3.2668 | Avg CE Loss: 0.7272 | Model Sparsity: 0.4734
Retraining Epoch [10/10]: Avg Total Loss: 7.3109 | Avg PrC Loss: 3.3271 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 3.2649 | Avg CE Loss: 0.7189 | Model Sparsity: 0.4734
