Model : vgg11 - Learning Type: cifar100/pruning/snip_pruning/0.95
Configuration:
model_type: cv
model_name: vgg11
model_task: cifar100
num_classes: 100
criterion: CrossEntropyLoss()
embedding_dim: 4096
epochs: 5
pruning_epochs: 5
recovery_epochs: 10
batch_size: 512
learning_rate: 0.01
learning_type: pruning
optimizer_type: sgd
prune: True
pruning_type: snip_pruning
target_sparsity: 0.95
sparsity_scheduler: cubic
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/vgg11/cifar100/vgg11_cifar100_snip_pruning_0.95_pruning.pt
finetuned_weights: /dbfs/research/vgg11/cifar100/vgg11_cifar100_baseline.pt

Epoch [1/5]: Avg Loss: 0.4693 | Avg Accuracy: 89.76 | Model Sparsity: 0.4636
Recovery epoch [1/10]: Avg Loss: 0.4069 | Avg Accuracy: 88.60 | Model Sparsity: 0.4636
Recovery epoch [2/10]: Avg Loss: 0.3620 | Avg Accuracy: 86.64 | Model Sparsity: 0.4636
Recovery epoch [3/10]: Avg Loss: 0.3316 | Avg Accuracy: 88.50 | Model Sparsity: 0.4636
Recovery epoch [4/10]: Avg Loss: 0.3232 | Avg Accuracy: 86.02 | Model Sparsity: 0.4636
Recovery epoch [5/10]: Avg Loss: 0.3015 | Avg Accuracy: 87.00 | Model Sparsity: 0.4636
Recovery epoch [6/10]: Avg Loss: 0.2825 | Avg Accuracy: 85.17 | Model Sparsity: 0.4636
Recovery epoch [7/10]: Avg Loss: 0.2562 | Avg Accuracy: 86.38 | Model Sparsity: 0.4636
Recovery epoch [8/10]: Avg Loss: 0.2467 | Avg Accuracy: 84.75 | Model Sparsity: 0.4636
Recovery epoch [9/10]: Avg Loss: 0.2226 | Avg Accuracy: 85.09 | Model Sparsity: 0.4636
Recovery epoch [10/10]: Avg Loss: 0.2162 | Avg Accuracy: 84.35 | Model Sparsity: 0.4636
Epoch [2/5]: Avg Loss: 0.2722 | Avg Accuracy: 83.02 | Model Sparsity: 0.7448
Recovery epoch [1/10]: Avg Loss: 0.2345 | Avg Accuracy: 82.35 | Model Sparsity: 0.7448
Recovery epoch [2/10]: Avg Loss: 0.2288 | Avg Accuracy: 82.85 | Model Sparsity: 0.7448
Recovery epoch [3/10]: Avg Loss: 0.2213 | Avg Accuracy: 82.66 | Model Sparsity: 0.7448
Recovery epoch [4/10]: Avg Loss: 0.2026 | Avg Accuracy: 81.78 | Model Sparsity: 0.7448
Recovery epoch [5/10]: Avg Loss: 0.1939 | Avg Accuracy: 81.39 | Model Sparsity: 0.7448
Recovery epoch [6/10]: Avg Loss: 0.1839 | Avg Accuracy: 81.18 | Model Sparsity: 0.7448
Recovery epoch [7/10]: Avg Loss: 0.1743 | Avg Accuracy: 81.07 | Model Sparsity: 0.7448
Recovery epoch [8/10]: Avg Loss: 0.1655 | Avg Accuracy: 80.26 | Model Sparsity: 0.7448
Recovery epoch [9/10]: Avg Loss: 0.1570 | Avg Accuracy: 80.55 | Model Sparsity: 0.7448
Recovery epoch [10/10]: Avg Loss: 0.1475 | Avg Accuracy: 80.11 | Model Sparsity: 0.7448
Epoch [3/5]: Avg Loss: 0.3937 | Avg Accuracy: 77.73 | Model Sparsity: 0.8892
Recovery epoch [1/10]: Avg Loss: 0.2892 | Avg Accuracy: 77.64 | Model Sparsity: 0.8892
Recovery epoch [2/10]: Avg Loss: 0.2583 | Avg Accuracy: 76.99 | Model Sparsity: 0.8892
Recovery epoch [3/10]: Avg Loss: 0.2247 | Avg Accuracy: 77.09 | Model Sparsity: 0.8892
Recovery epoch [4/10]: Avg Loss: 0.2126 | Avg Accuracy: 77.44 | Model Sparsity: 0.8892
Recovery epoch [5/10]: Avg Loss: 0.1891 | Avg Accuracy: 77.22 | Model Sparsity: 0.8892
Recovery epoch [6/10]: Avg Loss: 0.1851 | Avg Accuracy: 76.10 | Model Sparsity: 0.8892
Recovery epoch [7/10]: Avg Loss: 0.1606 | Avg Accuracy: 77.43 | Model Sparsity: 0.8892
Recovery epoch [8/10]: Avg Loss: 0.1610 | Avg Accuracy: 75.86 | Model Sparsity: 0.8892
Recovery epoch [9/10]: Avg Loss: 0.1667 | Avg Accuracy: 75.89 | Model Sparsity: 0.8892
Recovery epoch [10/10]: Avg Loss: 0.1453 | Avg Accuracy: 76.41 | Model Sparsity: 0.8892
Epoch [4/5]: Avg Loss: 0.5543 | Avg Accuracy: 72.60 | Model Sparsity: 0.9424
Recovery epoch [1/10]: Avg Loss: 0.3789 | Avg Accuracy: 72.61 | Model Sparsity: 0.9424
Recovery epoch [2/10]: Avg Loss: 0.3304 | Avg Accuracy: 73.60 | Model Sparsity: 0.9424
Recovery epoch [3/10]: Avg Loss: 0.2952 | Avg Accuracy: 73.10 | Model Sparsity: 0.9424
Recovery epoch [4/10]: Avg Loss: 0.2752 | Avg Accuracy: 73.20 | Model Sparsity: 0.9424
Recovery epoch [5/10]: Avg Loss: 0.2454 | Avg Accuracy: 73.47 | Model Sparsity: 0.9424
Recovery epoch [6/10]: Avg Loss: 0.2338 | Avg Accuracy: 73.02 | Model Sparsity: 0.9424
Recovery epoch [7/10]: Avg Loss: 0.2070 | Avg Accuracy: 73.66 | Model Sparsity: 0.9424
Recovery epoch [8/10]: Avg Loss: 0.1951 | Avg Accuracy: 73.33 | Model Sparsity: 0.9424
Recovery epoch [9/10]: Avg Loss: 0.1814 | Avg Accuracy: 72.82 | Model Sparsity: 0.9424
Recovery epoch [10/10]: Avg Loss: 0.1773 | Avg Accuracy: 72.92 | Model Sparsity: 0.9424
