Model : vgg11 - Learning Type: cifar100/pruning/wanda_pruning/0.95
Configuration:
model_type: cv
model_name: vgg11
model_task: cifar100
num_classes: 100
criterion: CrossEntropyLoss()
embedding_dim: 4096
epochs: 5
pruning_epochs: 5
recovery_epochs: 10
batch_size: 512
learning_rate: 0.01
learning_type: pruning
optimizer_type: sgd
prune: True
pruning_type: wanda_pruning
target_sparsity: 0.95
sparsity_scheduler: cubic
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/vgg11/cifar100/vgg11_cifar100_wanda_pruning_0.95_pruning.pt
finetuned_weights: /dbfs/research/vgg11/cifar100/vgg11_cifar100_baseline.pt

Epoch [1/5]: Avg Loss: 0.4944 | Avg Accuracy: 90.57 | Model Sparsity: 0.4636
Recovery epoch [1/10]: Avg Loss: 0.4092 | Avg Accuracy: 89.13 | Model Sparsity: 0.4636
Recovery epoch [2/10]: Avg Loss: 0.3615 | Avg Accuracy: 88.49 | Model Sparsity: 0.4636
Recovery epoch [3/10]: Avg Loss: 0.3367 | Avg Accuracy: 88.10 | Model Sparsity: 0.4636
Recovery epoch [4/10]: Avg Loss: 0.3149 | Avg Accuracy: 87.95 | Model Sparsity: 0.4636
Recovery epoch [5/10]: Avg Loss: 0.2905 | Avg Accuracy: 88.00 | Model Sparsity: 0.4636
Recovery epoch [6/10]: Avg Loss: 0.2806 | Avg Accuracy: 85.59 | Model Sparsity: 0.4636
Recovery epoch [7/10]: Avg Loss: 0.2651 | Avg Accuracy: 87.05 | Model Sparsity: 0.4636
Recovery epoch [8/10]: Avg Loss: 0.2364 | Avg Accuracy: 85.77 | Model Sparsity: 0.4636
Recovery epoch [9/10]: Avg Loss: 0.2455 | Avg Accuracy: 84.64 | Model Sparsity: 0.4636
Recovery epoch [10/10]: Avg Loss: 0.2317 | Avg Accuracy: 86.44 | Model Sparsity: 0.4636
Epoch [2/5]: Avg Loss: 0.8375 | Avg Accuracy: 72.92 | Model Sparsity: 0.7448
Recovery epoch [1/10]: Avg Loss: 0.5863 | Avg Accuracy: 73.72 | Model Sparsity: 0.7448
Recovery epoch [2/10]: Avg Loss: 0.5197 | Avg Accuracy: 75.42 | Model Sparsity: 0.7448
Recovery epoch [3/10]: Avg Loss: 0.4690 | Avg Accuracy: 74.50 | Model Sparsity: 0.7448
Recovery epoch [4/10]: Avg Loss: 0.4324 | Avg Accuracy: 75.45 | Model Sparsity: 0.7448
Recovery epoch [5/10]: Avg Loss: 0.4162 | Avg Accuracy: 74.96 | Model Sparsity: 0.7448
Recovery epoch [6/10]: Avg Loss: 0.3927 | Avg Accuracy: 74.30 | Model Sparsity: 0.7448
Recovery epoch [7/10]: Avg Loss: 0.3600 | Avg Accuracy: 74.36 | Model Sparsity: 0.7448
Recovery epoch [8/10]: Avg Loss: 0.3409 | Avg Accuracy: 74.65 | Model Sparsity: 0.7448
Recovery epoch [9/10]: Avg Loss: 0.3271 | Avg Accuracy: 75.21 | Model Sparsity: 0.7448
Recovery epoch [10/10]: Avg Loss: 0.3072 | Avg Accuracy: 74.94 | Model Sparsity: 0.7448
Epoch [3/5]: Avg Loss: 1.4016 | Avg Accuracy: 63.85 | Model Sparsity: 0.8892
Recovery epoch [1/10]: Avg Loss: 0.9529 | Avg Accuracy: 65.25 | Model Sparsity: 0.8892
Recovery epoch [2/10]: Avg Loss: 0.8496 | Avg Accuracy: 65.86 | Model Sparsity: 0.8892
Recovery epoch [3/10]: Avg Loss: 0.7815 | Avg Accuracy: 67.12 | Model Sparsity: 0.8892
Recovery epoch [4/10]: Avg Loss: 0.7203 | Avg Accuracy: 67.75 | Model Sparsity: 0.8892
Recovery epoch [5/10]: Avg Loss: 0.6780 | Avg Accuracy: 68.37 | Model Sparsity: 0.8892
Recovery epoch [6/10]: Avg Loss: 0.6515 | Avg Accuracy: 67.61 | Model Sparsity: 0.8892
Recovery epoch [7/10]: Avg Loss: 0.6196 | Avg Accuracy: 68.50 | Model Sparsity: 0.8892
Recovery epoch [8/10]: Avg Loss: 0.5874 | Avg Accuracy: 68.14 | Model Sparsity: 0.8892
Recovery epoch [9/10]: Avg Loss: 0.5700 | Avg Accuracy: 68.18 | Model Sparsity: 0.8892
Recovery epoch [10/10]: Avg Loss: 0.5423 | Avg Accuracy: 67.84 | Model Sparsity: 0.8892
Epoch [4/5]: Avg Loss: 1.5554 | Avg Accuracy: 62.58 | Model Sparsity: 0.9424
Recovery epoch [1/10]: Avg Loss: 1.0320 | Avg Accuracy: 62.92 | Model Sparsity: 0.9424
Recovery epoch [2/10]: Avg Loss: 0.9361 | Avg Accuracy: 63.91 | Model Sparsity: 0.9424
Recovery epoch [3/10]: Avg Loss: 0.8607 | Avg Accuracy: 64.29 | Model Sparsity: 0.9424
Recovery epoch [4/10]: Avg Loss: 0.8176 | Avg Accuracy: 64.52 | Model Sparsity: 0.9424
Recovery epoch [5/10]: Avg Loss: 0.7803 | Avg Accuracy: 65.18 | Model Sparsity: 0.9424
Recovery epoch [6/10]: Avg Loss: 0.7530 | Avg Accuracy: 65.33 | Model Sparsity: 0.9424
Recovery epoch [7/10]: Avg Loss: 0.7266 | Avg Accuracy: 65.42 | Model Sparsity: 0.9424
Recovery epoch [8/10]: Avg Loss: 0.6976 | Avg Accuracy: 66.27 | Model Sparsity: 0.9424
