Model : resnet101 - Learning Type: baseline
Configuration:
model_type: cv
model_name: resnet101
model_task: cifar10
num_classes: 10
criterion: CrossEntropyLoss()
embedding_dim: 2048
epochs: 100
pruning_epochs: 100
recovery_epochs: 10
batch_size: 512
learning_rate: 0.001
learning_type: baseline
scheduler_type: linear_with_warmup
optimizer_type: sgd
use_scheduler: False
total_steps: 8300
warmup_steps: 830
prune: False
target_sparsity: 0
sparsity_scheduler: linear
delta_t: 41
enable_mixed_precision: True
device: cuda
save_path: /dbfs/research/resnet101/cifar10/resnet101_cifar10_baseline.pt
current_sparsity: 0.0

Epoch [1/100]: Avg Loss: 2.2774 | Avg Accuracy: 26.86 | Model Sparsity: 0.0
Epoch [2/100]: Avg Loss: 1.8289 | Avg Accuracy: 54.85 | Model Sparsity: 0.0
Epoch [3/100]: Avg Loss: 1.0991 | Avg Accuracy: 74.97 | Model Sparsity: 0.0
Epoch [4/100]: Avg Loss: 0.5359 | Avg Accuracy: 82.71 | Model Sparsity: 0.0
Epoch [5/100]: Avg Loss: 0.3017 | Avg Accuracy: 85.77 | Model Sparsity: 0.0
Epoch [6/100]: Avg Loss: 0.1959 | Avg Accuracy: 87.96 | Model Sparsity: 0.0
Epoch [7/100]: Avg Loss: 0.1349 | Avg Accuracy: 88.73 | Model Sparsity: 0.0
Epoch [8/100]: Avg Loss: 0.0973 | Avg Accuracy: 89.34 | Model Sparsity: 0.0
Epoch [9/100]: Avg Loss: 0.0738 | Avg Accuracy: 89.94 | Model Sparsity: 0.0
Epoch [10/100]: Avg Loss: 0.0599 | Avg Accuracy: 89.97 | Model Sparsity: 0.0
Epoch [11/100]: Avg Loss: 0.0494 | Avg Accuracy: 90.14 | Model Sparsity: 0.0
Epoch [12/100]: Avg Loss: 0.0422 | Avg Accuracy: 89.87 | Model Sparsity: 0.0
Epoch [13/100]: Avg Loss: 0.0385 | Avg Accuracy: 90.85 | Model Sparsity: 0.0
Epoch [14/100]: Avg Loss: 0.0315 | Avg Accuracy: 90.35 | Model Sparsity: 0.0
Epoch [15/100]: Avg Loss: 0.0265 | Avg Accuracy: 90.83 | Model Sparsity: 0.0
Epoch [16/100]: Avg Loss: 0.0264 | Avg Accuracy: 90.83 | Model Sparsity: 0.0
Epoch [17/100]: Avg Loss: 0.0221 | Avg Accuracy: 90.76 | Model Sparsity: 0.0
Epoch [18/100]: Avg Loss: 0.0218 | Avg Accuracy: 90.62 | Model Sparsity: 0.0
Epoch [19/100]: Avg Loss: 0.0195 | Avg Accuracy: 90.93 | Model Sparsity: 0.0
Epoch [20/100]: Avg Loss: 0.0189 | Avg Accuracy: 91.06 | Model Sparsity: 0.0
Epoch [21/100]: Avg Loss: 0.0166 | Avg Accuracy: 90.99 | Model Sparsity: 0.0
Epoch [22/100]: Avg Loss: 0.0164 | Avg Accuracy: 90.92 | Model Sparsity: 0.0
Epoch [23/100]: Avg Loss: 0.0160 | Avg Accuracy: 91.04 | Model Sparsity: 0.0
Epoch [24/100]: Avg Loss: 0.0145 | Avg Accuracy: 90.69 | Model Sparsity: 0.0
Epoch [25/100]: Avg Loss: 0.0129 | Avg Accuracy: 90.61 | Model Sparsity: 0.0
Epoch [26/100]: Avg Loss: 0.0119 | Avg Accuracy: 90.93 | Model Sparsity: 0.0
Epoch [27/100]: Avg Loss: 0.0131 | Avg Accuracy: 91.22 | Model Sparsity: 0.0
Epoch [28/100]: Avg Loss: 0.0104 | Avg Accuracy: 91.11 | Model Sparsity: 0.0
Epoch [29/100]: Avg Loss: 0.0111 | Avg Accuracy: 91.41 | Model Sparsity: 0.0
Epoch [30/100]: Avg Loss: 0.0108 | Avg Accuracy: 90.99 | Model Sparsity: 0.0
Epoch [31/100]: Avg Loss: 0.0108 | Avg Accuracy: 91.13 | Model Sparsity: 0.0
Epoch [32/100]: Avg Loss: 0.0100 | Avg Accuracy: 91.09 | Model Sparsity: 0.0
Epoch [33/100]: Avg Loss: 0.0100 | Avg Accuracy: 91.16 | Model Sparsity: 0.0
Epoch [34/100]: Avg Loss: 0.0097 | Avg Accuracy: 91.20 | Model Sparsity: 0.0
