Model : resnet101 - Learning Type: cifar10/bacp_pruning/magnitude_pruning/0.95
Configuration:
model_name: resnet101
model_task: cifar10
model_type: cv
num_classes: 10
batch_size: 512
learning_rate: 0.1
optimizer_type: sgd
epochs: 5
recovery_epochs: 10
patience: 20
pruning_type: magnitude_pruning
target_sparsity: 0.95
sparsity_scheduler: cubic
pruning_epochs: 5
n_views: 2
temperature: 0.07
base_temperature: 0.07
device: cuda
enable_mixed_precision: True
num_workers: 24
train_batches: 83
val_batches: 14
current_model_path: /dbfs/research/resnet101/cifar10/resnet101_cifar10_magnitude_pruning_0.95_bacp_pruning.pt

Epoch [1/5]: Avg Total Loss: 8.3274 | Avg PrC Loss: 3.7939 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 4.1561 | Avg CE Loss: 0.3775 | Model Sparsity: 0.4636
Retraining Epoch [1/10]: Avg Total Loss: 11.4928 | Avg PrC Loss: 3.7731 | Avg SnC Loss: 3.4598 | Avg FiC Loss: 4.0720 | Avg CE Loss: 0.1878 | Model Sparsity: 0.4636
Retraining Epoch [2/10]: Avg Total Loss: 11.0070 | Avg PrC Loss: 3.6898 | Avg SnC Loss: 3.4724 | Avg FiC Loss: 3.6964 | Avg CE Loss: 0.1484 | Model Sparsity: 0.4636
Retraining Epoch [3/10]: Avg Total Loss: 10.6130 | Avg PrC Loss: 3.6157 | Avg SnC Loss: 3.5018 | Avg FiC Loss: 3.3615 | Avg CE Loss: 0.1342 | Model Sparsity: 0.4636
Retraining Epoch [4/10]: Avg Total Loss: 10.2362 | Avg PrC Loss: 3.5169 | Avg SnC Loss: 3.5399 | Avg FiC Loss: 3.0605 | Avg CE Loss: 0.1190 | Model Sparsity: 0.4636
Retraining Epoch [5/10]: Avg Total Loss: 10.0771 | Avg PrC Loss: 3.4624 | Avg SnC Loss: 3.5613 | Avg FiC Loss: 2.9536 | Avg CE Loss: 0.0997 | Model Sparsity: 0.4636
Retraining Epoch [6/10]: Avg Total Loss: 9.9924 | Avg PrC Loss: 3.4257 | Avg SnC Loss: 3.5755 | Avg FiC Loss: 2.9050 | Avg CE Loss: 0.0862 | Model Sparsity: 0.4636
Retraining Epoch [7/10]: Avg Total Loss: 9.9313 | Avg PrC Loss: 3.3991 | Avg SnC Loss: 3.5870 | Avg FiC Loss: 2.8668 | Avg CE Loss: 0.0784 | Model Sparsity: 0.4636
Retraining Epoch [8/10]: Avg Total Loss: 9.8745 | Avg PrC Loss: 3.3712 | Avg SnC Loss: 3.6014 | Avg FiC Loss: 2.8290 | Avg CE Loss: 0.0729 | Model Sparsity: 0.4636
Retraining Epoch [9/10]: Avg Total Loss: 9.8247 | Avg PrC Loss: 3.3502 | Avg SnC Loss: 3.6171 | Avg FiC Loss: 2.7859 | Avg CE Loss: 0.0715 | Model Sparsity: 0.4636
Retraining Epoch [10/10]: Avg Total Loss: 9.7667 | Avg PrC Loss: 3.3315 | Avg SnC Loss: 3.6310 | Avg FiC Loss: 2.7373 | Avg CE Loss: 0.0669 | Model Sparsity: 0.4636
Epoch [2/5]: Avg Total Loss: 9.7064 | Avg PrC Loss: 3.3131 | Avg SnC Loss: 3.6421 | Avg FiC Loss: 2.6927 | Avg CE Loss: 0.0585 | Model Sparsity: 0.7448
Retraining Epoch [1/10]: Avg Total Loss: 11.9455 | Avg PrC Loss: 3.3181 | Avg SnC Loss: 5.9504 | Avg FiC Loss: 2.6183 | Avg CE Loss: 0.0587 | Model Sparsity: 0.7448
Retraining Epoch [2/10]: Avg Total Loss: 11.9673 | Avg PrC Loss: 3.3135 | Avg SnC Loss: 5.9733 | Avg FiC Loss: 2.6149 | Avg CE Loss: 0.0657 | Model Sparsity: 0.7448
Retraining Epoch [3/10]: Avg Total Loss: 11.9471 | Avg PrC Loss: 3.3064 | Avg SnC Loss: 5.9728 | Avg FiC Loss: 2.6041 | Avg CE Loss: 0.0638 | Model Sparsity: 0.7448
Retraining Epoch [4/10]: Avg Total Loss: 11.9414 | Avg PrC Loss: 3.3047 | Avg SnC Loss: 5.9768 | Avg FiC Loss: 2.5960 | Avg CE Loss: 0.0640 | Model Sparsity: 0.7448
